Rentrée scolaire,Académie,Code du département,Département,UAI,Nom de l'établissment,Code INSEE de la commune,Nom de la commune,Secteur,IPS_2022,Ecart-type de l'IPS_2022,IPS_2017,Ecart-type de l'IPS_2017,Ecart-type de l'IPS_2020,latitude,longitude
2021-2022,LYON,001,AIN,0010025X,COLLEGE PAUL SIXDENIER,01185,PLATEAU D HAUTEVILLE,public,110.4,36.6,108.5,,35.0,45.97621920492385,5.600967267017193
2021-2022,LYON,001,AIN,0010026Y,COLLEGE PAUL CLAUDEL,01202,LAGNIEU,public,112.9,34.2,100.1,,34.1,45.89846945460407,5.344962827467159
2021-2022,LYON,001,AIN,0010046V,COLLEGE DU RENON,01457,VONNAS,public,105.8,34.3,105.1,,33.3,46.21923193356951,4.987420600330237
2021-2022,LYON,001,AIN,0010089S,COLLEGE PRIVE SAINT PIERRE,01232,MARBOZ,privé sous contrat,115.1,28.8,110.1,,30.1,46.34114628974638,5.259560023313107
2021-2022,LYON,001,AIN,0010097A,COLLEGE PRIVE DE LA SIDOINE,01427,TREVOUX,privé sous contrat,122.6,33.3,115.4,,34.5,45.93760515615645,4.783610025128626
2021-2022,LYON,001,AIN,0010820L,COLLEGE GEORGE SAND,01306,PONT DE VEYLE,public,104.2,32.5,104.4,,32.4,46.2640084547234,4.8850399080287845
2021-2022,LYON,001,AIN,0010964T,COLLEGE ANNE FRANK,01249,MIRIBEL,public,114.8,39.4,104.5,,42.4,45.82801247837263,4.968140162413298
2021-2022,LYON,001,AIN,0011011U,COLLEGE MARCEL ANTHONIOZ,01143,DIVONNE LES BAINS,public,105.5,40.3,123.9,,39.2,46.34700568692691,6.146100276323841
2021-2022,LYON,001,AIN,0011275F,COLLEGE THOMAS RIBOUD,01053,BOURG EN BRESSE,public,97.9,38.7,100.3,,37.6,46.19340841704188,5.228480410467756
2021-2022,LYON,001,AIN,0011338Z,COLLEGE JEAN COMPAGNON,01322,REYRIEUX,public,121.7,35.1,124.5,,34.4,45.9307071858806,4.814159781203816
2021-2022,AMIENS,002,AISNE,0020018J,COLLEGE LEON DROUSSENT,02217,COUCY LE CHATEAU AUFFRIQUE,public,92.2,30.8,85.6,,33.5,49.518712432409465,3.3133700826604606
2021-2022,AMIENS,002,AISNE,0020030X,COLLEGE CAMILLE DESMOULINS,02361,GUISE,public,71.0,23.6,71.5,,23.3,49.904117444645166,3.636139990380132
2021-2022,AMIENS,002,AISNE,0020055Z,COLLEGE GABRIEL HANOTAUX,02691,SAINT QUENTIN,public,85.3,32.5,78.3,,32.2,49.86071885144114,3.2736201480068536
2021-2022,AMIENS,002,AISNE,0020056A,COLLEGE MARTHE LEFEVRE,02691,SAINT QUENTIN,public,69.3,22.2,65.7,,25.6,49.83675770982215,3.318949412019479
2021-2022,AMIENS,002,AISNE,0020472C,COLLEGE PRIVE NOTRE DAME DE LIESSE,02430,LIESSE NOTRE DAME,privé sous contrat,105.7,31.2,105.0,,30.1,49.610938846900126,3.805739643548973
2021-2022,AMIENS,002,AISNE,0021661V,COLLEGE VILLARD DE HONNECOURT,02334,FRESNOY LE GRAND,public,90.4,32.9,86.1,,31.9,49.94866760852859,3.4193600013855217
2021-2022,AMIENS,002,AISNE,0021688Z,COLLEGE MAX DUSSUCHAL,02810,VILLERS COTTERETS,public,89.2,34.6,84.2,,32.2,49.259078005380026,3.082949610507377
2021-2022,AMIENS,002,AISNE,0021689A,COLLEGE ANTOINE NICOLAS DE CONDORCET,02648,RIBEMONT,public,85.2,31.6,81.1,,29.8,49.80009014466591,3.467870569177816
2021-2022,AMIENS,002,AISNE,0021691C,COLLEGE SAINT JUST,02722,SOISSONS,public,93.0,37.2,102.5,,38.1,49.38276240166077,3.325259763505805
2021-2022,CLERMONT-FERRAND,003,ALLIER,0030017C,COLLEGE JOSEPH HENNEQUIN,03118,GANNAT,public,103.3,33.3,102.4,,36.1,46.08668244300113,3.198709839779961
2021-2022,CLERMONT-FERRAND,003,ALLIER,0030021G,COLLEGE ANDRE BOUTRY,03155,LURCY LEVIS,public,93.1,31.4,88.4,,30.4,46.73330275355253,2.9382700300091456
2021-2022,CLERMONT-FERRAND,003,ALLIER,0030030S,COLLEGE JEAN ZAY,03185,MONTLUCON,public,74.6,27.7,72.8,,27.2,46.349204184430654,2.5925800816384736
2021-2022,CLERMONT-FERRAND,003,ALLIER,0030042E,COLLEGE FRANCOIS RABELAIS,03195,NERIS LES BAINS,public,105.7,35.7,112.8,,34.9,46.28872879112456,2.661711484047642
2021-2022,CLERMONT-FERRAND,003,ALLIER,0030043F,COLLEGE JEAN DE LA FONTAINE,03236,SAINT GERMAIN DES FOSSES,public,99.6,32.6,102.5,,31.9,46.20986844727405,3.4387605902586245
2021-2022,CLERMONT-FERRAND,003,ALLIER,0030892D,COLLEGE BLAISE DE VIGENERE,03254,SAINT POURCAIN SUR SIOULE,public,99.1,33.1,99.2,,33.8,46.311342214707125,3.293969563548033
2021-2022,AIX-MARSEILLE,004,ALPES-DE-HTE-PROVENCE,0040420K,COLLEGE PAUL ARENE,04209,SISTERON,public,106.1,35.0,104.0,,34.5,44.18160066306098,5.945989683114227
2021-2022,AIX-MARSEILLE,005,HAUTES-ALPES,0050010J,COLLEGE CENTRE,05061,GAP,public,109.1,35.3,110.5,,36.0,44.56098044735989,6.074839737462087
