Massif,sous-massif,Region,Département,Station,Indice climatique,Indice socio-économique,Indice Finances publiques,Socre de vulnérabilité,geoloc_auto,fiabilite_geoloc,ville_geoloc,latLong_auto,latLong,vulnérable
Alpes,"Alpes du
Nord",ARA,73,Orelle,1,"3,67",5,"0,73","[6.536645, 45.20987]",0.3931271900826446,Orelle,"45.20987,6.536645","45.2076,6.5462",non
Alpes,"Alpes du
Nord",ARA,73,Tignes,1,"8,33",10,"0,83","[6.927293, 45.49388]",0.4014999173553718,Tignes,"45.49388,6.927293","45.4701,6.9076",non
Alpes,"Alpes du
Nord",ARA,73,Val thorens,1,9,10,"0,9","[6.557857, 45.303308]",0.36564636363636366,Route de Val Thorens,"45.303308,6.557857","45.2957227,6.5524791",non
Alpes,"Alpes du
Nord",ARA,74,Chamonix,1,10,10,1,"[6.869242, 45.924044]",0.4799212587412587,Chamonix,"45.924044,6.869242","45.9258,6.8713",non
Alpes,"Alpes du
Nord",ARA,73,Val d'isere,1,"7,33",7,"1,05","[6.988649, 45.448292]",0.5398827272727272,Val-d'Isère,"45.448292,6.988649","45.445649,6.977695",non
Alpes,"Alpes du
Sud",PACA,4,Saint paul,"5,67",1,5,"1,13","[7.518759, 43.79605]",0.5360272727272728,Saint Paul,"43.79605,7.518759","44.5167954,6.7575956",non
Alpes,"Alpes du
Nord",ARA,38,Deux alpes (les),1,"8,33",7,"1,19","[6.12511, 45.010313]",0.5397408211143695,Place des 2 Alpes,"45.010313,6.12511","45.0063,6.1231",non
Alpes,"Alpes du
Nord",ARA,38,Col de porte,"7,33","1,67",10,"1,22","[6.026538, 45.437743]",0.471195652173913,Rue du Col de Porte,"45.437743,6.026538","45.2895,5.7672",non
Alpes,"Alpes du
Nord",ARA,73,Menuires (les),"1,67",9,10,"1,5","[5.026103, 45.039124]",0.3657566457680251,Lotissement les Menuires,"45.039124,5.026103","45.3233799,6.5346576",non
Alpes,"Alpes du
Nord",ARA,73,Valmeinier,"1,67",5,5,"1,67","[6.481963, 45.185472]",0.5147754545454545,Valmeinier,"45.185472,6.481963","45.1843,6.4811",non
Alpes,"Alpes du
Sud",ARA,26,Font d'urle - chaud clapier,"7,33","2,33",10,"1,71","[5.332169, 44.889925]",0.3112964171122995,Font d'Urle-ouest,"44.889925,5.332169",,
Alpes,"Alpes du
Nord",ARA,38,Alpe d'huez (l'),"1,67","7,33",7,"1,75","[6.038075, 45.063681]",0.45515909090909085,Route de l'Alpe d'Huez,"45.063681,6.038075",,
Alpes,"Alpes du
Sud",PACA,5,Montgenevre,"2,33","5,67",7,"1,89","[6.713215, 44.929113]",0.5341890909090908,Montgenèvre,"44.929113,6.713215",,
Alpes,"Alpes du
Sud",PACA,4,Sainte anne la condamine,"5,67","1,67",5,"1,89","[6.721335, 44.466908]",0.450142243713733,Route de Sainte-Anne,"44.466908,6.721335",,
Pyrénées,"Pyrénées
centrales",Occitanie,31,Bourg d'oueil,10,1,5,2,"[0.498305, 42.859012]",0.47300519480519476,Bourg-d'Oueil,"42.859012,0.498305",,
Alpes,"Alpes du
Nord",ARA,74,Semnoz (le),"5,67","3,67",10,"2,08","[5.91773, 45.675503]",0.3008629752066116,Chemin du semnoz,"45.675503,5.91773",,
Alpes,"Alpes du
Nord",ARA,73,Courchevel,"2,33",9,10,"2,1","[6.622002, 45.430622]",0.5212190909090909,Courchevel,"45.430622,6.622002",,
Alpes,"Alpes du
Sud",PACA,4,Larche,"6,33","1,67",5,"2,11","[3.600583, 45.157311]",0.21039909090909087,Chemin du Suc de Larche,"45.157311,3.600583",,
Alpes,"Alpes du
Nord",ARA,73,Bessans,5,3,7,"2,14","[6.996174, 45.32174]",0.4308772727272727,Bessans,"45.32174,6.996174",,
Alpes,"Alpes du
Sud",PACA,4,Pra-loup,"4,33",5,10,"2,17","[6.603762, 44.369741]",0.4675203496503496,Pra Loup,"44.369741,6.603762",,
Pyrénées,"Est
Pyrénéen",Occitanie,9,Ascou pailhères,"6,67","2,33",7,"2,22","[1.985694, 42.734566]",0.32798066115702473,Port de Pailleres,"42.734566,1.985694",,
Alpes,"Alpes du
Nord",ARA,73,Arcs (les) - peisey-vallandry,"2,33",10,10,"2,33",,,,,"45.5949,6.7923",
Alpes,"Alpes du
Sud",PACA,5,Grave (la)- la meije,"2,33",5,5,"2,33","[2.560198, 48.605299]",0.38753424242424234,Allee de la Meije,"48.605299,2.560198",,
Pyrénées,"ouest
pyrénéen",,64,Gourette,"6,67","3,67",10,"2,44","[-0.38651, 43.3666]",0.3388006611570248,Rue de Gourette,"43.3666,-0.38651",,
Pyrénées,"Est
Pyrénéen",OCCITANIE,9,Mijanès donezan,"7,33","2,33",7,"2,44","[1.734401, 43.20038]",0.29271090909090913,Les Mijanes,"43.20038,1.734401",,
Alpes,"Alpes du
Sud",ARA,26,Col du rousset,7,"3,67",10,"2,57","[5.027751, 45.022522]",0.44678090909090906,Rue du Col du Rousset,"45.022522,5.027751",,
Alpes,"Alpes du
Nord",ARA,73,Karellis (les),3,"4,33",5,"2,6","[4.868223, 45.456719]",0.33028611570247934,Place Arélis,"45.456719,4.868223",,
Alpes,"Alpes du
Sud",PACA,5,La joue du loup,"5,67","2,33",5,"2,64","[-1.75631, 46.834529]",0.4833709917355371,la noue du loup,"46.834529,-1.75631",,
Alpes,"Alpes du
Nord",ARA,38,Sept laux (les),"4,33","6,33",10,"2,74","[4.75475, 45.798794]",0.4485481818181818,Allée des Sept Laux,"45.798794,4.75475",,
Alpes,"Alpes du
Nord",ARA,73,Meribel les allues + mottaret,"2,33","8,33",7,"2,78","[6.568772, 45.389174]",0.4316318181818181,Route de mottaret,"45.389174,6.568772",,
Alpes,"Alpes du
Nord",ARA,73,Bonneval sur arc,"2,33","3,67",3,"2,85","[7.058284, 45.375131]",0.604801038961039,Bonneval-sur-Arc,"45.375131,7.058284",,
Alpes,"Alpes du
Nord",ARA,38,Oz - vaujany,"3,67","5,67",7,"2,97","[6.073673, 45.15796]",0.3488927272727273,Vaujany,"45.15796,6.073673",,
Alpes,"Alpes du
Nord",ARA,73,Aussois,3,5,5,3,"[6.742733, 45.229408]",0.43384909090909085,Aussois,"45.229408,6.742733",,
Alpes,"Alpes du
Sud",PACA,5,Orres (les),3,5,5,3,"[6.554934, 44.500338]",0.40536363636363637,Les Orres,"44.500338,6.554934",,
Alpes,"Alpes du
Nord",ARA,73,Sainte-foy-tarentaise,3,5,5,3,"[6.885178, 45.572507]",0.6542188111888113,Sainte-Foy-Tarentaise,"45.572507,6.885178",,
Alpes,"Alpes du
Sud",PACA,5,Serre chevalier,3,10,10,3,"[5.04912, 45.048136]",0.42464082644628093,Rue Chevalier,"45.048136,5.04912",,
Alpes,"Alpes du
Nord",ARA,73,Norma (la),"4,33",5,7,"3,1","[6.696841, 45.201407]",0.2994909090909091,La Norma Village,"45.201407,6.696841",,
Alpes,"Alpes du
Sud",PACA,5,Puy st vincent,"3,67","4,33",5,"3,18","[6.486196, 44.819865]",0.44770292490118574,Puy-Saint-Vincent,"44.819865,6.486196",,
Alpes,"Alpes du
Nord",ARA,73,Valmorel,"2,33",7,5,"3,27","[6.442483, 45.461698]",0.4689330769230769,Valmorel,"45.461698,6.442483",,
Alpes,"Alpes du
Nord",ARA,73,Plagne (la),"1,67",10,5,"3,33","[6.62575, 45.538585]",0.4422672727272727,Aime-la-Plagne,"45.538585,6.62575",,
