LibSubCom,code_commune,longitude,latitude,Inscrits,Abstentions,Votants,Blancs,Nuls,Exprimes,entete,nb_voix,url_libe
Toulouse,31555,1.4368,43.6089,251225,75030,176195,5186,3490,167519,CHAPUIS,121529,https://www.liberation.fr/resultats-elections/occitanie/haute-garonne/toulouse-31555/
Nice,06088,7.2651,43.7123,214544,65038,149506,4454,2967,142085,CHAPUIS,78767,https://www.liberation.fr/resultats-elections/provence-alpes-cote-d-azur/alpes-maritimes/nice-06088/
Paris 15eme arrondissement,75056AR15,2.29355937244,48.8401554186,142923,42926,99997,2943,1957,95097,CHAPUIS,85043,https://www.liberation.fr/resultats-elections/ile-de-france/paris/paris-75056/
Paris 16eme arrondissement,75056AR16,2.2620995594,48.8603987604,95793,28690,67103,1966,1361,63776,CHAPUIS,57086,https://www.liberation.fr/resultats-elections/ile-de-france/paris/paris-75056/
Nantes,44109,-1.5492,47.2397,194628,58712,135916,4097,2668,129151,CHAPUIS,99747,https://www.liberation.fr/resultats-elections/pays-de-la-loire/loire-atlantique/nantes-44109/
Montpellier,34172,3.8592,43.6183,158282,47661,110621,3294,2203,105124,CHAPUIS,62319,https://www.liberation.fr/resultats-elections/occitanie/herault/montpellier-34172/
Lille,59350,3.0476,50.6344,124872,37583,87289,2519,1716,83054,CHAPUIS,47232,https://www.liberation.fr/resultats-elections/hauts-de-france/nord/lille-59350/
Paris 17eme arrondissement,75056AR17,2.30748555949,48.8873371665,100902,30491,70411,2155,1383,66873,CHAPUIS,59746,https://www.liberation.fr/resultats-elections/ile-de-france/paris/paris-75056/
Boulogne-Billancourt,92012,2.2371,48.8346,70184,21120,49064,1427,994,46643,CHAPUIS,39922,https://www.liberation.fr/resultats-elections/ile-de-france/hauts-de-seine/boulogne-billancourt-92012/
Toulon,83137,5.9306,43.1249,104132,31076,73056,2215,1451,69390,CHAPUIS,35238,https://www.liberation.fr/resultats-elections/provence-alpes-cote-d-azur/var/toulon-83137/
Bordeaux,33063,-0.5874,44.8572,151910,45333,106577,3074,2016,101487,CHAPUIS,70997,https://www.liberation.fr/resultats-elections/nouvelle-aquitaine/gironde/bordeaux-33063/
Versailles,78646,2.1325,48.8032,57599,17281,40318,1117,832,38369,CHAPUIS,29710,https://www.liberation.fr/resultats-elections/ile-de-france/yvelines/versailles-78646/
Aix-en-Provence,13001,5.3967,43.5097,90471,27182,63289,2025,1280,59984,CHAPUIS,34542,https://www.liberation.fr/resultats-elections/provence-alpes-cote-d-azur/bouches-du-rhone/aix-en-provence-13001/
Rennes,35238,-1.6815,48.1105,117297,35059,82238,2370,1678,78190,CHAPUIS,60873,https://www.liberation.fr/resultats-elections/bretagne/ille-et-vilaine/rennes-35238/
Strasbourg,67482,7.7553,48.5673,135333,40661,94672,2896,1898,89878,CHAPUIS,56822,https://www.liberation.fr/resultats-elections/grand-est/bas-rhin/strasbourg-67482/
Paris 12eme arrondissement,75056AR12,2.41980703497,48.8351562307,90447,27479,62968,1862,1218,59888,CHAPUIS,53448,https://www.liberation.fr/resultats-elections/ile-de-france/paris/paris-75056/
Paris 14eme arrondissement,75056AR14,2.32710088326,48.8289932116,84145,25211,58934,1761,1215,55958,CHAPUIS,50210,https://www.liberation.fr/resultats-elections/ile-de-france/paris/paris-75056/
Paris 13eme arrondissement,75056AR13,2.36246822852,48.8287176845,109778,32350,77428,2449,1579,73400,CHAPUIS,65613,https://www.liberation.fr/resultats-elections/ile-de-france/paris/paris-75056/
