code_commune,code_dep_min,MACRON,LE PEN
64001,64,73,41
55001,55,67,115
59001,59,141,158
60001,60,86,238
54001,54,63,113
25001,25,72,71
44001,44,581,407
80001,80,5285,5551
02001,02,82,203
91001,91,78,95
34001,34,336,677
70001,70,49,124
39001,39,192,264
37001,37,274,331
24001,24,160,135
62001,62,604,493
51001,51,34,47
14001,14,379,310
94001,94,1193,826
57001,57,67,116
74001,74,344,435
28001,28,621,553
42001,42,105,160
03001,03,818,823
05001,05,148,64
16001,16,121,112
33001,33,424,621
07001,07,120,135
67001,67,989,522
58001,58,36,41
18001,18,118,94
77001,77,394,289
35001,35,3223,765
27001,27,58,114
08001,08,139,150
65001,65,87,96
45001,45,58,62
86001,86,212,169
2A001,2A,586,926
19001,19,101,103
69001,69,98,139
31001,31,31,23
47001,47,6825,4241
12001,12,449,290
21001,21,123,108
52001,52,73,112
43001,43,48,65
81001,81,85,77
53001,53,774,372
23001,23,329,338
30001,30,156,152
06001,06,20,71
04001,04,293,330
32001,32,210,188
72001,72,593,363
73001,73,125,62
63001,63,508,637
09001,09,9,6
11001,11,102,158
36001,36,408,337
40001,40,1793,1362
13001,13,42852,20728
87001,87,1915,1222
48001,48,48,53
46001,46,164,107
82001,82,172,176
61001,61,6042,3312
68001,68,223,219
56001,56,1258,917
15001,15,198,226
22001,22,175,147
76001,76,400,345
84001,84,685,917
41001,41,46,63
90001,90,296,312
29001,29,289,257
93001,93,11683,3323
01001,01,237,213
71001,71,231,244
79001,79,275,191
85001,85,1105,954
66001,66,21,30
88001,88,15,26
38001,38,1374,1794
83001,83,754,817
26001,26,145,106
986001,986,3830,1849
55002,55,24,40
25002,25,122,77
60002,60,223,280
54002,54,76,60
39002,39,16,9
80002,80,45,111
62002,62,57,64
95002,95,294,225
70002,70,62,74
57002,57,19,22
59002,59,582,1446
64002,64,58,38
02002,02,88,230
27002,27,95,143
67002,67,100,132
79002,79,123,55
34002,34,261,443
65002,65,233,205
21002,21,114,50
2B002,2B,48,72
47002,47,39,45
50002,50,1816,614
24002,24,527,425
03002,03,78,76
17002,17,41,45
12002,12,282,211
88002,88,17,24
31002,31,70,89
44002,44,1481,684
52002,52,5,8
89002,89,43,17
30002,30,166,298
81002,81,640,792
69002,69,74,83
09002,09,150,201
43002,43,540,248
83002,83,72,63
07002,07,162,116
45002,45,84,152
33002,33,220,205
42002,42,44,54
10002,10,66,78
72002,72,82,69
18002,18,35,52
11002,11,67,55
19002,19,124,115
63002,63,32,32
36002,36,26,43
23002,23,250,224
48002,48,167,181
46002,46,32,32
82002,82,684,964
26002,26,455,586
74002,74,644,579
66002,66,861,1094
53002,53,172,129
94002,94,11163,4257
13002,13,5466,7207
15002,15,63,78
58002,58,191,298
49002,49,714,727
61002,61,196,155
68002,68,99,146
76002,76,123,223
35002,35,689,321
87002,87,1507,1565
86002,86,145,157
37002,37,457,467
56002,56,890,452
77002,77,155,240
06002,06,10,34
40002,40,492,401
22002,22,468,218
90002,90,89,110
41002,41,191,288
32002,32,25,33
84002,84,324,288
92002,92,23554,5710
29002,29,413,332
71002,71,288,388
01002,01,94,48
85002,85,714,598
16002,16,102,153
38002,38,450,156
51002,51,335,426
25003,25,58,120
60003,60,145,198
39003,39,19,5
64003,64,64,67
78003,78,1024,763
54003,54,31,36
57003,57,325,439
80003,80,148,189
62003,62,197,198
70003,70,16,36
27003,27,470,456
02003,02,229,380
65003,65,60,12
34003,34,6808,10273
47003,47,92,120
38003,38,292,350
50003,50,1681,488
