LibSubCom,code_commune,CodNuaListe,NbVoix,score,tete_liste
Belley,01034,LDIV,1248,45.01,M. Jean-Marc FOGNINI
Belley,01034,LDVD,1525,54.99,M. Dimitri LAHUERTA
Ferney-Voltaire,01160,LDVC,366,24.7,M. François MEYLAN
Ferney-Voltaire,01160,LDVD,747,50.4,M. Daniel RAPHOZ
Ferney-Voltaire,01160,LDIV,369,24.9,M. Jean-Loup KASTLER
Jassans-Riottier,01194,LDVD,415,25.29,M. Jean-François COLOMBIER
Jassans-Riottier,01194,LDVC,204,12.43,Mme Sylvie SEGURA
Jassans-Riottier,01194,LDIV,166,10.12,M. Christian ANDREO
Jassans-Riottier,01194,LDVD,856,52.16,M. Jean-Pierre REVERCHON
Miribel,01249,LDVD,1391,50.73,M. Jean-Pierre GAITET
Miribel,01249,LREM,313,11.42,Mme Nathalie DESCOURS
Miribel,01249,LDVG,1038,37.86,Mme Sylvie VIRICEL
Saint-Genis-Pouilly,01354,LDVD,734,39.04,Mme Michelle CHENU-DURAFOUR
Saint-Genis-Pouilly,01354,LDVG,867,46.12,M. Hubert BERTRAND
Saint-Genis-Pouilly,01354,LECO,279,14.84,Mme Anne-Sophie MARCHAND
Tergnier,02738,LDVG,960,29.01,M. Francis DELACOURT
Tergnier,02738,LRN,601,18.16,M. Frédy DEGUIN-DAWSON
Tergnier,02738,LDVG,1748,52.83,M. Michel CARREAU
Montluçon,03185,LDVG,1218,14.44,Mme Sylvie SARTIRANO
Montluçon,03185,LLR,2654,31.46,M. Frédéric LAPORTE
Montluçon,03185,LDVD,2194,26.0,M. Joseph ROUDILLON
Montluçon,03185,LDVG,2371,28.1,M. Frédéric KOTT
Moulins,03190,LLR,2307,48.14,M. Pierre-André PERISSOL
Moulins,03190,LUG,1008,21.04,M. Yannick MONNET
Moulins,03190,LDVD,1477,30.82,M. Stefan LUNTE
Château-Arnoux-Saint-Auban,04049,LDVC,862,39.2,M. Philippe BERTRAND
Château-Arnoux-Saint-Auban,04049,LDVG,234,10.64,Mme Lisa GIACHINO
Château-Arnoux-Saint-Auban,04049,LCOM,1103,50.16,M. René VILLARD
Digne-les-Bains,04070,LDVG,624,11.93,Mme France GALLY
Digne-les-Bains,04070,LDLF,427,8.17,Mme Marie-Anne BAUDOUI
Digne-les-Bains,04070,LDVD,783,14.97,M. Richard VALLA
Digne-les-Bains,04070,LDVC,1699,32.49,Mme Patricia GRANET-BRUNELLO
Digne-les-Bains,04070,LDVD,1696,32.43,M. Gilles CHALVET
Forcalquier,04088,LDVD,1436,53.19,M. David GEHANT
Forcalquier,04088,LDVG,1264,46.81,Mme Dominique ROUANET
Manosque,04112,LEXD,1409,20.44,M. Christian GIRARD
Manosque,04112,LDVG,1821,26.41,M. Patrick GARNON
Manosque,04112,LDVD,2176,31.56,M. Camille GALTIER
Manosque,04112,LDVC,1489,21.6,M. Armel LE HEN
Oraison,04143,LRN,228,10.61,Mme Ghislaine AUBERT
Oraison,04143,LDVG,670,31.19,Mme Isabel GAMBA
Oraison,04143,LDVC,1250,58.19,M. Benoît GAUVAN
Briançon,05023,LDIV,1480,30.72,M. Gérard FROMM
Briançon,05023,LDVG,977,20.28,Mme Aurélie POYAU
Briançon,05023,LUD,2361,49.0,M. Arnaud MURGIA
Cagnes-sur-Mer,06027,LLR,4739,47.86,M. Louis NÈGRE
Cagnes-sur-Mer,06027,LDVD,3414,34.48,Mme Josiane PIRET
Cagnes-sur-Mer,06027,LRN,1748,17.65,M. Jean-Paul PEREZ
Carros,06033,LDVD,2278,50.34,M. Yannick BERNARD
Carros,06033,LDIV,2247,49.66,M. Charles SCIBETTA
La Gaude,06065,LDVD,935,33.14,Mme Vanessa SIEGEL
La Gaude,06065,LDVD,1886,66.86,M. Bruno BETTATI
Menton,06083,LDVD,3912,44.3,M. Olivier BETTATI
Menton,06083,LUD,4918,55.7,M. Jean-Claude GUIBAL
Nice,06088,LDVD,34039,59.31,M. Christian ESTROSI
Nice,06088,LRN,12279,21.39,M. Philippe VARDON
Nice,06088,LECO,11078,19.3,M. Jean Marc GOVERNATORI
Peymeinade,06095,LLR,1265,41.9,M. Gérard DELHOMEZ
Peymeinade,06095,LDIV,1754,58.1,M. Philippe SAINTE-ROSE FANCHINE
Roquebrune-Cap-Martin,06104,LLR,1923,52.11,M. Patrick CESARI
Roquebrune-Cap-Martin,06104,LDIV,1217,32.98,M. Anthony MALVAULT
Roquebrune-Cap-Martin,06104,LDVC,550,14.91,Mme Marie-Christine FRANC DE FERRIERE
Saint-Cézaire-sur-Siagne,06118,LDIV,513,25.82,M. Claude BLANC
Saint-Cézaire-sur-Siagne,06118,LDIV,835,42.02,M. Christian ZEDET
Saint-Cézaire-sur-Siagne,06118,LDIV,639,32.16,M. Maxime COULLET
Saint-Jeannet,06122,LDIV,1022,55.48,Mme Julie CHARLES
Saint-Jeannet,06122,LDVD,820,44.52,M. Jean-Michel SEMPÉRÉ
Sospel,06136,LDIV,1067,51.75,M. Jean-Mario LORENZI
Sospel,06136,LDIV,995,48.25,Mme Marie-Christine THOURET
Tourrettes-sur-Loup,06148,LDIV,791,47.31,M. Stéphane BOUIX
Tourrettes-sur-Loup,06148,LDIV,881,52.69,M. Frédéric POMA
Valbonne,06152,LECO,2039,45.46,M. Joseph CESARO
Valbonne,06152,LDVG,1149,25.62,M. Marc DAUNIS
Valbonne,06152,LDVC,1297,28.92,M. Christophe ETORÉ
Vallauris,06155,LRN,684,8.98,M. Lionel TIVOLI
Vallauris,06155,LDIV,2700,35.44,M. Kevin LUCIANO
Vallauris,06155,LDIV,1766,23.18,M. Jean-Noël FALCOU
Vallauris,06155,LLR,2469,32.41,Mme Michelle SALUCKI
Vence,06157,LDIV,2215,41.71,M. Regis LEBIGRE
Vence,06157,LDVC,2066,38.9,M. Patrick SCALZO
Vence,06157,LDIV,1030,19.39,Mme Catherine LE LAN
Annonay,07010,LDVD,1605,41.01,M. Marc-Antoine QUENETTE
Annonay,07010,LDIV,267,6.82,M. Jérôme DOZANCE
Annonay,07010,LDVG,1642,41.95,M. Simon PLENET
Annonay,07010,LDVG,400,10.22,M. Denis NEIME
Aubenas,07019,LDVC,512,20.23,M. Roger KAPPEL
Aubenas,07019,LDVG,706,27.89,Mme Patricia ROUX
Aubenas,07019,LDVD,1072,42.35,M. Jean-Yves MEYER
Aubenas,07019,LDVG,241,9.52,M. Henri DELAUCHE
Tournon-sur-Rhône,07324,LDVD,1416,40.09,M. Frédéric SAUSSET
Tournon-sur-Rhône,07324,LDVC,782,22.14,M. Pascal DIAZ
Tournon-sur-Rhône,07324,LDVG,1334,37.77,M. Pierre GUICHARD
Viviers,07346,LDVD,653,44.24,M. Christian LAVIS
Viviers,07346,LRN,128,8.67,Mme Céline PORQUET
Viviers,07346,LDIV,695,47.09,Mme Martine MATTEI
Givet,08190,LDIV,757,32.08,M. Julien VERGÉ
Givet,08190,LDVD,692,29.32,M. Eric VISCARDY
Givet,08190,LDVD,911,38.6,M. Robert ITUCCI
Rethel,08362,LDVD,1325,54.64,M. Joseph AFRIBO
Rethel,08362,LDVD,1100,45.36,M. Renaud AVERLY
Revin,08363,LDVG,844,43.42,M. Christophe LÉONARD
Revin,08363,LDVD,1100,56.58,M. Daniel DURBECQ
Sedan,08409,LDVD,1136,36.73,Mme Odile BERTELOODT
