LibSubCom,code_commune,CodNuaListe,NbVoix,score
Ambérieu-en-Bugey,01004,LUDI,2896,57.39
Ambérieu-en-Bugey,01004,LFI,2150,42.61
Bâgé-Dommartin,01025,LVEC,218,11.94
Bâgé-Dommartin,01025,LDVG,247,13.53
Bâgé-Dommartin,01025,LDVD,270,14.79
Bâgé-Dommartin,01025,LRN,1091,59.75
Bellignat,01031,LUDI,203,17.55
Bellignat,01031,LREM,244,21.09
Bellignat,01031,LUC,224,19.36
Bellignat,01031,LRN,271,23.42
Bellignat,01031,LLR,215,18.58
Valserhône,01033,LRDG,342,6.1
Valserhône,01033,LMDM,95,1.69
Valserhône,01033,LFI,1259,22.45
Valserhône,01033,LREM,1813,32.33
Valserhône,01033,LDVG,400,7.13
Valserhône,01033,LLR,1699,30.3
Belley,01034,LUC,994,28.51
Belley,01034,LDLF,284,8.15
Belley,01034,LDVC,9,0.26
Belley,01034,LSOC,248,7.11
Belley,01034,LUC,958,27.48
Belley,01034,LREM,993,28.49
Beynost,01043,LUD,1001,45.52
Beynost,01043,LRN,1198,54.48
Bourg-en-Bresse,01053,LUC,4706,33.93
Bourg-en-Bresse,01053,LDVG,1117,8.05
Bourg-en-Bresse,01053,LUC,4625,33.35
Bourg-en-Bresse,01053,LUG,1145,8.26
Bourg-en-Bresse,01053,LRDG,876,6.32
Bourg-en-Bresse,01053,LDVD,1399,10.09
Cessy,01071,LUC,850,50.03
Cessy,01071,LUDI,807,47.5
Cessy,01071,LDVC,42,2.47
Châtillon-sur-Chalaronne,01093,LRN,1333,59.94
Châtillon-sur-Chalaronne,01093,LFI,891,40.06
Dagneux,01142,LFI,343,17.34
Dagneux,01142,LRN,500,25.28
Dagneux,01142,LSOC,124,6.27
Dagneux,01142,LLR,450,22.75
Dagneux,01142,LREM,475,24.01
Dagneux,01142,LVEC,72,3.64
Dagneux,01142,LDVC,14,0.71
Divonne-les-Bains,01143,LFI,644,16.9
Divonne-les-Bains,01143,LVEC,192,5.04
Divonne-les-Bains,01143,LSOC,198,5.2
Divonne-les-Bains,01143,LUDI,846,22.2
Divonne-les-Bains,01143,LLR,805,21.12
Divonne-les-Bains,01143,LDVD,242,6.35
Divonne-les-Bains,01143,LREM,884,23.2
Ferney-Voltaire,01160,LDVG,244,11.11
Ferney-Voltaire,01160,LUD,1080,49.18
Ferney-Voltaire,01160,LUG,265,12.07
Ferney-Voltaire,01160,LVEC,251,11.43
Ferney-Voltaire,01160,LDVD,283,12.89
Ferney-Voltaire,01160,LMDM,73,3.32
Gex,01173,LUD,1529,38.03
Gex,01173,LDVC,20,0.5
Gex,01173,LDVD,437,10.87
Gex,01173,LLR,1572,39.1
Gex,01173,LMDM,65,1.62
Gex,01173,LSOC,397,9.88
Plateau d'Hauteville,01185,LREM,675,34.47
Plateau d'Hauteville,01185,LUC,640,32.69
Plateau d'Hauteville,01185,LUDI,643,32.84
Jassans-Riottier,01194,LRN,1448,53.83
Jassans-Riottier,01194,LREM,1242,46.17
Lagnieu,01202,LDVG,287,9.19
Lagnieu,01202,LUC,1136,36.36
Lagnieu,01202,LDVG,272,8.71
Lagnieu,01202,LDVD,327,10.47
Lagnieu,01202,LUD,1102,35.28
Meximieux,01244,LDLF,231,7.38
Meximieux,01244,LUDI,833,26.63
Meximieux,01244,LRN,986,31.52
Meximieux,01244,LDVG,192,6.14
Meximieux,01244,LMDM,52,1.66
Meximieux,01244,LLR,800,25.58
Meximieux,01244,LDVC,34,1.09
Miribel,01249,LSOC,1922,45.57
Miribel,01249,LDVD,2296,54.43
Montluel,01262,LGJ,897,33.35
Montluel,01262,LVEC,313,11.64
Montluel,01262,LEXG,28,1.04
Montluel,01262,LEXD,42,1.56
Montluel,01262,LECO,16,0.59
Montluel,01262,LRN,1394,51.82
Montmerle-sur-Saône,01263,LDVC,5,0.29
Montmerle-sur-Saône,01263,LRN,639,37.22
Montmerle-sur-Saône,01263,LLR,565,32.91
Montmerle-sur-Saône,01263,LUDI,508,29.59
Nantua,01269,LUC,227,23.12
Nantua,01269,LMDM,13,1.32
Nantua,01269,LVEC,51,5.19
Nantua,01269,LREM,243,24.75
Nantua,01269,LUD,218,22.2
Nantua,01269,LCOM,16,1.63
Nantua,01269,LLR,214,21.79
Ornex,01281,LMDM,921,81.43
Ornex,01281,LDIV,210,18.57
Oyonnax,01283,LUC,1178,16.45
Oyonnax,01283,LLR,1193,16.66
Oyonnax,01283,LUDI,1182,16.51
Oyonnax,01283,LFI,901,12.58
Oyonnax,01283,LRN,1370,19.13
Oyonnax,01283,LREM,1337,18.67
Péronnas,01289,LRN,610,21.97
Péronnas,01289,LMDM,44,1.59
Péronnas,01289,LREM,567,20.43
Péronnas,01289,LLR,534,19.24
Péronnas,01289,LUC,523,18.84
Péronnas,01289,LUDI,498,17.94
Prévessin-Moëns,01313,LSOC,82,3.36
Prévessin-Moëns,01313,LLR,407,16.66
Prévessin-Moëns,01313,LFI,286,11.71
Prévessin-Moëns,01313,LRN,474,19.4
Prévessin-Moëns,01313,LREM,422,17.27
Prévessin-Moëns,01313,LUDI,402,16.46
Prévessin-Moëns,01313,LUD,370,15.15
Replonges,01320,LDVC,6,0.36
Replonges,01320,LVEC,258,15.27
Replonges,01320,LDIV,9,0.53
Replonges,01320,LREM,1128,66.75
Replonges,01320,LDVC,14,0.83
Replonges,01320,LSOC,275,16.27
Reyrieux,01322,LLR,842,39.89
Reyrieux,01322,LRN,1025,48.56
Reyrieux,01322,LMDM,44,2.08
Reyrieux,01322,LDVG,200,9.47
Saint-Denis-lès-Bourg,01344,LRDG,127,4.54
Saint-Denis-lès-Bourg,01344,LUG,163,5.83
Saint-Denis-lès-Bourg,01344,LUC,731,26.13
Saint-Denis-lès-Bourg,01344,LLR,718,25.66
Saint-Denis-lès-Bourg,01344,LRN,836,29.88
Saint-Denis-lès-Bourg,01344,LDVG,223,7.97
Saint-Genis-Pouilly,01354,LFI,1203,40.82
Saint-Genis-Pouilly,01354,LLR,1658,56.26
Saint-Genis-Pouilly,01354,LMDM,86,2.92
Saint-Maurice-de-Beynost,01376,LDVC,9,0.59
Saint-Maurice-de-Beynost,01376,LUC,728,47.46
Saint-Maurice-de-Beynost,01376,LREM,797,51.96
Thoiry,01419,LREG,42,2.08
