LibSubCom,code_commune,longitude,latitude,Inscrits,Abstentions,Votants,Blancs,Nuls,Exprimes,entete,nb_voix,url_libe
Toulouse,31555,1.4368,43.6089,251029,75162,175867,5437,3539,166891,MACRON,40664,https://www.liberation.fr/resultats-elections/occitanie/haute-garonne/toulouse-31555/
Nice,06088,7.2651,43.7123,214262,64261,150001,4607,2963,142431,MÉLENCHON,38201,https://www.liberation.fr/resultats-elections/provence-alpes-cote-d-azur/alpes-maritimes/nice-06088/
Paris 15eme arrondissement,75056AR15,2.29355937244,48.8401554186,143028,43016,100012,3163,2011,94838,MACRON,29906,https://www.liberation.fr/resultats-elections/ile-de-france/paris/paris-75056/
Paris 16eme arrondissement,75056AR16,2.2620995594,48.8603987604,96025,29158,66867,2054,1305,63508,MACRON,20162,https://www.liberation.fr/resultats-elections/ile-de-france/paris/paris-75056/
Nantes,44109,-1.5492,47.2397,194818,58728,136090,4155,2707,129228,MACRON,34335,https://www.liberation.fr/resultats-elections/pays-de-la-loire/loire-atlantique/nantes-44109/
Montpellier,34172,3.8592,43.6183,158383,48156,110227,3370,2141,104716,MÉLENCHON,25490,https://www.liberation.fr/resultats-elections/occitanie/herault/montpellier-34172/
Lille,59350,3.0476,50.6344,124883,37457,87426,2694,1815,82917,MÉLENCHON,22071,https://www.liberation.fr/resultats-elections/hauts-de-france/nord/lille-59350/
Paris 17eme arrondissement,75056AR17,2.30748555949,48.8873371665,100899,29801,71098,2246,1405,67447,MACRON,21306,https://www.liberation.fr/resultats-elections/ile-de-france/paris/paris-75056/
Boulogne-Billancourt,92012,2.2371,48.8346,70247,20934,49313,1590,964,46759,MACRON,14068,https://www.liberation.fr/resultats-elections/ile-de-france/hauts-de-seine/boulogne-billancourt-92012/
Toulon,83137,5.9306,43.1249,104156,31021,73135,2207,1442,69486,MÉLENCHON,20460,https://www.liberation.fr/resultats-elections/provence-alpes-cote-d-azur/var/toulon-83137/
Bordeaux,33063,-0.5874,44.8572,151993,45289,106704,3296,2167,101241,MACRON,24708,https://www.liberation.fr/resultats-elections/nouvelle-aquitaine/gironde/bordeaux-33063/
Versailles,78646,2.1325,48.8032,57643,17473,40170,1273,811,38086,MACRON,10341,https://www.liberation.fr/resultats-elections/ile-de-france/yvelines/versailles-78646/
Aix-en-Provence,13001,5.3967,43.5097,90332,27084,63248,1888,1250,60110,MÉLENCHON,15678,https://www.liberation.fr/resultats-elections/provence-alpes-cote-d-azur/bouches-du-rhone/aix-en-provence-13001/
Rennes,35238,-1.6815,48.1105,117182,34560,82622,2635,1640,78347,MACRON,21919,https://www.liberation.fr/resultats-elections/bretagne/ille-et-vilaine/rennes-35238/
Strasbourg,67482,7.7553,48.5673,135117,40544,94573,2633,1832,90108,MÉLENCHON,21150,https://www.liberation.fr/resultats-elections/grand-est/bas-rhin/strasbourg-67482/
Paris 12eme arrondissement,75056AR12,2.41980703497,48.8351562307,90425,27012,63413,1972,1286,60155,MACRON,18928,https://www.liberation.fr/resultats-elections/ile-de-france/paris/paris-75056/
Paris 14eme arrondissement,75056AR14,2.32710088326,48.8289932116,84112,25215,58897,1895,1281,55721,MACRON,17526,https://www.liberation.fr/resultats-elections/ile-de-france/paris/paris-75056/
Paris 13eme arrondissement,75056AR13,2.36246822852,48.8287176845,109775,32769,77006,2118,1602,73286,MACRON,23214,https://www.liberation.fr/resultats-elections/ile-de-france/paris/paris-75056/
Neuilly-sur-Seine,92051,2.2642,48.887,36791,11032,25759,791,490,24478,MACRON,7379,https://www.liberation.fr/resultats-elections/ile-de-france/hauts-de-seine/neuilly-sur-seine-92051/
Reims,51454,4.0438,49.2484,99503,29784,69719,2017,1450,66252,MÉLENCHON,17634,https://www.liberation.fr/resultats-elections/grand-est/marne/reims-51454/
Nîmes,30189,4.346,43.8425,88723,26547,62176,1665,1272,59239,MÉLENCHON,16383,https://www.liberation.fr/resultats-elections/occitanie/gard/nimes-30189/
Dijon,21231,5.0377,47.3238,81749,24745,57004,1794,1063,54147,MACRON,12044,https://www.liberation.fr/resultats-elections/bourgogne-franche-comte/cote-d-or/dijon-21231/
Angers,49007,-0.5628,47.4776,92068,27346,64722,1903,1229,61590,MACRON,15359,https://www.liberation.fr/resultats-elections/pays-de-la-loire/maine-et-loire/angers-49007/
Paris 11eme arrondissement,75056AR11,2.37874106024,48.8594154976,91064,27687,63377,1977,1195,60205,MACRON,19035,https://www.liberation.fr/resultats-elections/ile-de-france/paris/paris-75056/
Grenoble,38185,5.7301,45.1825,85862,25960,59902,1736,1157,57009,MACRON,13131,https://www.liberation.fr/resultats-elections/auvergne-rhone-alpes/isere/grenoble-38185/
Annecy,74010,6.1014,45.8985,81575,24347,57228,1756,1106,54366,LE PEN,13126,https://www.liberation.fr/resultats-elections/auvergne-rhone-alpes/haute-savoie/annecy-74010/
Besançon,25056,6.0285,47.26,65286,19725,45561,1306,918,43337,MÉLENCHON,9631,https://www.liberation.fr/resultats-elections/bourgogne-franche-comte/doubs/besancon-25056/
Rueil-Malmaison,92063,2.175,48.8679,54976,16506,38470,1152,804,36514,MACRON,11017,https://www.liberation.fr/resultats-elections/ile-de-france/hauts-de-seine/rueil-malmaison-92063/
Marseille 8eme arrondissement,13055AR08,5.37464436293,43.2417271832,54941,16722,38219,1135,767,36317,MÉLENCHON,9438,https://www.liberation.fr/resultats-elections/provence-alpes-cote-d-azur/bouches-du-rhone/marseille-13055/
Levallois-Perret,92044,2.2836,48.8959,43464,13412,30052,914,629,28509,MACRON,8606,https://www.liberation.fr/resultats-elections/ile-de-france/hauts-de-seine/levallois-perret-92044/
Le Mans,72181,0.2016,47.9908,89677,26393,63284,1877,1295,60112,LE PEN,16290,https://www.liberation.fr/resultats-elections/pays-de-la-loire/sarthe/le-mans-72181/
Courbevoie,92026,2.2596,48.9005,52124,15622,36502,1106,731,34665,MACRON,10490,https://www.liberation.fr/resultats-elections/ile-de-france/hauts-de-seine/courbevoie-92026/
Paris 20eme arrondissement,75056AR20,2.40081982673,48.8631867774,115253,34899,80354,2467,1655,76232,MACRON,24252,https://www.liberation.fr/resultats-elections/ile-de-france/paris/paris-75056/
Paris 18eme arrondissement,75056AR18,2.34871193387,48.8927350746,106707,32065,74642,2429,1554,70659,MACRON,22385,https://www.liberation.fr/resultats-elections/ile-de-france/paris/paris-75056/
Saint-Etienne,42218,4.3807,45.4283,87397,26550,60847,1812,1161,57874,MÉLENCHON,13276,https://www.liberation.fr/resultats-elections/auvergne-rhone-alpes/loire/saint-etienne-42218/
Saint-Maur-des-Fossés,94068,2.4926,48.8018,49530,14946,34584,1037,675,32872,MACRON,8592,https://www.liberation.fr/resultats-elections/ile-de-france/val-de-marne/saint-maur-des-fosses-94068/
Perpignan,66136,2.8972,42.7018,66650,19696,46954,1336,951,44667,MÉLENCHON,12640,https://www.liberation.fr/resultats-elections/occitanie/pyrenees-orientales/perpignan-66136/
Ajaccio,2A004,8.6694,41.932,36411,10974,25437,785,536,24116,MÉLENCHON,6652,https://www.liberation.fr/resultats-elections/corse/corse-du-sud/ajaccio-2A004/
Paris 19eme arrondissement,75056AR19,2.38469432787,48.886868623,106615,31630,74985,2230,1511,71244,MACRON,22605,https://www.liberation.fr/resultats-elections/ile-de-france/paris/paris-75056/
Paris 7eme arrondissement,75056AR07,2.31243868773,48.8560825982,32327,9680,22647,668,451,21528,MACRON,6809,https://www.liberation.fr/resultats-elections/ile-de-france/paris/paris-75056/
Amiens,80021,2.2924,49.8935,72463,21627,50836,1494,986,48356,MÉLENCHON,13999,https://www.liberation.fr/resultats-elections/hauts-de-france/somme/amiens-80021/
Asnières-sur-Seine,92004,2.2863,48.9167,47802,14102,33700,1043,683,31974,MACRON,9682,https://www.liberation.fr/resultats-elections/ile-de-france/hauts-de-seine/asnieres-sur-seine-92004/
Le Havre,76351,0.1284,49.5069,103198,31091,72107,2276,1475,68356,MÉLENCHON,16109,https://www.liberation.fr/resultats-elections/normandie/seine-maritime/le-havre-76351/
Clermont-Ferrand,63113,3.1074,45.7825,71067,21181,49886,1615,976,47295,MACRON,11939,https://www.liberation.fr/resultats-elections/auvergne-rhone-alpes/puy-de-dome/clermont-ferrand-63113/
Issy-les-Moulineaux,92040,2.261,48.8224,44979,13653,31326,986,611,29729,MACRON,8932,https://www.liberation.fr/resultats-elections/ile-de-france/hauts-de-seine/issy-les-moulineaux-92040/
