code_commune,code_dep_min,ROUSSEL,MÉLENCHON,MACRON,JADOT,DUPONT-AIGNAN,POUTOU,LASSALLE,HIDALGO,ARTHAUD,PÉCRESSE,LE PEN,ZEMMOUR
64001,64,1,23,38,6,5,0,21,8,0,7,23,8
55001,55,8,20,35,2,5,1,4,1,1,12,68,17
59001,59,9,37,85,7,9,2,9,5,0,18,91,35
60001,60,1,37,58,3,15,1,6,4,4,17,175,10
54001,54,4,26,39,0,5,3,8,2,3,7,77,15
25001,25,2,37,39,10,1,1,4,0,5,3,44,11
44001,44,19,242,336,42,36,11,45,29,10,43,270,63
80001,80,248,2085,3308,267,166,73,262,127,87,363,3564,628
02001,02,5,28,38,4,4,5,8,3,4,9,145,26
91001,91,5,36,34,6,3,0,4,0,1,21,58,19
34001,34,18,169,180,32,26,4,46,15,4,41,449,109
70001,70,2,18,31,5,1,2,13,2,2,8,81,17
39001,39,11,72,112,18,11,5,14,8,6,22,190,37
37001,37,11,86,166,19,18,3,30,7,8,22,217,32
24001,24,10,86,86,5,9,0,16,10,2,16,72,33
62001,62,28,187,345,39,25,13,27,21,5,50,353,71
51001,51,1,9,17,3,4,2,1,1,0,6,34,8
14001,14,13,80,236,26,23,6,32,4,4,40,204,38
94001,94,46,655,584,80,58,22,52,22,7,150,518,168
57001,57,1,42,36,9,5,3,5,1,2,2,72,9
74001,74,9,83,215,45,65,3,48,7,11,50,256,68
28001,28,31,186,349,50,43,16,16,4,5,88,337,96
42001,42,11,60,51,13,9,2,4,2,1,12,108,33
03001,03,48,250,525,44,46,14,72,29,9,88,522,144
05001,05,11,103,65,20,2,2,16,3,1,14,20,12
16001,16,7,24,74,7,5,3,10,5,1,22,71,25
33001,33,35,177,241,34,20,10,64,15,10,24,421,73
07001,07,6,44,64,13,9,0,16,6,5,14,79,22
67001,67,20,257,580,70,52,8,38,25,2,72,342,137
58001,58,3,10,14,1,4,1,2,1,0,7,28,8
18001,18,4,48,50,9,9,6,9,5,2,6,68,12
77001,77,13,124,206,45,17,6,15,7,2,68,162,79
35001,35,71,1055,1537,488,58,20,95,135,32,179,471,147
27001,27,2,22,38,6,3,2,7,4,2,14,73,7
08001,08,3,23,74,9,15,2,5,4,2,23,106,28
65001,65,3,30,55,3,5,2,28,9,0,7,53,9
45001,45,2,13,41,6,5,1,5,1,0,9,42,4
86001,86,22,67,125,12,4,4,22,4,4,15,111,10
2A001,2A,54,227,320,69,22,13,174,17,6,79,534,187
19001,19,6,40,40,6,2,4,20,5,0,27,57,21
69001,69,4,27,58,6,11,0,17,0,0,17,88,22
31001,31,2,21,13,6,1,0,6,2,0,4,11,1
47001,47,326,3361,3293,599,207,102,573,251,65,550,2433,1047
12001,12,15,114,258,36,3,1,77,22,7,36,199,35
21001,21,3,36,73,13,12,5,21,7,1,6,59,13
52001,52,4,24,36,1,3,2,7,2,1,19,69,8
43001,43,5,15,26,4,3,1,8,1,2,12,39,7
81001,81,5,37,44,6,16,1,14,2,0,8,39,18
53001,53,25,176,477,79,21,14,38,17,8,47,196,88
23001,23,22,115,189,21,16,7,43,21,6,49,216,55
30001,30,5,76,76,15,7,7,19,5,1,7,100,27
06001,06,0,10,8,0,5,0,7,0,0,5,39,24
04001,04,23,162,114,32,25,7,33,16,3,34,197,58
32001,32,8,93,106,10,4,4,45,18,4,19,108,43
72001,72,31,184,313,45,24,8,24,23,8,62,239,58
73001,73,6,54,59,9,3,4,2,8,2,14,34,6
63001,63,51,203,328,35,24,18,53,24,10,53,402,86
09001,09,7,12,3,0,0,0,4,2,1,3,4,2
11001,11,3,29,62,2,6,3,16,5,0,10,104,21
36001,36,31,139,225,17,27,9,43,20,5,55,194,53
40001,40,115,475,939,78,59,23,378,170,11,166,823,219
13001,13,1160,16244,21447,4476,1376,356,1445,1033,197,3847,10655,7150
87001,87,96,728,1031,192,68,44,146,84,23,182,766,211
48001,48,0,8,26,3,1,0,9,2,1,19,29,7
46001,46,13,105,73,14,12,5,19,8,0,21,48,23
82001,82,7,71,94,15,8,1,30,10,0,8,108,37
61001,61,233,2348,3116,512,173,98,200,205,64,503,2035,539
68001,68,2,59,134,22,19,6,18,6,2,17,142,26
56001,56,63,455,715,114,50,27,64,35,20,99,622,110
15001,15,19,71,111,14,16,5,45,7,3,31,144,20
22001,22,8,62,96,10,11,3,18,6,5,39,100,8
76001,76,12,72,251,26,14,7,21,15,8,49,263,33
84001,84,34,216,410,71,44,8,73,37,5,92,575,197
41001,41,0,12,29,6,2,0,6,0,0,11,39,8
