dta,date_actualisation_dta,tous_locaux_visites,presence_amiante,obligation_surveillance,date_derniere_visite,obligation_mesure_taux_empoussierement,obligation_travaux,dta_consultable,lieu_dta_consultable,precision,uairne,type,secteur,code,Nom,Latitude,Longitude
NON,,,,,,,,,,,0750918R,1ORD,PU,0750918R,ECOLE ELEMENTAIRE LAMORICIERE EA <br> 75012 PARIS 12E  ARRONDISSEMENT,48.84485863066212,2.4123322593812024
NON,,,,,,,,,,,0750962N,1ORD,PU,0750962N,ECOLE ELEMENTAIRE PIERRE BUDIN <br> 75018 PARIS 18E  ARRONDISSEMENT,48.889684467822846,2.3527222864076296
NON,,,,,,,,,,,0754730J,1ORD,PU,0754730J,ECOLE MATERNELLE EMILE DUPLOYE <br> 75018 PARIS 18E  ARRONDISSEMENT,48.88982604204874,2.355126270840464
,,,,,,,,,,Je ne possède pas ces renseignements. Il me semble plus judicieux de vous adresser à la C.A.S. qui gère mon école.,0751156Z,APPL,PU,0751156Z,ECOLE ELEMENTAIRE D APPLICATION MICHEL ANGE <br> 75016 PARIS 16E  ARRONDISSEMENT,48.84401722596275,2.2610640213002737
OUI,4/20/2006,OUI,OUI,OUI,7/27/2010,,NON,OUI,,Le dernière visite de contrôle mentionne que les matériaux recensés dans le DTA ont été déposés.,0754695W,1ORD,PU,0754695W,ECOLE ELEMENTAIRE ORAN <br> 75018 PARIS 18E  ARRONDISSEMENT,48.88905182032235,2.3531433763796947
OUI,,OUI,OUI,NON,,NON,OUI,NON,"Collectivité locale de rattachement (Mairie, Conseil départemental, Conseil régional)",Travaux de désamiantage des sol programmés juillet 2017 par la CASPE 7/15 de la ville de Paris,0751212K,1ORD,PU,0751212K,ECOLE ELEMENTAIRE ST CHARLES <br> 75015 PARIS 15E  ARRONDISSEMENT,48.840227779378516,2.280025372534054
NON,,,,,,,,,,,0751013U,1ORD,PU,0751013U,ECOLE ELEMENTAIRE TRUFFAUT <br> 75017 PARIS 17E  ARRONDISSEMENT,48.884936283255655,2.3225322689572554
,,,,,,,,,,,0755592W,1ORD,PU,0755592W,ECOLE ELEMENTAIRE DES GRANDS MOULINS <br> 75013 PARIS 13E  ARRONDISSEMENT,48.827931242627365,2.3777426351692763
,,,,,,,,,,"Toutes ces informations sont consignées auprès du chef des bâtiments de la CASPE du 18 eme arrondissement. 
11, rue du pré 75018",0751338X,1ORD,PU,0751338X,ECOLE MATERNELLE MARCADET <br> 75018 PARIS 18E  ARRONDISSEMENT,48.89033059601571,2.352798810625384
,,,,,,,,,,,0755808F,1ORD,PU,0755808F,ECOLE ELEMENTAIRE LOUISE BOURGEOIS <br> 75013 PARIS 13E  ARRONDISSEMENT,48.826445026490966,2.3786934393110584
OUI,9/1/2011,OUI,NON,NON,,NON,NON,OUI,,,0755590U,1ORD,PU,0755590U,ECOLE ELEMENTAIRE CLICHY <br> 75009 PARIS  9E  ARRONDISSEMENT,48.87773406298121,2.33046192056559
NON,,,,,,,,,,,0750925Y,1ORD,PU,0750925Y,ECOLE ELEMENTAIRE LEMERCIER <br> 75017 PARIS 17E  ARRONDISSEMENT,48.88971065982157,2.3180677948978383
OUI,,,,,,,,,,,0750602X,1ORD,PU,0750602X,ECOLE ELEMENTAIRE DE LA SAIDA <br> 75015 PARIS 15E  ARRONDISSEMENT,48.83200262681832,2.295519315065866
OUI,5/10/2013,OUI,OUI,OUI,5/4/2015,NON,OUI,OUI,Autres,"Les travaux demandés dans les classes, présence d'amiante dans les sols, des classes du bâtiment principal ont été effectués. Le gratttage des sols et le changement de revêtement ont été effectués. Les euls éléments en surveillance sont au sous-sol en cav",0751381U,1ORD,PU,0751381U,ECOLE MATERNELLE RETRAIT <br> 75020 PARIS 20E  ARRONDISSEMENT,48.86898536106102,2.393934323142441
NON,,,,,,,,,,,0754941N,1ORD,PU,0754941N,ECOLE MATERNELLE GEORGES THILL <br> 75019 PARIS 19E  ARRONDISSEMENT,48.886442050494225,2.3891149998980663
NON,,,,,,,,,,,0751384X,1ORD,PU,0751384X,ECOLE MATERNELLE REUILLY X <br> 75012 PARIS 12E  ARRONDISSEMENT,48.845681663802694,2.3886662008888
