permis_date,dta,date_actualisation_dta,tous_locaux_visites,presence_amiante,obligation_surveillance,date_derniere_visite,obligation_mesure_taux_empoussierement,obligation_travaux,dta_consultable,lieu_dta_consultable,precision,type,secteur,code,Latitude,Longitude,collectivite
1,NON,,,,,,,,,,,1ORD,PU,0750918R,48.84485863066212,2.4123322593812024,1
1,OUI,,OUI,OUI,NON,,NON,OUI,NON,"Collectivité locale de rattachement (Mairie, Conseil départemental, Conseil régional)",Travaux de désamiantage des sol programmés juillet 2017 par la CASPE 7/15 de la ville de Paris,1ORD,PU,0751212K,48.840227779378516,2.280025372534054,1
2,,,,,,,,,,,,1ORD,PU,0755592W,48.827931242627365,2.3777426351692763,1
2,OUI,,,,,,,,,,,1ORD,PU,0750602X,48.83200262681832,2.295519315065866,1
1,OUI,5/13/2016,OUI,OUI,OUI,5/13/2016,OUI,OUI,OUI,"Collectivité locale de rattachement (Mairie, Conseil départemental, Conseil régional)","La présence d'amiante est localisée dans le plafond du réfectoire sous le faux plafond mais aussi dans les colles des dalles de sol.
Le réfectoire sera désamianté en juillet et aout prochain;  les travaux de préparation du désamiantage commenceront le ",CLG,PU,0751791P,48.88097007780733,2.326970478697977,2
1,OUI,6/26/2010,OUI,OUI,NON,6/26/2016,NON,NON,OUI,,,LYC,PU,0750669V,48.88406846998265,2.3290877341040805,3
1,OUI,10/26/2010,OUI,OUI,NON,6/26/2016,NON,NON,OUI,,,CLG,PU,0752533W,48.88406846998265,2.3290877341040805,2
1,NON,,,,,,,,,,,1ORD,PU,0750846M,48.8588894146199,2.299852665252027,1
1,OUI,5/10/2001,OUI,OUI,OUI,5/10/2011,NON,NON,OUI,,,CLG,PU,0753046D,48.858977955793584,2.4049587195705024,2
1,OUI,9/1/2004,OUI,OUI,NON,,NON,NON,OUI,,,1ORD,PR,0750203N,48.88063331473722,2.316579014386883,1
1,OUI,8/21/2015,OUI,OUI,NON,,NON,NON,OUI,,,LYC,PU,0750693W,48.84345775102541,2.3117115221303544,3
1,NON,,,,,,,,,,,1ORD,PU,0754827P,48.83648860060665,2.3737535455638064,1
1,,,,,,,,,NON,"Collectivité locale de rattachement (Mairie, Conseil départemental, Conseil régional)",,1ORD,PU,0751443L,48.90030762557295,2.3371734070878967,1
1,OUI,11/23/1999,OUI,NON,,,,,,,,1ORD,PU,0751259L,48.8350756122511,2.3869309628297177,1
1,OUI,10/4/2010,OUI,OUI,OUI,,NON,OUI,OUI,"Collectivité locale de rattachement (Mairie, Conseil départemental, Conseil régional)",Le DTA précise de procéder à une surveillance régulière de l'état de conservation des matériaux amiantés et de procéder au retrait ou au recouvrement des parties dégradées;,LYC,PU,0750700D,48.8472424386114,2.2673643823887386,3
1,OUI,10/7/1997,OUI,NON,NON,,NON,NON,OUI,,"La maternelle du 12 rue de Monceau est le plus ancien bâtiment de l'école. Elle ne sera plus en service en septembre 2017. L'élémentaire est neuve, en service depuis le mois de novembre 2015.",1ORD,PU,0751160D,48.87608346587486,2.3060870000901335,1
2,NON,,,,,,,,,,,1ORD,PU,0751336V,48.88349562458981,2.3894209261905592,1
2,OUI,8/31/2012,OUI,NON,NON,,,NON,OUI,,,LYC,PR,0752937K,48.877035830708316,2.2899771372849034,3
1,OUI,9/1/2004,OUI,OUI,NON,,NON,NON,OUI,,,1ORD,PR,0750229S,48.876697773233595,2.320362452092509,1
1,OUI,12/18/2016,OUI,NON,,,NON,NON,OUI,,,1ORD,PU,0751663A,48.82505025569992,2.3268751010422783,1
1,OUI,12/17/2009,OUI,OUI,OUI,11/21/2011,NON,NON,OUI,,,LYC,PU,0750672Y,48.86511160871878,2.362036688344763,3
1,OUI,1/28/2009,OUI,OUI,NON,,NON,NON,OUI,,"Présence d'amiante non friable détectée dans différents locaux (toiture plonge, courette arrière appartement, dalles sol appartement, 3 conduits en fibrociment)",LYC,PU,0750670W,48.87836919707532,2.3490887465768537,3
1,OUI,8/18/2012,OUI,NON,NON,,NON,NON,OUI,,,1ORD,PU,0751415F,48.86734437349598,2.3745890467996307,1
1,OUI,11/27/2013,NON,OUI,NON,,NON,OUI,OUI,,"Il n'y a pas d'obligation de surveillance mais une surveillance régulière est conseillée et non encore effectuée.
Des travaux préconisés pour l'entourage des poteaux en fibrociment ont été réalisés.",CLG,PU,0752606A,48.88805435292578,2.3705013440344267,2
2,NON,,,,,,,,,,,1ORD,PU,0755215L,48.88137825642375,2.346592601397071,1
1,NON,,,,,,,,,,,LYC,PU,0750463W,48.82522623758808,2.3241118219948964,3
1,OUI,10/29/2008,NON,OUI,NON,,NON,NON,OUI,,,CLG,PU,0751793S,48.89850972237922,2.344331539254156,2
1,OUI,2/16/2007,OUI,NON,NON,,NON,NON,OUI,,,CLG,PU,0754305X,48.83884843482284,2.278581124564096,2
2,NON,,,,,,,,,,,LYC,PU,0753268V,48.83426082546328,2.3532947196465885,3
1,OUI,3/1/2005,OUI,NON,NON,3/10/2014,NON,NON,OUI,,,CLG,PR,0750182R,48.89420291144671,2.339753915047459,2
1,OUI,2/16/2006,OUI,NON,NON,,NON,NON,OUI,,,LYC,PR,0753919C,48.86704896103626,2.272218333768603,3
1,OUI,6/16/2016,OUI,NON,NON,,NON,NON,OUI,,,CLG,PR,0752919R,48.86704896103626,2.272218333768603,2
2,NON,,,,,,,,,,,LYC,PU,0750707L,48.89705476616289,2.3203217602659314,3
1,OUI,,OUI,OUI,NON,,NON,NON,OUI,"Collectivité locale de rattachement (Mairie, Conseil départemental, Conseil régional)",,LYC,PU,0750648X,48.85750374093399,2.3631629610031424,3
1,OUI,2/16/2006,OUI,NON,NON,,NON,NON,OUI,,,1ORD,PR,0750292K,48.86704896103626,2.272218333768603,1
2,OUI,4/16/2015,OUI,NON,NON,,NON,NON,OUI,,,CLG,PR,0752821J,48.88080011942091,2.3006135004649373,2
1,OUI,2/3/2014,OUI,OUI,OUI,1/13/2014,NON,NON,OUI,,,LP,PU,0751710B,48.822378170488975,2.3762970516422235,3
1,OUI,9/17/2004,OUI,,NON,,,,,,,LYC,PR,0754016H,48.88148104667878,2.374595178840724,3
1,OUI,10/21/2004,OUI,OUI,OUI,,NON,NON,OUI,,,LP,PU,0750794F,48.84416161515548,2.298339081893833,3
1,NON,,,,,,,,,,,LYC,PU,0750697A,48.87461402965952,2.3848894914285967,3
1,OUI,6/27/2008,NON,OUI,OUI,11/24/2015,NON,NON,OUI,,,CLG,PU,0754253R,48.83446795405794,2.3354603026461427,2
2,NON,,,,,,,,,,,1ORD,PU,0750984M,48.84577820358283,2.388550606399329,1
1,OUI,11/28/2008,OUI,OUI,NON,,NON,NON,OUI,,,LYC,PU,0750651A,48.86135305207608,2.3640277913184717,3
1,OUI,11/20/2015,OUI,OUI,NON,,NON,NON,OUI,,,CLG,PU,0752108J,48.8840247642451,2.340646607068092,2
1,OUI,7/1/2010,OUI,OUI,OUI,7/1/2010,NON,NON,OUI,,,LP,PU,0750508V,48.85804604923595,2.3973735732170294,3
1,OUI,10/17/2006,OUI,OUI,NON,,NON,OUI,OUI,,le document s'intitule diagnostic amiante. Cela correspond-t-il au DTA mentionné ci-dessus?,LP,PU,0750808W,48.868740002902356,2.3867269823415027,3
2,OUI,9/13/2013,OUI,OUI,NON,,NON,NON,OUI,,"Présence de 1 conduit de cheminée en fibrociment ( Rue Viète côté cour) BON ETAT 
 présence de 1 conduit en fibrociment (combles) BON ETAT. 
Une jardinière: bac à fleurs en fibrociment BON ETAT (appartement de fonction, jardinière privative) a été dép",LYC,PU,0750704H,48.884486175686405,2.3078323456035283,3
1,OUI,7/3/2006,OUI,OUI,NON,,NON,NON,OUI,,,LYC,PU,0750786X,48.82338077060192,2.346615270914436,3
1,OUI,11/1/2005,NON,OUI,NON,,NON,NON,NON,"Collectivité locale de rattachement (Mairie, Conseil départemental, Conseil régional)",,LP,PU,0750800M,48.89264999351997,2.362531226451181,3
1,OUI,8/20/2016,OUI,OUI,OUI,6/18/2016,NON,NON,OUI,,TRAVAUX SUR SOL PLASTIQUE COULOIR INTERNAT FAIT EN FEVRIER A MESURER DANS 6 MOIS POUR VERIFICATION,LYC,PU,0750654D,48.84635844973404,2.3473832542620507,3
1,OUI,12/30/2013,NON,OUI,OUI,,NON,NON,OUI,,,LYC,PU,0750715V,48.8476718418321,2.4083242063515726,3
1,OUI,9/1/2004,OUI,OUI,NON,,NON,NON,OUI,,,LYC,PR,0753873C,48.87916804491666,2.31637735118188,3
1,OUI,,,NON,,,,,NON,,,CLG,PU,0750445B,48.83424434099136,2.314954327158833,2
1,OUI,1/11/2010,OUI,OUI,NON,,NON,NON,OUI,Autres,"Un pré-rapport de repérage des matériaux et produits contenant de l'amiante avant réalisation de travaux a été remis à l'établissement le 7 avril 2016 suite à une visite du 24/08/2015.
Ce rapport confirme la présence d'amiante en particulier dans certai",LYC,PU,0750714U,48.84781884910078,2.406954392430153,3
1,OUI,11/30/2015,OUI,OUI,OUI,8/28/2015,NON,NON,OUI,,,LYC,PU,0751708Z,48.837284822881614,2.2855402933184266,3
1,OUI,11/18/2015,NON,OUI,OUI,10/19/2015,NON,NON,OUI,,,CLG,PU,0752195D,48.894457429481356,2.3519387044867126,2
1,OUI,11/25/2016,OUI,OUI,NON,11/25/2013,NON,NON,OUI,,,CLG,PU,0750362L,48.864243486766526,2.3669000603315085,2
1,OUI,1/22/2007,OUI,OUI,OUI,,NON,NON,OUI,,,CLG,PU,0752693V,48.85494399722897,2.3565706165754934,2
1,OUI,,OUI,OUI,OUI,,,,NON,"Collectivité locale de rattachement (Mairie, Conseil départemental, Conseil régional)","Ce dossier est géré en direct par le Département de Paris - Section Locale d'Architecture
Des visites régulières sont opérées afin de contrôler les locaux présentant des traces d'amiante :
- Calorifugeage bitume de la terrasse niveau 4 (travaux prévu ",CLG,PU,0753937X,48.818447471709966,2.358370652919913,2
1,OUI,12/15/2008,OUI,OUI,OUI,4/29/2011,NON,OUI,OUI,,,CLG,PU,0753939Z,48.85684944362047,2.4111884491790505,2
2,,,,,,,,,,,"bâtiment construit récemment,  ouvert au public en janvier 2015",1ORD,PU,0753258J,48.83200262681832,2.295519315065866,1
