LibSubCom,code_commune,population,Inscrits,Abstentions,Votants,Blancs,Nuls,Exprimes,latitude,longitude,liste_entete,nb_voix
Belley,01034,9133.0,5757,2877,2880,51,56,2773,45.7457,5.6803,LDVD,54.99
Ferney-Voltaire,01160,9637.0,3798,2280,1518,22,14,1482,46.2547,6.1076,LDVD,50.4
Jassans-Riottier,01194,6391.0,4357,2689,1668,17,10,1641,45.9787,4.7613,LDVD,52.16
Miribel,01249,9742.0,6847,4064,2783,23,18,2742,45.8426,4.9376,LDVD,50.73
Saint-Genis-Pouilly,01354,11892.0,5015,3108,1907,12,15,1880,46.255,6.0327,LDVG,46.12
Tergnier,02738,13541.0,10082,6697,3385,42,34,3309,49.6497,3.3011,LDVG,52.83
Montluçon,03185,36147.0,22557,13819,8738,136,165,8437,46.3422,2.603,LLR,31.46
Moulins,03190,19613.0,12893,7988,4905,45,68,4792,46.5628,3.327,LLR,48.14
Château-Arnoux-Saint-Auban,04049,5162.0,3848,1589,2259,35,25,2199,44.0878,5.987,LCOM,50.16
Digne-les-Bains,04070,16186.0,10822,5459,5363,37,97,5229,44.0883,6.2513,LDVC,32.49
Forcalquier,04088,4966.0,3958,1191,2767,42,25,2700,43.9595,5.7929,LDVD,53.19
Manosque,04112,21868.0,16147,9111,7036,65,76,6895,43.8456,5.7741,LDVD,31.56
Oraison,04143,5917.0,4592,2392,2200,32,20,2148,43.9173,5.9323,LDVC,58.19
Briançon,05023,11950.0,8516,3580,4936,75,43,4818,44.8976,6.6421,LUD,49.0
Cagnes-sur-Mer,06027,49902.0,33723,23415,10308,252,155,9901,43.67,7.1533,LLR,47.86
Carros,06033,11614.0,8740,4070,4670,70,75,4525,43.7808,7.175,LDVD,50.34
La Gaude,06065,6430.0,5537,2634,2903,55,27,2821,43.7196,7.1561,LDVD,66.86
Menton,06083,28486.0,21678,12393,9285,275,180,8830,43.7967,7.491,LUD,55.7
Nice,06088,342637.0,215514,155708,59806,1348,1062,57396,43.7123,7.2651,LDVD,59.31
Peymeinade,06095,8119.0,6638,3511,3127,67,41,3019,43.6323,6.8803,LDIV,58.1
Roquebrune-Cap-Martin,06104,12903.0,9021,5230,3791,47,54,3690,43.7613,7.4643,LLR,52.11
Saint-Cézaire-sur-Siagne,06118,3913.0,3334,1307,2027,18,22,1987,43.6579,6.7932,LDIV,42.02
Saint-Jeannet,06122,4099.0,3527,1598,1929,60,27,1842,43.7594,7.1415,LDIV,55.48
Sospel,06136,3815.0,3030,914,2116,27,27,2062,43.8828,7.4448,LDIV,51.75
Tourrettes-sur-Loup,06148,3988.0,3309,1615,1694,14,8,1672,43.7148,7.0463,LDIV,52.69
Valbonne,06152,13070.0,8889,4328,4561,76,0,4485,43.6295,7.0346,LECO,45.46
Vallauris,06155,26618.0,18341,10573,7768,59,90,7619,43.5752,7.0615,LDIV,35.44
Vence,06157,18599.0,14041,8530,5511,200,0,5311,43.7329,7.1068,LDIV,41.71
Annonay,07010,16640.0,11453,7471,3982,28,40,3914,45.2433,4.6513,LDVG,41.95
Aubenas,07019,12189.0,8020,5366,2654,44,79,2531,44.6126,4.391,LDVD,42.35
Tournon-sur-Rhône,07324,10234.0,7296,3692,3604,34,38,3532,45.0486,4.808,LDVD,40.09
Viviers,07346,3720.0,2783,1267,1516,20,20,1476,44.4839,4.6617,LDIV,47.09
Givet,08190,6755.0,4250,1840,2410,19,31,2360,50.1425,4.8454,LDVD,38.6
Rethel,08362,7662.0,4802,2318,2484,27,32,2425,49.5141,4.3825,LDVD,54.64
Revin,08363,6433.0,4680,2659,2021,30,47,1944,49.9393,4.7009,LDVD,56.58
Sedan,08409,16846.0,9621,6418,3203,63,47,3093,49.6977,4.929,LDVG,53.99
Pamiers,09225,15688.0,9441,5011,4430,54,83,4293,43.1198,1.5933,LDVC,41.39
Saint-Girons,09261,6353.0,4489,2044,2445,20,37,2388,42.9792,1.1608,LDVG,43.17
Sainte-Savine,10362,10301.0,7226,4772,2454,14,23,2417,48.2949,4.0331,LDIV,38.6
Carcassonne,11069,45895.0,29775,16910,12865,229,257,12379,43.2091,2.3567,LDVD,47.2
