dep,population,P,T,taux_de_positivite,taux_incidence,tauxReproductionEffectif,tauxOccupationRea
01,643350.0,32,5982,0.53,0.7,1.15,3.2
02,534490.0,16,3548,0.45,0.4,1.21,7.8
03,337988.0,14,2272,0.62,0.6,1.15,3.2
04,163915.0,6,1474,0.41,0.5,1.08,5.0
05,141284.0,0,1062,0.0,0.0,1.08,5.0
06,1083310.0,108,12194,0.89,1.4,1.08,5.0
07,325712.0,26,2866,0.91,1.1,1.15,3.2
08,273579.0,2,2554,0.08,0.1,1.72,7.3
09,153153.0,0,952,0.0,0.0,1.29,1.3
10,310020.0,18,2662,0.68,0.8,1.72,7.3
11,370260.0,4,2830,0.14,0.2,1.29,1.3
12,279206.0,0,2028,0.0,0.0,1.29,1.3
13,2024162.0,286,35912,0.8,2.0,1.08,5.0
14,694002.0,74,12062,0.61,1.5,0.86,2.9
15,145143.0,0,1136,0.0,0.0,1.15,3.2
16,352335.0,10,1106,0.9,0.4,1.51,2.9
17,644303.0,4,2560,0.16,0.1,1.51,2.9
18,304256.0,4,1998,0.2,0.2,0.74,6.1
19,241464.0,2,1868,0.11,0.1,1.51,2.9
21,533819.0,32,6234,0.51,0.9,0.99,3.0
22,598814.0,76,7106,1.07,1.8,1.87,1.9
23,118638.0,0,574,0.0,0.0,1.51,2.9
24,413606.0,6,2373,0.25,0.2,1.51,2.9
25,539067.0,36,5890,0.61,1.0,0.99,3.0
26,511553.0,56,4685,1.2,1.6,1.15,3.2
27,601843.0,16,5103,0.31,0.4,0.86,2.9
28,433233.0,4,2912,0.14,0.1,0.74,6.1
29,909028.0,218,13226,1.65,3.4,1.87,1.9
2A,157249.0,8,1996,0.4,0.7,,5.6
2B,177689.0,16,1520,1.05,1.3,,5.6
30,744178.0,48,6962,0.69,0.9,1.29,1.3
31,1362672.0,154,14791,1.04,1.6,1.29,1.3
32,191091.0,10,1160,0.86,0.7,1.29,1.3
33,1583384.0,180,19695,0.91,1.6,1.51,2.9
34,1144892.0,86,15034,0.57,1.1,1.29,1.3
35,1060199.0,94,11669,0.81,1.3,1.87,1.9
36,222232.0,2,730,0.27,0.1,0.74,6.1
37,606511.0,42,4614,0.91,1.0,0.74,6.1
38,1258722.0,80,13472,0.59,0.9,1.15,3.2
39,260188.0,34,3580,0.95,1.9,0.99,3.0
40,407444.0,30,4038,0.74,1.1,1.51,2.9
41,331915.0,4,1358,0.29,0.2,0.74,6.1
42,762941.0,56,8702,0.64,1.0,1.15,3.2
43,227283.0,4,1578,0.25,0.3,1.15,3.2
44,1394909.0,230,15356,1.5,2.4,1.49,4.4
45,678105.0,40,6398,0.63,0.8,0.74,6.1
46,173828.0,2,834,0.24,0.2,1.29,1.3
47,332842.0,4,1969,0.2,0.2,1.51,2.9
48,76601.0,0,482,0.0,0.0,1.29,1.3
49,813493.0,70,8154,0.86,1.2,1.49,4.4
50,496883.0,8,3098,0.26,0.2,0.86,2.9
51,568895.0,30,5019,0.6,0.8,1.72,7.3
52,175640.0,8,1218,0.66,0.7,1.72,7.3
53,307445.0,508,15752,3.22,23.6,1.49,4.4
54,733481.0,118,8516,1.39,2.3,1.72,7.3
55,187187.0,6,1674,0.36,0.5,1.72,7.3
56,750863.0,26,5998,0.43,0.5,1.87,1.9
57,1043522.0,90,9754,0.92,1.2,1.72,7.3
58,207182.0,12,1802,0.67,0.8,0.99,3.0
59,2604361.0,546,33543,1.63,3.0,1.21,7.8
60,824503.0,56,6262,0.89,1.0,1.21,7.8
61,283372.0,18,3342,0.54,0.9,0.86,2.9
62,1468018.0,128,12567,1.02,1.2,1.21,7.8
