ville,nom_groupe,famille_ideologique,violence
Albi,Patria Albiges,Identitaires,Oui
Angers,RED Angers,Nationalistes-révolutionnaires,Oui
Angers,Jeunesse Angevine,Nationalistes-révolutionnaires,Oui
Beauvais,Parti de la France Beauvais,ultranationalistes,
Besançon,Ratons nationalistes,Nationalistes-révolutionnaires,oui
Besançon,Vandals Bezak,Néo-nazis,oui
Bordeaux,Bastide bordelaise,Identitaires,oui
Bourg-en-Bresse,Bourg en Bresse nationaliste,ultranationalistes,oui
Bourges,Animus Fortis,Nationalistes-révolutionnaires,
Chambéry/Grenoble/Annecy,Edelweiss,Nationalistes-révolutionnaires,oui
Chambéry/Grenoble/Annecy,Syndicat des fleuristes,Nationalistes-révolutionnaires,oui
Chambéry/Grenoble/Annecy,Active Club Grenoble,Nationalistes-révolutionnaires,
Clermont-Ferrand,Clermont non conforme,Nationalistes-révolutionnaires,oui
Dijon,Hélix Dijon,Nationalistes-révolutionnaires,
Etroussat,Civitas,Nationaux-catholiques,
Laval,Meduana Noctua,Royalistes dissidents,?
le Puy-en-Velay,Les Nationalistes,ultranationalistes,oui
Lille,La Citadelle,Identitaires,oui
Lille,Action française Lille,Royalistes,
Lyon,Les remparts,Identitaires,oui
Lyon,Lyon Populaire,Nationalistes-révolutionnaires,oui
Lyon,Audace Lyon,Nationalistes-révolutionnaires,oui
Marseille/Aix,Defend Marseille,Identitaires,?
Marseille/Aix,Tenesoun,Nationalistes-révolutionnaires,Oui
Marseille/Aix,Action française Aix-Marseille,Royalistes,oui
Metz,Aurora Lorraine,Identitaires,
Moulin,Sophia Polis,Nationaux-catholiques,
Nancy,Parti de la France Nancy,ultranationalistes,oui
Nantes,La Caraque,Identitaires,
Nantes,La Ligue ligérienne,Nationalistes-révolutionnaires,
Nantes,Action française Nantes,Royalistes,
Nice,15.43,Identitaires,?
Nice,Aquila Popularis,Nationalistes-révolutionnaires,?
Orléans,Aurelianorum Corda,Néo-nazis,oui
Paris/Versailles,Les Natifs,Identitaires,
Paris/Versailles,Némésis,Identitaires,
Paris/Versailles,La Cocarde,Identitaires,oui
Paris/Versailles,GUD Paris (et luminis),Nationalistes-révolutionnaires,oui
Paris/Versailles,Action française Paris,Royalistes,oui
Paris/Versailles,Equipe Communautaire Paris,Suprémacistes blancs,
Perpignan,Unité Sud Perpignan,Nationalistes-révolutionnaires,?
Reims,Remes patriam,Royalistes,oui
Rennes,L'Oriflamme,Nationalistes-révolutionnaires,oui
Rouen,les Normaux,Identitaires,?
Saint-Julien-de-la-Nef,La Ligue du Midi,Identitaires / Régionalistes,oui
Sées,Academia Christiana,Identitaires,
Toulouse,Furie française,Identitaires,oui
Tours,Des Tours et des Lys,Nationalistes-révolutionnaires,oui
Vannes,An Tour-Tan,Nationalistes-révolutionnaires / Régionalistes,?
Versailles,Auctorum,Nationalistes-révolutionnaires,oui
Bastia,Palatinu,Identitaires,
