epci,libelle_epci,population_carto,effectif_cumu_termine,taux_vaccination_adultes,EPCI 2020,Nom,niveau_vie_median,interdecile
200010700,CA CAUX SEINE AGGLO,57920.0,52280.0,90.3,200010700.0,Caux Seine Agglo,20700.0,"2,8"
200011773,CA ANNEMASSE LES VOIRONS AGGLOMERATION,65400.0,47570.0,72.7,200011773.0,Annemasse-les Voirons-Agglomération,25320.0,"5,9"
200018166,CC LE GRESIVAUDAN,81150.0,71720.0,88.4,200018166.0,Le Grésivaudan,25800.0,"3,0"
200023414,METROPOLE ROUEN NORMANDIE,373300.0,326950.0,87.6,200023414.0,Rouen Normandie,20550.0,"3,4"
200027183,CU PERPIGNAN MEDITERRANEE METROPOLE,220700.0,175660.0,79.6,200027183.0,Perpignan Méditerranée Métropole,18570.0,"3,5"
200030195,METROPOLE NICE COTE D AZUR,459970.0,362940.0,78.9,200030195.0,Nice Côte d'Azur,20920.0,"3,8"
200030385,CA DE BLOIS AGGLOPOLYS,83140.0,72620.0,87.3,200030385.0,Blois Agglopolys,21060.0,"3,2"
200033181,CA CHARTRES METROPOLE,105080.0,92910.0,88.4,200033181.0,Chartres Métropole,22310.0,"3,1"
200033579,CU D ARRAS,84320.0,75530.0,89.6,200033579.0,Arras,20820.0,"3,3"
200034692,CA DU GARD RHODANIEN,58940.0,46610.0,79.1,200034692.0,Le Gard Rhodanien,20350.0,"3,2"
200034700,CA DURANCE LUBERON VERDON AGGLOMERATION,50800.0,38750.0,76.3,200034700.0,Durance-Lubéron-Verdon Agglomération,20480.0,"3,3"
200035319,CA VAR ESTEREL MEDITERRANEE (CAVEM),104480.0,83450.0,79.9,200035319.0,Var Estérel Méditerranée (Cavem),21570.0,"3,6"
200035459,CA D AGEN,76140.0,64000.0,84.1,200035459.0,Agen,20400.0,"3,2"
200035715,CA CARCASSONNE AGGLO,89120.0,73550.0,82.5,200035715.0,Carcassonne Agglo,18670.0,"3,3"
200035731,CA ROANNAIS AGGLOMERATION,80230.0,69810.0,87.0,200035731.0,Roannais Agglomération,20000.0,"3,0"
200036077,CC DU GOLFE DE SAINT TROPEZ,52270.0,42490.0,81.3,200036077.0,Le Golfe de Saint-Tropez,21210.0,"4,0"
200039022,CA VITRE COMMUNAUTE,61840.0,55770.0,90.2,200039022.0,Vitré Communauté,20860.0,"2,4"
200039857,CA DU PAYS DE GRASSE,84840.0,66390.0,78.3,200039857.0,Le Pays de Grasse,22640.0,"3,4"
200039865,METZ METROPOLE,175590.0,149840.0,85.3,200039865.0,Metz Métropole,21110.0,"3,9"
200039915,CA CANNES PAYS DE LERINS,141400.0,112820.0,79.8,200039915.0,Cannes Pays de Lérins,21060.0,"3,8"
200040244,CA DU BOCAGE BRESSUIRAIS,55420.0,48800.0,88.1,200040244.0,Le Bocage Bressuirais,19340.0,"2,5"
200040277,CA DU PAYS DE DREUX,84680.0,71070.0,83.9,200040277.0,Le Pays de Dreux,20250.0,"3,1"
200040392,CA LE GRAND PERIGUEUX,85060.0,72930.0,85.7,200040392.0,Le Grand Périgueux,20550.0,"3,0"
200040459,CA MONTELIMAR AGGLOMERATION,53340.0,42980.0,80.6,200040459.0,Montélimar Agglomération,20460.0,"3,3"
200040590,CA VILLEFRANCHE BEAUJOLAIS SAONE,56020.0,47460.0,84.7,200040590.0,Villefranche Beaujolais Saône,20700.0,"3,3"
200040715,GRENOBLE ALPES METROPOLE,339420.0,292370.0,86.1,200040715.0,Grenoble-Alpes-Métropole,22100.0,"3,5"
200040947,CC DE FLANDRE INTERIEURE,77930.0,70930.0,91.0,200040947.0,Flandre Intérieure,21240.0,"2,8"
200041317,CA DU NIORTAIS,97440.0,87310.0,89.6,200041317.0,Le Niortais,21930.0,"3,0"
200041523,CC DE LA HAUTE SAINTONGE,53790.0,45380.0,84.4,200041523.0,La Haute-Saintonge,18870.0,"3,0"
200041630,CA ARDENNE METROPOLE,94370.0,81330.0,86.2,200041630.0,Ardenne Métropole,18810.0,"3,2"
200041762,CA ROCHEFORT OCEAN,50140.0,42710.0,85.2,200041762.0,Rochefort Océan,20210.0,"2,9"
200041788,CA DU PAYS NORD MARTINIQUE,76140.0,30100.0,39.5,200041788.0,Le Pays Nord Martinique,16000.0,"4,0"
200041960,CC PEVELE CAREMBAULT,75720.0,69670.0,92.0,200041960.0,Pévèle-Carembault,24320.0,"3,1"
200042174,CA LORIENT AGGLOMERATION,159630.0,140870.0,88.2,200042174.0,Lorient Agglomération,20840.0,"3,0"
200042190,CA DE LA PORTE DU HAINAUT,116050.0,99430.0,85.7,200042190.0,La Porte du Hainaut,17720.0,"3,0"
200043123,CC AURAY QUIBERON TERRE ATLANTIQUE,73200.0,64560.0,88.2,200043123.0,Auray Quiberon Terre Atlantique,21460.0,"2,9"
200043172,CA DU BASSIN DE BRIVE,84650.0,73770.0,87.1,200043172.0,Le Bassin de Brive,20670.0,"2,9"
200043396,CA MAUBEUGE VAL DE SAMBRE,91050.0,73670.0,80.9,200043396.0,Maubeuge Val de Sambre,16860.0,"3,1"
200044618,CA DOUAISIS AGGLO,113410.0,96600.0,85.2,200044618.0,Le Douaisis Agglo,18660.0,"3,1"
200055655,CA ROISSY PAYS DE FRANCE,261000.0,202470.0,77.6,200055655.0,Roissy Pays de France,18660.0,"3,4"
200056232,CA COMMUNAUTE PARIS SACLAY,241670.0,206650.0,85.5,200056232.0,Communauté Paris-Saclay,25920.0,"3,6"
200056380,CA PLAINE VALLEE,140810.0,118070.0,83.9,200056380.0,Plaine Vallée,24220.0,"3,7"
200057859,CA COUR D ESSONNE AGGLOMERATION,149690.0,123940.0,82.8,200057859.0,Cœur d'Essonne Agglomération,23380.0,"3,3"
200057958,CA PARIS VALLEE DE LA MARNE,169190.0,139840.0,82.7,200057958.0,Paris - Vallée de la Marne,22080.0,"3,3"
200058477,CA VAL D YERRES VAL DE SEINE,131090.0,108710.0,82.9,200058477.0,Val d'Yerres Val de Seine,23030.0,"3,4"
200058485,CA VAL PARISIS,211980.0,178720.0,84.3,200058485.0,Val Parisis,23950.0,"3,5"
200058519,CA SAINT GERMAIN BOUCLES DE SEINE,260320.0,224710.0,86.3,200058519.0,Saint-Germain Boucles de Seine,28390.0,"4,4"
200058782,CA DE SAINT QUENTIN EN YVELINES,169150.0,142310.0,84.1,200058782.0,Saint-Quentin-en-Yvelines,24150.0,"3,4"
200059228,CA GRAND PARIS SUD SEINE ESSONNE SENART,256770.0,202640.0,78.9,200059228.0,Grand Paris Sud Seine Essonne Sénart,20220.0,"3,5"
200059889,CU GRAND PARIS SEINE ET OISE,314390.0,258760.0,82.3,200059889.0,Grand Paris Seine et Oise,22270.0,"3,6"
200060010,CA MAUGES COMMUNAUTE,90000.0,80900.0,89.9,200060010.0,Mauges Communauté,20150.0,"2,3"
200065597,CU CAEN LA MER,206350.0,184510.0,89.4,200065597.0,Caen la Mer,21220.0,"3,2"
200065647,CA PAYS DE MONTBELIARD AGGLOMERATION,105180.0,85560.0,81.3,200065647.0,Pays de Montbéliard Agglomération,20220.0,"3,0"
200065886,CA LOIRE FOREZ AGGLOMERATION,86240.0,75180.0,87.2,200065886.0,Loire Forez Agglomération,21230.0,"2,7"
200065928,CA LANNION TREGOR COMMUNAUTE,79880.0,71480.0,89.5,200065928.0,Lannion-Trégor Communauté,21090.0,"3,0"
200066009,CA MULHOUSE ALSACE AGGLOMERATION,210010.0,166780.0,79.4,200066009.0,Mulhouse Alsace Agglomération,20520.0,"3,8"
200066058,CA SAINT LOUIS AGGLOMERATION,59010.0,46920.0,79.5,200066058.0,Saint-Louis Agglomération,29410.0,"4,6"
200066124,CA GAILLAC GRAULHET,58880.0,47780.0,81.1,200066124.0,Gaillac-Graulhet,19730.0,"3,0"
200066355,CA SETE AGGLOPOLE MEDITERRANEE,106780.0,87500.0,81.9,200066355.0,Sète Agglopôle Méditerranée,19520.0,"3,3"
