epci,libelle_epci,population_carto,effectif_cumu_termine,taux_vaccination_adultes,EPCI 2020,Nom,niveau_vie_median,interdecile,dep,pauvrete40,pauvrete60,vaccination_septembre
200000172,CC FAUCIGNY GLIERES,21170.0,16890.0,79.8,200000172.0,Faucigny-Glières,24680.0,"3,5",74,"6,4","13,4",73.0
200000438,CC DU PAYS DE PONTCHATEAU SAINT GILDAS DES BOIS,26640.0,22910.0,86.0,200000438.0,Le Pays de Pontchâteau Saint-Gildas-des-Bois,20850.0,"2,3",44,"5,0","13,9",79.8
200000545,CC DES PORTES DE ROMILLY SUR SEINE,13870.0,11400.0,82.2,200000545.0,Les Portes de Romilly-sur-Seine,17430.0,"3,0",10,"22,7","36,2",73.1
200000628,CC RHONE LEZ PROVENCE,19490.0,15130.0,77.6,200000628.0,Rhône Lez Provence,18830.0,"3,2",84,"17,1","28,8",70.2
200000800,CC COUR DE SOLOGNE,7870.0,7130.0,90.6,200000800.0,Cœur de Sologne,20830.0,"2,7",41,"6,6","15,8",85.9
200000925,CC DE LA PLAINE DIJONNAISE,16620.0,14850.0,89.4,200000925.0,La Plaine Dijonnaise,22700.0,"2,3",21,"5,0","9,9",84.7
200000933,CC SAULDRE ET SOLOGNE,11220.0,9960.0,88.8,200000933.0,Sauldre et Sologne,20010.0,"2,8",18,"9,1","18,6",83.9
200004802,CC DU PAYS DE FAYENCE,24130.0,18120.0,75.1,200004802.0,Le Pays de Fayence,22040.0,"3,6",83,"10,0","19,2",67.4
200005932,CC DES PORTES DE SOLOGNE,12070.0,11040.0,91.5,200005932.0,Les Portes de Sologne,23620.0,"2,9",45,"5,0","11,4",87.4
200005957,CC DE LA REGION DE RAMBERVILLERS,9510.0,7910.0,83.2,200005957.0,La Région de Rambervillers,18590.0,"3,0",88,"16,0","27,2",77.0
200006682,"CA BEAUNE, COTE ET SUD COMMUNAUTE BEAUNE CHAGNY NOLAY",39820.0,35530.0,89.2,200006682.0,"Beaune, Côte et Sud - Communauté Beaune-Chagny-Nolay",21970.0,"3,1",71,"6,8","15,0",84.0
200006716,CC DU NOGENTAIS,11930.0,10020.0,84.0,200006716.0,Le Nogentais,20250.0,"3,0",10,"12,0","22,4",77.8
200006930,CC DU HAUT ALLIER,3680.0,3140.0,85.3,200006930.0,Le Haut-Allier,19110.0,"2,9",48,"10,3","21,9",78.8
200006971,CC DU PERCHE,13750.0,12170.0,88.5,200006971.0,Le Perche,20100.0,"2,9",28,"11,9","20,9",82.9
200007052,CC DE LA MARCHE BERRICHONNE,4330.0,3760.0,86.8,200007052.0,La Marche Berrichonne,18040.0,"2,7",36,"11,0","25,2",81.3
200007177,CC PAYS DE NERONDES,3370.0,2900.0,86.1,200007177.0,Pays de Nérondes,19060.0,"2,8",18,"11,8","24,2",77.2
200010650,CA DU GRAND DOLE,41780.0,35680.0,85.4,200010650.0,Le Grand Dole,20640.0,"2,9",39,"11,2","20,6",79.2
200011781,CC PORTES DU BERRY ENTRE LOIRE ET VAL D AUBOIS,7390.0,6470.0,87.6,200011781.0,Portes du Berry entre Loire et Val d'Aubois,19930.0,"2,6",18,"9,6","19,9",80.5
200013050,CC SAUER PECHELBRONN,13590.0,11800.0,86.8,200013050.0,Sauer-Pechelbronn,22970.0,"2,5",67,"5,0","9,5",81.5
200015162,CC DE L ORIENTE,4570.0,3560.0,77.9,200015162.0,L'Oriente,17240.0,"3,8",2B,"22,1","35,8",70.7
