epci,libelle_epci,population_carto,effectif_cumu_termine,taux_vaccination_adultes,EPCI 2020,Nom,niveau_vie_median,interdecile,dep,pauvrete40,pauvrete60,vaccination_septembre,tx_chomage,vote_fn
200000172,CC FAUCIGNY GLIERES,21170,17060,80.6,200000172.0,Faucigny-Glières,24680.0,"3,5",74,"6,4","13,4",73.0,8.0,25.4
200000438,CC DU PAYS DE PONTCHATEAU SAINT GILDAS DES BOIS,26640,23080,86.6,200000438.0,Le Pays de Pontchâteau Saint-Gildas-des-Bois,20850.0,"2,3",44,"5,0","13,9",79.8,7.6,20.7
200000545,CC DES PORTES DE ROMILLY SUR SEINE,13870,11540,83.2,200000545.0,Les Portes de Romilly-sur-Seine,17430.0,"3,0",10,"22,7","36,2",73.1,16.9,32.4
200000628,CC RHONE LEZ PROVENCE,19490,15350,78.8,200000628.0,Rhône Lez Provence,18830.0,"3,2",84,"17,1","28,8",70.2,12.6,40.9
200000800,CC COUR DE SOLOGNE,7870,7190,91.4,200000800.0,Cœur de Sologne,20830.0,"2,7",41,"6,6","15,8",85.9,9.8,23.8
200000925,CC DE LA PLAINE DIJONNAISE,16620,14940,89.9,200000925.0,La Plaine Dijonnaise,22700.0,"2,3",21,"5,0","9,9",84.7,5.8,31.4
200000933,CC SAULDRE ET SOLOGNE,11220,10030,89.4,200000933.0,Sauldre et Sologne,20010.0,"2,8",18,"9,1","18,6",83.9,8.6,26.2
200004802,CC DU PAYS DE FAYENCE,24130,18390,76.2,200004802.0,Le Pays de Fayence,22040.0,"3,6",83,"10,0","19,2",67.4,9.4,32.1
200005932,CC DES PORTES DE SOLOGNE,12070,11100,92.0,200005932.0,Les Portes de Sologne,23620.0,"2,9",45,"5,0","11,4",87.4,6.3,21.0
200005957,CC DE LA REGION DE RAMBERVILLERS,9510,7990,84.0,200005957.0,La Région de Rambervillers,18590.0,"3,0",88,"16,0","27,2",77.0,11.9,34.0
200006682,"CA BEAUNE, COTE ET SUD COMMUNAUTE BEAUNE CHAGNY NOLAY",39820,35750,89.8,200006682.0,"Beaune, Côte et Sud - Communauté Beaune-Chagny-Nolay",21970.0,"3,1",71,"6,8","15,0",84.0,7.5,23.3
200006716,CC DU NOGENTAIS,11930,10140,85.0,200006716.0,Le Nogentais,20250.0,"3,0",10,"12,0","22,4",77.8,11.3,34.6
200006930,CC DU HAUT ALLIER,3680,3170,86.1,200006930.0,Le Haut-Allier,19110.0,"2,9",48,"10,3","21,9",78.8,7.3,22.3
200006971,CC DU PERCHE,13750,12250,89.1,200006971.0,Le Perche,20100.0,"2,9",28,"11,9","20,9",82.9,10.1,24.9
200007052,CC DE LA MARCHE BERRICHONNE,4330,3780,87.3,200007052.0,La Marche Berrichonne,18040.0,"2,7",36,"11,0","25,2",81.3,7.5,22.5
200007177,CC PAYS DE NERONDES,3370,2940,87.2,200007177.0,Pays de Nérondes,19060.0,"2,8",18,"11,8","24,2",77.2,11.6,32.4
200010650,CA DU GRAND DOLE,41780,35940,86.0,200010650.0,Le Grand Dole,20640.0,"2,9",39,"11,2","20,6",79.2,8.6,25.3
