antenne,nom complet,qualite,parti,CLR,color_num_rand,datetime
CNews,Jean Messiha,Candidat aux élections législatives de 2017 dans l'Aisne,Rassemblement national,EXT D,9.488727057155295,2020-06-03
CNews,Jean Messiha,Candidat aux élections législatives de 2017 dans l'Aisne,Rassemblement national,EXT D,9.357864999949648,2020-06-08
LCI,Yannick Jadot,Député européen,Europe écologie - Les Verts,GAUCHE,2.2910348756693764,2020-06-09
Le Figaro,Nicolas Florian,Ancien maire de Bordeaux,Les Républicains,DROITE,8.791619013201515,2020-06-09
France Info,Florian Philippot,Ancien député européen,Les Patriotes,EXT D,9.22335979365953,2020-06-09
France Inter,Damien Abad,"Député de l'Ain, Président du groupe Les Républicains à l'Assemblée nationale",Les Républicains,DROITE,8.638719421413658,2020-06-09
BFM TV,François Pupponi,Député du Val-d'Oise,Divers gauche,GAUCHE,2.6994163398799476,2020-06-09
BFM TV,Philippe de Villiers,Président du Mouvement pour la France,Mouvement pour la France,DROITE,8.613832621728598,2020-06-09
BFM TV,Esther Benbassa,Sénatrice du Val-de-Marne,Europe écologie - Les Verts,GAUCHE,2.752007581182505,2020-06-09
Radio Classique,Jean-Baptiste Djebbari,Secrétaire d'État aux Transports,La République en marche !,CENTRE (majorité),4.372983066080737,2020-06-09
CNews,Eric Coquerel,"Député de Seine-Saint-Denis, Coordinateur politique et porte-parole du Parti de gauche",La France insoumise,EXT G,1.034787259939514,2020-06-09
Public Sénat,Valérie Rabault,Députée du Tarn-et-Garonne,Parti socialiste,GAUCHE,2.227575901265971,2020-06-09
RTL,Philippe de Villiers,Président du Mouvement pour la France,Mouvement pour la France,DROITE,8.182075359023683,2020-06-09
Sud Radio,Aurélien Pradié,Député du Lot,Les Républicains,DROITE,8.735339422674208,2020-06-09
France 2,Gabriel Attal,Secrétaire d'État auprès du Premier ministre Porte-parole du gouvernement,La République en marche !,CENTRE (majorité),4.510524420699248,2020-06-09
Public Sénat,Philippe Dominati,Sénateur de Paris,Les Républicains,DROITE,8.506646969244901,2020-06-09
France Inter,Sarah El Haïry,Secrétaire d'État chargée de la Jeunesse et de l'Engagement,MoDem,CENTRE,5.682574185787097,2020-06-09
RMC-BFM TV,Christophe Castaner,"Président du groupe LREM à l'Assemblée nationale, ancien Ministre de l'Intérieur",La République en marche !,CENTRE (majorité),4.067754180317403,2020-06-09
CNews,Julien Dray,Conseiller régional d'Ile-de-France,Parti socialiste,GAUCHE,2.1308625124829543,2020-06-10
France Info,Philippe de Villiers,Président du Mouvement pour la France,Mouvement pour la France,DROITE,8.673497036847511,2020-06-10
Le Figaro,Philippe Goujon,Maire du 15e arrondissement de Paris,Les Républicains,DROITE,8.679064867011505,2020-06-10
RFI,Julien Bayou,Secrétaire national d'EELV et conseiller régional d'Ile-de-France,Europe écologie - Les Verts,GAUCHE,2.3333359913491365,2020-06-10
France Info,François Ruffin,Député de la Somme,La France insoumise,EXT G,1.7942899625406907,2020-06-10
RMC-BFM TV,Ségolène Royal,Ancienne ministre,Parti socialiste,GAUCHE,2.4990869700978204,2020-06-10
