epci,libelle_epci,population_carto,effectif_cumu_termine,taux_vaccination_adultes,EPCI 2020,Nom,niveau_vie_median,interdecile,dep,pauvrete40,pauvrete60,vaccination_septembre
200023414,METROPOLE ROUEN NORMANDIE,51140,329200,643.7,200023414.0,Rouen Normandie,20550.0,"3,4",76,"16,3","26,0",82.0
200030195,METROPOLE NICE COTE D AZUR,72910,368420,505.3,200030195.0,Nice Côte d'Azur,20920.0,"3,8",06,"15,0","24,9",72.0
200040715,GRENOBLE ALPES METROPOLE,120080,294690,245.4,200040715.0,Grenoble-Alpes-Métropole,22100.0,"3,5",38,"12,7","21,4",81.3
200046977,METROPOLE DE LYON,121210,922970,761.5,200046977.0,Métropole de Lyon,21930.0,"3,9",69,"14,9","24,3",78.3
200054781,METROPOLE DU GRAND PARIS,583880,4579940,784.4,200054781.0,Le Grand Paris,22880.0,"5,1",95,"15,0","24,8",78.0
200054807,METROPOLE D AIX MARSEILLE PROVENCE,248630,1179340,474.3,200054807.0,Aix-Marseille-Provence,20910.0,"3,8",84,"16,6","25,9",68.9
242900314,BREST METROPOLE,51660,136370,264.0,242900314.0,Brest Métropole,21020.0,"3,1",29,"12,4","20,7",83.1
243100518,TOULOUSE METROPOLE,248980,511890,205.6,243100518.0,Toulouse Métropole,22310.0,"3,8",31,"15,2","23,9",77.6
243300316,BORDEAUX METROPOLE,68680,554720,807.7,243300316.0,Bordeaux Métropole,22060.0,"3,6",33,"12,5","21,0",80.5
243400017,MONTPELLIER MEDITERRANEE METROPOLE,149310,313780,210.2,243400017.0,Montpellier Méditerranée Métropole,20590.0,"3,9",34,"18,0","27,9",74.3
244400404,NANTES METROPOLE,55330,448940,811.4,244400404.0,Nantes Métropole,22710.0,"3,3",44,"11,2","18,5",82.0
246700488,EUROMETROPOLE DE STRASBOURG,57870,329790,569.9,246700488.0,Eurométropole de Strasbourg,20450.0,"3,9",67,"18,7","29,0",77.6
248300543,METROPOLE TOULON PROVENCE MEDITERRANEE,54460,277530,509.6,248300543.0,Toulon-Provence-Méditerranée,20640.0,"3,5",83,"14,8","24,3",71.8
