datetime,quantite_hydraulique,quantite_conso
2022-07-27 00:00:00,4111,44731
2022-07-27 00:00:00,4111,44731
2022-07-27 02:00:00,3026,39522
2022-07-27 02:00:00,3026,39522
2022-07-27 04:00:00,2454,36434
2022-07-27 04:00:00,2454,36434
2022-07-27 06:00:00,2771,38679
2022-07-27 06:00:00,2771,38679
2022-07-27 08:00:00,5159,44807
2022-07-27 08:00:00,5159,44807
2022-07-27 10:00:00,5204,49197
2022-07-27 10:00:00,5204,49197
2022-07-27 12:00:00,5187,51794
2022-07-27 12:00:00,5187,51794
2022-07-27 14:00:00,4769,51086
2022-07-27 14:00:00,4769,51086
2022-07-27 16:00:00,4367,48981
2022-07-27 16:00:00,4367,48981
2022-07-27 18:00:00,5804,48782
2022-07-27 18:00:00,5804,48782
2022-07-27 20:00:00,7982,48307
2022-07-27 20:00:00,7982,48307
2022-07-27 22:00:00,5433,45704
2022-07-27 22:00:00,5433,45704
2022-07-28 00:00:00,4572,44595
2022-07-28 02:00:00,3455,39548
2022-07-28 04:00:00,2734,36497
2022-07-28 06:00:00,2905,38953
2022-07-28 08:00:00,4780,44697
2022-07-28 10:00:00,5496,49365
2022-07-28 12:00:00,4714,51949
2022-07-28 14:00:00,4451,51849
2022-07-28 16:00:00,3902,49990
2022-07-28 18:00:00,5492,48916
2022-07-28 20:00:00,7251,48218
2022-07-28 22:00:00,6653,45985
2022-07-29 00:00:00,4708,44869
2022-07-29 02:00:00,3140,39651
2022-07-29 04:00:00,2552,36578
2022-07-29 06:00:00,2516,38886
2022-07-29 08:00:00,3982,44626
2022-07-29 10:00:00,5875,49066
2022-07-29 12:00:00,4345,50922
2022-07-29 14:00:00,4277,49279
2022-07-29 16:00:00,3913,47560
2022-07-29 18:00:00,4034,46833
2022-07-29 20:00:00,6351,46269
2022-07-29 22:00:00,4664,44558
2022-07-30 00:00:00,4233,43719
2022-07-30 02:00:00,3972,38274
2022-07-30 04:00:00,3193,34818
2022-07-30 06:00:00,3051,34847
2022-07-30 08:00:00,3594,36832
2022-07-30 10:00:00,3238,42126
2022-07-30 12:00:00,3352,44766
2022-07-30 14:00:00,3319,44552
2022-07-30 16:00:00,2881,42719
2022-07-30 18:00:00,3079,42779
2022-07-30 20:00:00,4968,43070
2022-07-30 22:00:00,4568,42325
2022-07-31 00:00:00,4989,41892
2022-07-31 02:00:00,3759,36984
