datetime,quantite_nucleaire,quantite_conso
2022-07-27 00:00:00,24096,44731
2022-07-27 00:00:00,24096,44731
2022-07-27 02:00:00,24040,39522
2022-07-27 02:00:00,24040,39522
2022-07-27 04:00:00,23969,36434
2022-07-27 04:00:00,23969,36434
2022-07-27 06:00:00,24085,38679
2022-07-27 06:00:00,24085,38679
2022-07-27 08:00:00,24222,44807
2022-07-27 08:00:00,24222,44807
2022-07-27 10:00:00,24253,49197
2022-07-27 10:00:00,24253,49197
2022-07-27 12:00:00,24233,51794
2022-07-27 12:00:00,24233,51794
2022-07-27 14:00:00,24222,51086
2022-07-27 14:00:00,24222,51086
2022-07-27 16:00:00,24146,48981
2022-07-27 16:00:00,24146,48981
2022-07-27 18:00:00,23864,48782
2022-07-27 18:00:00,23864,48782
2022-07-27 20:00:00,23961,48307
2022-07-27 20:00:00,23961,48307
2022-07-27 22:00:00,24073,45704
2022-07-27 22:00:00,24073,45704
2022-07-28 00:00:00,23749,44595
2022-07-28 02:00:00,23995,39548
2022-07-28 04:00:00,24155,36497
2022-07-28 06:00:00,24309,38953
2022-07-28 08:00:00,24354,44697
2022-07-28 10:00:00,24454,49365
2022-07-28 12:00:00,24436,51949
2022-07-28 14:00:00,24719,51849
2022-07-28 16:00:00,24609,49990
2022-07-28 18:00:00,24933,48916
2022-07-28 20:00:00,24955,48218
2022-07-28 22:00:00,24942,45985
2022-07-29 00:00:00,24635,44869
2022-07-29 02:00:00,24404,39651
2022-07-29 04:00:00,23955,36578
2022-07-29 06:00:00,25003,38886
2022-07-29 08:00:00,25159,44626
2022-07-29 10:00:00,25254,49066
2022-07-29 12:00:00,25090,50922
2022-07-29 14:00:00,24968,49279
2022-07-29 16:00:00,24400,47560
2022-07-29 18:00:00,24293,46833
2022-07-29 20:00:00,24325,46269
2022-07-29 22:00:00,24863,44558
2022-07-30 00:00:00,24357,43719
2022-07-30 02:00:00,24356,38274
2022-07-30 04:00:00,24625,34818
2022-07-30 06:00:00,24891,34847
2022-07-30 08:00:00,24736,36832
2022-07-30 10:00:00,24592,42126
2022-07-30 12:00:00,24715,44766
2022-07-30 14:00:00,24101,44552
2022-07-30 16:00:00,23619,42719
2022-07-30 18:00:00,24501,42779
2022-07-30 20:00:00,24731,43070
2022-07-30 22:00:00,24657,42325
2022-07-31 00:00:00,24496,41892
2022-07-31 02:00:00,24343,36984
2022-07-31 04:00:00,22992,32997
2022-07-31 06:00:00,22559,32745
2022-07-31 08:00:00,22388,33843
2022-07-31 10:00:00,21940,38695
2022-07-31 12:00:00,21197,42293
2022-07-31 14:00:00,20984,41600
2022-07-31 16:00:00,21478,39868
2022-07-31 18:00:00,22591,40575
2022-07-31 20:00:00,24140,42796
2022-07-31 22:00:00,23996,42624
2022-08-01 00:00:00,23506,41481
2022-08-01 02:00:00,23399,36501
2022-08-01 04:00:00,22932,33527
2022-08-01 06:00:00,23432,36111
2022-08-01 08:00:00,24286,41586
2022-08-01 10:00:00,24229,46651
2022-08-01 12:00:00,24205,49523
2022-08-01 14:00:00,24349,49334
2022-08-01 16:00:00,24747,47514
2022-08-01 18:00:00,24902,47058
2022-08-01 20:00:00,25030,47639
2022-08-01 22:00:00,24776,45492
2022-08-02 00:00:00,24452,43810
2022-08-02 02:00:00,24437,38663
2022-08-02 04:00:00,24157,35270
2022-08-02 06:00:00,24840,37415
2022-08-02 08:00:00,24990,42515
2022-08-02 10:00:00,25003,47156
2022-08-02 12:00:00,25375,50520
2022-08-02 14:00:00,25858,50391
2022-08-02 16:00:00,26112,49048
2022-08-02 18:00:00,26122,48688
2022-08-02 20:00:00,25975,48458
2022-08-02 22:00:00,25936,46073
2022-08-03 00:00:00,25846,44313
2022-08-03 02:00:00,26252,39073
2022-08-03 04:00:00,26342,35671
2022-08-03 06:00:00,26670,37958
2022-08-03 08:00:00,26754,42622
2022-08-03 10:00:00,26595,48421
2022-08-03 12:00:00,26766,51997
2022-08-03 14:00:00,26098,52053
2022-08-03 16:00:00,25938,50639
2022-08-03 18:00:00,26598,49639
2022-08-03 20:00:00,26520,49429
2022-08-03 22:00:00,26382,46967
2022-08-04 00:00:00,26135,44645
2022-08-04 02:00:00,26291,39628
2022-08-04 04:00:00,26309,36303
2022-08-04 06:00:00,26501,38334
2022-08-04 08:00:00,26620,42996
2022-08-04 10:00:00,26710,48131
2022-08-04 12:00:00,26529,50958
2022-08-04 14:00:00,25848,51037
2022-08-04 16:00:00,25842,49865
2022-08-04 18:00:00,26080,48867
2022-08-04 20:00:00,25824,47346
2022-08-04 22:00:00,25451,45288
2022-08-05 00:00:00,24713,43490
2022-08-05 02:00:00,24602,38755
2022-08-05 04:00:00,24516,35512
2022-08-05 06:00:00,24948,37584
2022-08-05 08:00:00,24973,41994
2022-08-05 10:00:00,25132,46514
2022-08-05 12:00:00,24745,49170
2022-08-05 14:00:00,24682,48797
2022-08-05 16:00:00,24820,46894
2022-08-05 18:00:00,24965,46274
2022-08-05 20:00:00,25409,44676
2022-08-05 22:00:00,25246,43186
2022-08-06 00:00:00,24878,41862
2022-08-06 02:00:00,24267,36732
2022-08-06 04:00:00,23661,33215
2022-08-06 06:00:00,24278,33811
2022-08-06 08:00:00,24388,35427
2022-08-06 10:00:00,24181,40198
2022-08-06 12:00:00,23449,43172
2022-08-06 14:00:00,23268,42940
2022-08-06 16:00:00,23718,41448
2022-08-06 18:00:00,24644,41725
2022-08-06 20:00:00,25457,41484
2022-08-06 22:00:00,25747,40805
2022-08-07 00:00:00,24885,39986
2022-08-07 02:00:00,24744,35344
2022-08-07 04:00:00,25059,31689
2022-08-07 06:00:00,25031,31747
2022-08-07 08:00:00,24376,32585
2022-08-07 10:00:00,24382,37518
2022-08-07 12:00:00,23528,40871
2022-08-07 14:00:00,22294,40147
2022-08-07 16:00:00,22331,38217
2022-08-07 18:00:00,24101,38935
2022-08-07 20:00:00,26099,40382
2022-08-07 22:00:00,26032,40427
