datetime,quantite_solaire,quantite_conso
2022-07-27 00:00:00,0,44731
2022-07-27 00:00:00,0,44731
2022-07-27 02:00:00,0,39522
2022-07-27 02:00:00,0,39522
2022-07-27 04:00:00,0,36434
2022-07-27 04:00:00,0,36434
2022-07-27 06:00:00,190,38679
2022-07-27 06:00:00,190,38679
2022-07-27 08:00:00,1464,44807
2022-07-27 08:00:00,1464,44807
2022-07-27 10:00:00,6073,49197
2022-07-27 10:00:00,6073,49197
2022-07-27 12:00:00,9040,51794
2022-07-27 12:00:00,9040,51794
2022-07-27 14:00:00,9601,51086
2022-07-27 14:00:00,9601,51086
2022-07-27 16:00:00,8728,48981
2022-07-27 16:00:00,8728,48981
2022-07-27 18:00:00,5833,48782
2022-07-27 18:00:00,5833,48782
2022-07-27 20:00:00,1245,48307
2022-07-27 20:00:00,1245,48307
2022-07-27 22:00:00,195,45704
2022-07-27 22:00:00,195,45704
2022-07-28 00:00:00,0,44595
2022-07-28 02:00:00,0,39548
2022-07-28 04:00:00,0,36497
2022-07-28 06:00:00,194,38953
2022-07-28 08:00:00,1401,44697
2022-07-28 10:00:00,5607,49365
2022-07-28 12:00:00,8543,51949
2022-07-28 14:00:00,9203,51849
2022-07-28 16:00:00,7855,49990
2022-07-28 18:00:00,4798,48916
2022-07-28 20:00:00,1055,48218
2022-07-28 22:00:00,189,45985
2022-07-29 00:00:00,0,44869
2022-07-29 02:00:00,0,39651
2022-07-29 04:00:00,0,36578
2022-07-29 06:00:00,182,38886
2022-07-29 08:00:00,1028,44626
2022-07-29 10:00:00,3406,49066
2022-07-29 12:00:00,5804,50922
2022-07-29 14:00:00,7302,49279
2022-07-29 16:00:00,7154,47560
2022-07-29 18:00:00,4976,46833
2022-07-29 20:00:00,1105,46269
2022-07-29 22:00:00,179,44558
2022-07-30 00:00:00,0,43719
2022-07-30 02:00:00,0,38274
2022-07-30 04:00:00,0,34818
2022-07-30 06:00:00,179,34847
2022-07-30 08:00:00,1395,36832
2022-07-30 10:00:00,6197,42126
2022-07-30 12:00:00,8905,44766
2022-07-30 14:00:00,9414,44552
2022-07-30 16:00:00,8468,42719
2022-07-30 18:00:00,5411,42779
2022-07-30 20:00:00,1148,43070
2022-07-30 22:00:00,176,42325
2022-07-31 00:00:00,0,41892
2022-07-31 02:00:00,0,36984
2022-07-31 04:00:00,0,32997
2022-07-31 06:00:00,176,32745
2022-07-31 08:00:00,1303,33843
2022-07-31 10:00:00,6116,38695
2022-07-31 12:00:00,9332,42293
2022-07-31 14:00:00,10192,41600
2022-07-31 16:00:00,9242,39868
2022-07-31 18:00:00,5985,40575
2022-07-31 20:00:00,1141,42796
2022-07-31 22:00:00,180,42624
2022-08-01 00:00:00,0,41481
2022-08-01 02:00:00,0,36501
2022-08-01 04:00:00,0,33527
2022-08-01 06:00:00,178,36111
2022-08-01 08:00:00,1213,41586
2022-08-01 10:00:00,5816,46651
2022-08-01 12:00:00,8804,49523
2022-08-01 14:00:00,9297,49334
2022-08-01 16:00:00,8337,47514
2022-08-01 18:00:00,5421,47058
2022-08-01 20:00:00,1130,47639
2022-08-01 22:00:00,177,45492
2022-08-02 00:00:00,0,43810
2022-08-02 02:00:00,0,38663
2022-08-02 04:00:00,0,35270
2022-08-02 06:00:00,174,37415
2022-08-02 08:00:00,1301,42515
2022-08-02 10:00:00,6391,47156
2022-08-02 12:00:00,9549,50520
2022-08-02 14:00:00,10226,50391
2022-08-02 16:00:00,9266,49048
2022-08-02 18:00:00,5849,48688
2022-08-02 20:00:00,1106,48458
2022-08-02 22:00:00,184,46073
2022-08-03 00:00:00,0,44313
2022-08-03 02:00:00,0,39073
2022-08-03 04:00:00,0,35671
2022-08-03 06:00:00,180,37958
2022-08-03 08:00:00,1303,42622
2022-08-03 10:00:00,6240,48421
2022-08-03 12:00:00,9443,51997
2022-08-03 14:00:00,10221,52053
2022-08-03 16:00:00,9118,50639
2022-08-03 18:00:00,5561,49639
2022-08-03 20:00:00,967,49429
2022-08-03 22:00:00,184,46967
2022-08-04 00:00:00,0,44645
2022-08-04 02:00:00,0,39628
2022-08-04 04:00:00,0,36303
2022-08-04 06:00:00,187,38334
2022-08-04 08:00:00,1170,42996
2022-08-04 10:00:00,5339,48131
2022-08-04 12:00:00,8528,50958
2022-08-04 14:00:00,9384,51037
2022-08-04 16:00:00,8574,49865
2022-08-04 18:00:00,5042,48867
2022-08-04 20:00:00,911,47346
2022-08-04 22:00:00,187,45288
2022-08-05 00:00:00,0,43490
2022-08-05 02:00:00,0,38755
2022-08-05 04:00:00,0,35512
2022-08-05 06:00:00,184,37584
2022-08-05 08:00:00,1151,41994
2022-08-05 10:00:00,5117,46514
2022-08-05 12:00:00,8205,49170
2022-08-05 14:00:00,9361,48797
2022-08-05 16:00:00,8040,46894
2022-08-05 18:00:00,5057,46274
2022-08-05 20:00:00,978,44676
2022-08-05 22:00:00,185,43186
2022-08-06 00:00:00,0,41862
2022-08-06 02:00:00,0,36732
2022-08-06 04:00:00,0,33215
2022-08-06 06:00:00,183,33811
2022-08-06 08:00:00,1253,35427
2022-08-06 10:00:00,6306,40198
2022-08-06 12:00:00,9724,43172
2022-08-06 14:00:00,10414,42940
2022-08-06 16:00:00,9446,41448
2022-08-06 18:00:00,5747,41725
2022-08-06 20:00:00,1037,41484
2022-08-06 22:00:00,182,40805
2022-08-07 00:00:00,0,39986
2022-08-07 02:00:00,0,35344
2022-08-07 04:00:00,0,31689
2022-08-07 06:00:00,184,31747
2022-08-07 08:00:00,1262,32585
2022-08-07 10:00:00,6609,37518
2022-08-07 12:00:00,9943,40871
2022-08-07 14:00:00,10773,40147
2022-08-07 16:00:00,9529,38217
2022-08-07 18:00:00,5965,38935
2022-08-07 20:00:00,1014,40382
2022-08-07 22:00:00,184,40427
2022-08-08 00:00:00,0,39318
