datetime,quantite_eolien,quantite_conso
2020-09-26 08:00:00,10653,39636
2020-09-26 10:00:00,10464,45415
2020-09-26 12:00:00,10460,48120
2020-09-26 14:00:00,10608,46516
2020-09-26 16:00:00,9857,43232
2020-09-26 18:00:00,9082,42758
2020-09-26 20:00:00,8389,47650
2020-09-26 22:00:00,7876,43342
2020-09-27 00:00:00,7791,45463
2020-09-27 02:00:00,8677,39910
2020-09-27 04:00:00,10193,35526
2020-09-27 06:00:00,11505,35327
2020-09-27 08:00:00,11994,37462
2020-09-27 10:00:00,11943,44097
2020-09-27 12:00:00,11565,48845
2020-09-27 14:00:00,11342,46472
2020-09-27 16:00:00,9882,43246
2020-09-27 18:00:00,8293,43503
2020-09-27 20:00:00,6322,49541
2020-09-27 22:00:00,5488,44928
2020-09-28 00:00:00,4647,45912
2020-09-28 00:00:00,4647,45912
2020-09-28 00:00:00,4647,45912
2020-09-28 00:00:00,4647,45912
2020-09-28 02:00:00,4623,40911
2020-09-28 02:00:00,4623,40911
2020-09-28 02:00:00,4623,40911
2020-09-28 02:00:00,4623,40911
2020-09-28 04:00:00,4527,37135
2020-09-28 04:00:00,4527,37135
2020-09-28 04:00:00,4527,37135
2020-09-28 04:00:00,4527,37135
2020-09-28 06:00:00,4004,41326
2020-09-28 06:00:00,4004,41326
2020-09-28 06:00:00,4004,41326
2020-09-28 06:00:00,4004,41326
2020-09-28 08:00:00,3934,52092
2020-09-28 08:00:00,3934,52092
2020-09-28 08:00:00,3934,52092
2020-09-28 08:00:00,3934,52092
2020-09-28 10:00:00,3244,55714
2020-09-28 10:00:00,3244,55714
2020-09-28 10:00:00,3244,55714
2020-09-28 10:00:00,3244,55714
2020-09-28 12:00:00,3347,57373
2020-09-28 12:00:00,3347,57373
2020-09-28 12:00:00,3347,57373
2020-09-28 12:00:00,3347,57373
2020-09-28 14:00:00,3782,55743
2020-09-28 14:00:00,3782,55743
2020-09-28 14:00:00,3782,55743
2020-09-28 14:00:00,3782,55743
2020-09-28 16:00:00,4115,52308
2020-09-28 16:00:00,4115,52308
2020-09-28 16:00:00,4115,52308
2020-09-28 16:00:00,4115,52308
2020-09-28 18:00:00,4279,51076
2020-09-28 18:00:00,4279,51076
2020-09-28 18:00:00,4279,51076
2020-09-28 18:00:00,4279,51076
2020-09-28 20:00:00,4202,56298
2020-09-28 20:00:00,4202,56298
2020-09-28 20:00:00,4202,56298
2020-09-28 20:00:00,4202,56298
2020-09-28 22:00:00,4346,48820
2020-09-28 22:00:00,4346,48820
2020-09-28 22:00:00,4346,48820
2020-09-28 22:00:00,4346,48820
2020-09-29 00:00:00,3757,49039
2020-09-29 02:00:00,2708,43213
2020-09-29 04:00:00,2243,39442
2020-09-29 06:00:00,1738,42818
2020-09-29 08:00:00,1543,53550
2020-09-29 10:00:00,1120,55722
2020-09-29 12:00:00,1122,56497
2020-09-29 14:00:00,1260,54165
2020-09-29 16:00:00,1339,50984
2020-09-29 18:00:00,1011,49967
2020-09-29 20:00:00,649,55346
2020-09-29 22:00:00,736,47937
2020-09-30 00:00:00,660,48370
2020-09-30 02:00:00,672,42417
2020-09-30 04:00:00,784,38985
2020-09-30 06:00:00,874,42358
2020-09-30 08:00:00,1356,51780
2020-09-30 10:00:00,1438,54506
2020-09-30 12:00:00,1971,54960
2020-09-30 14:00:00,2469,52937
2020-09-30 16:00:00,2840,49793
2020-09-30 18:00:00,2692,48696
2020-09-30 20:00:00,3046,54209
2020-09-30 22:00:00,4067,47132
2020-10-01 00:00:00,4719,47643
2020-10-01 02:00:00,5151,42357
2020-10-01 04:00:00,4878,38557
2020-10-01 06:00:00,5137,41602
2020-10-01 08:00:00,5439,51893
2020-10-01 10:00:00,5370,54301
2020-10-01 12:00:00,5925,55665
2020-10-01 14:00:00,7002,53847
2020-10-01 16:00:00,6345,51043
