epci,libelle_epci,population_carto,effectif_cumu_termine,taux_vaccination_adultes,EPCI 2020,Nom,niveau_vie_median,interdecile,dep,pauvrete40,pauvrete60,vaccination_septembre
200000172,CC FAUCIGNY GLIERES,2430,17060,702.1,200000172.0,Faucigny-Glières,24680.0,"3,5",74,"6,4","13,4",73.0
200000438,CC DU PAYS DE PONTCHATEAU SAINT GILDAS DES BOIS,8120,23080,284.2,200000438.0,Le Pays de Pontchâteau Saint-Gildas-des-Bois,20850.0,"2,3",44,"5,0","13,9",79.8
200000545,CC DES PORTES DE ROMILLY SUR SEINE,3260,11540,354.0,200000545.0,Les Portes de Romilly-sur-Seine,17430.0,"3,0",10,"22,7","36,2",73.1
200000628,CC RHONE LEZ PROVENCE,5680,15350,270.2,200000628.0,Rhône Lez Provence,18830.0,"3,2",84,"17,1","28,8",70.2
200000800,CC COUR DE SOLOGNE,1350,7190,532.6,200000800.0,Cœur de Sologne,20830.0,"2,7",41,"6,6","15,8",85.9
200000925,CC DE LA PLAINE DIJONNAISE,2870,14940,520.6,200000925.0,La Plaine Dijonnaise,22700.0,"2,3",21,"5,0","9,9",84.7
200000933,CC SAULDRE ET SOLOGNE,2080,10030,482.2,200000933.0,Sauldre et Sologne,20010.0,"2,8",18,"9,1","18,6",83.9
200004802,CC DU PAYS DE FAYENCE,3420,18390,537.7,200004802.0,Le Pays de Fayence,22040.0,"3,6",83,"10,0","19,2",67.4
200005932,CC DES PORTES DE SOLOGNE,1510,11100,735.1,200005932.0,Les Portes de Sologne,23620.0,"2,9",45,"5,0","11,4",87.4
200005957,CC DE LA REGION DE RAMBERVILLERS,1530,7990,522.2,200005957.0,La Région de Rambervillers,18590.0,"3,0",88,"16,0","27,2",77.0
200006682,"CA BEAUNE, COTE ET SUD COMMUNAUTE BEAUNE CHAGNY NOLAY",5850,35750,611.1,200006682.0,"Beaune, Côte et Sud - Communauté Beaune-Chagny-Nolay",21970.0,"3,1",71,"6,8","15,0",84.0
200006716,CC DU NOGENTAIS,1740,10140,582.8,200006716.0,Le Nogentais,20250.0,"3,0",10,"12,0","22,4",77.8
200006930,CC DU HAUT ALLIER,800,3170,396.2,200006930.0,Le Haut-Allier,19110.0,"2,9",48,"10,3","21,9",78.8
200006971,CC DU PERCHE,3100,12250,395.2,200006971.0,Le Perche,20100.0,"2,9",28,"11,9","20,9",82.9
200007052,CC DE LA MARCHE BERRICHONNE,960,3780,393.8,200007052.0,La Marche Berrichonne,18040.0,"2,7",36,"11,0","25,2",81.3
200007177,CC PAYS DE NERONDES,650,2940,452.3,200007177.0,Pays de Nérondes,19060.0,"2,8",18,"11,8","24,2",77.2
200010650,CA DU GRAND DOLE,6570,35940,547.0,200010650.0,Le Grand Dole,20640.0,"2,9",39,"11,2","20,6",79.2
200010700,CA CAUX SEINE AGGLO,8400,52590,626.1,200010700.0,Caux Seine Agglo,20700.0,"2,8",76,"10,1","20,2",85.4
200011773,CA ANNEMASSE LES VOIRONS AGGLOMERATION,25290,48270,190.9,200011773.0,Annemasse-les Voirons-Agglomération,25320.0,"5,9",74,"14,4","22,9",64.8
200011781,CC PORTES DU BERRY ENTRE LOIRE ET VAL D AUBOIS,1290,6510,504.7,200011781.0,Portes du Berry entre Loire et Val d'Aubois,19930.0,"2,6",18,"9,6","19,9",80.5
200013050,CC SAUER PECHELBRONN,1670,11900,712.6,200013050.0,Sauer-Pechelbronn,22970.0,"2,5",67,"5,0","9,5",81.5
200015162,CC DE L ORIENTE,900,3610,401.1,200015162.0,L'Oriente,17240.0,"3,8",2B,"22,1","35,8",70.7
200016905,CC DU PAYS DE LAMASTRE,1080,4200,388.9,200016905.0,Le Pays de Lamastre,17880.0,"3,0",07,"14,0","27,7",74.8
200017341,CC LODEVOIS ET LARZAC,1840,9300,505.4,200017341.0,Lodévois et Larzac,17620.0,"3,3",34,"20,3","33,8",69.2
200017846,CA ETAMPOIS SUD ESSONNE,4170,34130,818.5,200017846.0,Étampois Sud-Essonne (CCESE),21600.0,"3,0",91,"10,4","19,9",75.8
200018083,CC DE DESVRES SAMER,1870,15050,804.8,200018083.0,Desvres-Samer,19400.0,"2,8",62,"10,7","22,2",87.0
200018166,CC LE GRESIVAUDAN,11280,72110,639.3,200018166.0,Le Grésivaudan,25800.0,"3,0",38,"5,0","8,9",84.0
200018406,CC DU ROMORANTINAIS ET DU MONESTOIS,4300,22850,531.4,200018406.0,Le Romorantinais et du Monestois,19880.0,"3,0",41,"13,0","22,8",81.9
200018521,CC DU VAL DE BOUZANNE,730,3900,534.2,200018521.0,Le Val de Bouzanne,19610.0,"2,7",36,"10,1","20,7",80.8
200022986,CC DU GRAND PIC SAINT LOUP,4960,35420,714.1,200022986.0,Le Grand Pic Saint-Loup,25460.0,"3,3",34,"5,0","10,4",81.9
200023075,CC DU PAYS DE MAICHE,1740,10790,620.1,200023075.0,Le Pays de Maîche,26050.0,"3,3",25,"5,0","10,1",69.6
200023125,CC LES PORTES BRIARDES ENTRE VILLES ET FORETS,3490,29930,857.6,200023125.0,Les Portes Briardes entre Villes et Forêts,25120.0,"3,3",77,"6,6","12,6",80.0
200023240,CC PAYS DE NEMOURS,6410,19130,298.4,200023240.0,Pays de Nemours,21140.0,"3,2",77,"12,2","21,5",77.3
200023299,CC COUR DE TARENTAISE,820,6220,758.5,200023299.0,Cœur de Tarentaise,21510.0,"3,3",73,"10,1","19,5",77.7
200023307,CA DU GRAND VILLENEUVOIS,6750,32360,479.4,200023307.0,Le Grand Villeneuvois,18840.0,"3,1",47,"15,5","27,6",74.7
200023372,CC DE LA VALLEE DE CHAMONIX MONT BLANC,1370,10520,767.9,200023372.0,La Vallée de Chamonix-Mont-Blanc,22450.0,"3,7",74,"7,6","15,6",78.1
200023414,METROPOLE ROUEN NORMANDIE,51140,329200,643.7,200023414.0,Rouen Normandie,20550.0,"3,4",76,"16,3","26,0",82.0
200023620,CC DE LA GASCOGNE TOULOUSAINE,1650,14650,887.9,200023620.0,La Gascogne Toulousaine,24180.0,"2,9",32,"5,5","11,4",80.8
200023737,CA DU GRAND CAHORS,8050,28970,359.9,200023737.0,Le Grand Cahors,20630.0,"3,2",46,"12,4","22,1",78.1
200023778,CC DU PAYS DE SAINT GILLES CROIX DE VIE,9630,44670,463.9,200023778.0,Le Pays de Saint-Gilles-Croix-de-Vie,21440.0,"2,6",85,"5,0","12,5",85.5
