jour,age_class2,rea,hosp,dc
2020-03-18,50-70 ans,352,991,21
2020-03-18,moins de 50 ans,92,403,7
2020-03-18,plus de 70 ans,320,1511,188
2020-03-19,50-70 ans,514,1435,43
2020-03-19,moins de 50 ans,137,580,9
2020-03-19,plus de 70 ans,456,2345,314
2020-03-20,50-70 ans,604,1715,51
2020-03-20,moins de 50 ans,169,703,8
2020-03-20,plus de 70 ans,508,2693,385
2020-03-21,50-70 ans,694,2029,66
2020-03-21,moins de 50 ans,208,807,8
2020-03-21,plus de 70 ans,602,3213,480
2020-03-22,50-70 ans,809,2421,81
2020-03-22,moins de 50 ans,237,970,12
2020-03-22,plus de 70 ans,679,3725,573
2020-03-23,50-70 ans,1000,2941,111
2020-03-23,moins de 50 ans,294,1174,14
2020-03-23,plus de 70 ans,765,4429,725
2020-03-24,50-70 ans,1199,3488,150
2020-03-24,moins de 50 ans,348,1349,17
2020-03-24,plus de 70 ans,925,5201,920
2020-03-25,50-70 ans,1432,4156,185
2020-03-25,moins de 50 ans,399,1591,21
2020-03-25,plus de 70 ans,1067,6177,1167
2020-03-26,50-70 ans,1670,4806,227
2020-03-26,moins de 50 ans,445,1796,26
2020-03-26,plus de 70 ans,1191,7080,1425
2020-03-27,50-70 ans,1891,5488,268
2020-03-27,moins de 50 ans,496,2043,29
2020-03-27,plus de 70 ans,1326,7960,1677
2020-03-28,50-70 ans,2178,6214,320
2020-03-28,moins de 50 ans,543,2270,37
2020-03-28,plus de 70 ans,1460,8846,1934
2020-03-29,50-70 ans,2411,6973,361
2020-03-29,moins de 50 ans,583,2549,43
2020-03-29,plus de 70 ans,1540,9519,2177
2020-03-30,50-70 ans,2648,7615,426
2020-03-30,moins de 50 ans,640,2730,50
2020-03-30,plus de 70 ans,1683,10284,2510
2020-03-31,50-70 ans,2920,8314,512
2020-03-31,moins de 50 ans,700,2873,58
2020-03-31,plus de 70 ans,1800,11140,2906
2020-04-01,50-70 ans,3197,9034,599
2020-04-01,moins de 50 ans,767,3068,65
2020-04-01,plus de 70 ans,1910,12109,3319
2020-04-02,50-70 ans,3407,9581,688
2020-04-02,moins de 50 ans,833,3252,76
2020-04-02,plus de 70 ans,1997,12959,3691
2020-04-03,50-70 ans,3556,9934,797
2020-04-03,moins de 50 ans,856,3330,90
2020-04-03,plus de 70 ans,2076,13707,4155
2020-04-04,50-70 ans,3642,10000,890
2020-04-04,moins de 50 ans,886,3320,98
2020-04-04,plus de 70 ans,2126,14356,4492
2020-04-05,50-70 ans,3736,10230,950
2020-04-05,moins de 50 ans,908,3371,107
2020-04-05,plus de 70 ans,2143,14798,4779
2020-04-06,50-70 ans,3795,10462,1049
2020-04-06,moins de 50 ans,923,3473,120
2020-04-06,plus de 70 ans,2157,15312,5268
2020-04-07,50-70 ans,3830,10439,1146
2020-04-07,moins de 50 ans,912,3451,131
2020-04-07,plus de 70 ans,2191,15676,5756
2020-04-08,50-70 ans,3831,10369,1230
2020-04-08,moins de 50 ans,922,3412,141
2020-04-08,plus de 70 ans,2198,16134,6200
2020-04-09,50-70 ans,3777,10202,1293
2020-04-09,moins de 50 ans,903,3349,154
2020-04-09,plus de 70 ans,2188,16753,6535
2020-04-10,50-70 ans,3756,10172,1369
2020-04-10,moins de 50 ans,874,3320,167
2020-04-10,plus de 70 ans,2178,17322,6998
2020-04-11,50-70 ans,3691,10013,1437
2020-04-11,moins de 50 ans,858,3242,174
2020-04-11,plus de 70 ans,2137,17599,7265
2020-04-12,50-70 ans,3682,10045,1496
2020-04-12,moins de 50 ans,844,3249,192
2020-04-12,plus de 70 ans,2120,18072,7498
2020-04-13,50-70 ans,3665,10086,1554
2020-04-13,moins de 50 ans,850,3275,201
2020-04-13,plus de 70 ans,2109,18293,7770
2020-04-14,50-70 ans,3546,9874,1610
2020-04-14,moins de 50 ans,829,3211,197
2020-04-14,plus de 70 ans,2164,18774,8255
2020-04-15,50-70 ans,3379,9563,1689
2020-04-15,moins de 50 ans,801,3076,204
2020-04-15,plus de 70 ans,2095,18736,8679
2020-04-16,50-70 ans,3262,9255,1757
2020-04-16,moins de 50 ans,767,2973,216
2020-04-16,plus de 70 ans,2061,18722,9005
2020-04-17,50-70 ans,3135,9145,1831
2020-04-17,moins de 50 ans,742,2872,227
2020-04-17,plus de 70 ans,1996,18834,9338
2020-04-18,50-70 ans,3031,8790,1897
2020-04-18,moins de 50 ans,712,2746,230
2020-04-18,plus de 70 ans,1947,18786,9629
2020-04-19,50-70 ans,2970,8717,1940
2020-04-19,moins de 50 ans,706,2695,235
2020-04-19,plus de 70 ans,1939,18894,9808
2020-04-20,50-70 ans,2935,8631,2006
2020-04-20,moins de 50 ans,677,2666,241
2020-04-20,plus de 70 ans,1943,18983,10179
2020-04-21,50-70 ans,2796,8370,2065
2020-04-21,moins de 50 ans,643,2564,245
2020-04-21,plus de 70 ans,1868,18865,10502
2020-04-22,50-70 ans,2698,8160,2131
2020-04-22,moins de 50 ans,606,2486,246
2020-04-22,plus de 70 ans,1795,18803,10768
2020-04-23,50-70 ans,2587,7883,2177
2020-04-23,moins de 50 ans,585,2428,248
2020-04-23,plus de 70 ans,1766,18631,11028
2020-04-24,50-70 ans,2485,7649,2221
2020-04-24,moins de 50 ans,559,2363,254
2020-04-24,plus de 70 ans,1709,18379,11279
2020-04-25,50-70 ans,2417,7444,2263
2020-04-25,moins de 50 ans,547,2275,256
2020-04-25,plus de 70 ans,1636,18218,11431
2020-04-26,50-70 ans,2395,7411,2285
