jour,hosp,rea
2020-03-18,2972,771
2020-03-19,4073,1002
2020-03-20,5226,1297
2020-03-21,5900,1453
2020-03-22,6954,1674
2020-03-23,8673,2080
2020-03-24,10163,2503
2020-03-25,12072,2935
2020-03-26,13879,3351
2020-03-27,15701,3758
2020-03-28,17580,4236
2020-03-29,19311,4592
2020-03-30,20946,5056
2020-03-31,22672,5496
2020-04-01,24543,5940
2020-04-02,26131,6305
2020-04-03,27302,6556
2020-04-04,28003,6723
2020-04-05,28747,6859
2020-04-06,29569,6948
2020-04-07,29871,7004
2020-04-08,30217,7019
2020-04-09,30608,6937
2020-04-10,31108,6875
2020-04-11,31159,6752
2020-04-12,31665,6714
2020-04-13,31952,6690
2020-04-14,32131,6599
2020-04-15,31623,6331
2020-04-16,31172,6139
2020-04-17,31061,5922
2020-04-18,30515,5733
2020-04-19,30486,5644
2020-04-20,30462,5584
2020-04-21,29984,5334
2020-04-22,29627,5127
2020-04-23,29113,4967
2020-04-24,28554,4785
2020-04-25,28119,4641
2020-04-26,28114,4598
2020-04-27,27954,4526
2020-04-28,27607,4392
2020-04-29,26736,4128
2020-04-30,26192,3947
2020-05-01,25809,3819
2020-05-02,25751,3770
2020-05-03,25739,3762
2020-05-04,25472,3639
2020-05-05,24701,3375
2020-05-06,23912,3095
2020-05-07,23139,2911
2020-05-08,22657,2820
2020-05-09,22547,2764
2020-05-10,22502,2728
2020-05-11,22219,2666
2020-05-12,21530,2496
2020-05-13,21009,2385
2020-05-14,20401,2256
2020-05-15,19801,2162
2020-05-16,19372,2091
2020-05-17,19302,2047
2020-05-18,18956,1958
2020-05-19,18409,1854
2020-05-20,17882,1754
2020-05-21,17527,1708
2020-05-22,17327,1664
2020-05-23,17122,1628
2020-05-24,17129,1618
2020-05-25,16742,1572
2020-05-26,16209,1519
2020-05-27,15627,1467
2020-05-28,15155,1395
2020-05-29,14643,1328
2020-05-30,14329,1293
2020-05-31,14271,1287
2020-06-01,14237,1270
2020-06-02,13978,1221
2020-06-03,13465,1179
2020-06-04,13054,1133
2020-06-05,12650,1065
2020-06-06,12433,1030
2020-06-07,12415,1024
2020-06-08,12269,995
2020-06-09,11915,926
2020-06-10,11632,904
2020-06-11,11420,875
2020-06-12,11079,851
2020-06-13,10864,843
2020-06-14,10836,841
2020-06-15,10707,818
2020-06-16,10490,792
2020-06-17,10222,744
2020-06-18,10080,724
2020-06-19,9925,699
2020-06-20,9792,687
2020-06-21,9778,687
2020-06-22,9648,673
2020-06-23,9446,654
2020-06-24,9254,630
2020-06-25,9096,623
2020-06-26,8841,606
2020-06-27,8715,594
2020-06-28,8727,594
2020-06-29,8643,591
2020-06-30,8491,574
2020-07-01,8291,554
2020-07-02,8103,545
2020-07-03,7946,533
2020-07-04,7863,517
2020-07-05,7863,521
2020-07-06,7806,521
2020-07-07,7550,511
2020-07-08,7254,503
2020-07-09,7134,486
2020-07-10,7020,471
2020-07-11,6995,470
2020-07-12,6991,473
2020-07-13,6941,467
2020-07-14,6907,465
2020-07-15,6873,457
2020-07-16,6754,456
2020-07-17,6646,452
2020-07-18,6614,450
2020-07-19,6583,448
2020-07-20,6547,442
2020-07-21,6440,430
2020-07-22,6324,420
2020-07-23,5915,411
2020-07-24,5678,385
2020-07-25,5634,368
2020-07-26,5640,367
2020-07-27,5614,374
2020-07-28,5510,361
2020-07-29,5409,356
2020-07-30,5334,357
2020-07-31,5257,347
2020-08-01,5177,344
2020-08-02,5188,345
2020-08-03,5157,360
2020-08-04,5121,364
2020-08-05,5107,360
2020-08-06,5019,366
2020-08-07,4970,359
2020-08-08,4981,366
2020-08-09,4992,368
2020-08-10,5004,372
2020-08-11,4971,367
2020-08-12,4850,355
2020-08-13,4824,351
2020-08-14,4788,344
2020-08-15,4817,353
2020-08-16,4820,353
2020-08-17,4885,361
