datetime,dc_tot
2021-02-05,78577
2021-02-06,78768
2021-02-07,78939
2021-02-08,79397
2021-02-09,80121
2021-02-10,80417
2021-02-11,80777
2021-02-12,81422
2021-02-13,81621
2021-02-14,81788
2021-02-15,82200
2021-02-16,82786
2021-02-17,83096
2021-02-18,83367
2021-02-19,83938
2021-02-20,84121
2021-02-21,84280
2021-02-22,84613
2021-02-23,85044
2021-02-24,85321
2021-02-25,85582
2021-02-26,86121
2021-02-27,86306
2021-02-28,86428
2021-03-01,86803
2021-03-02,87220
2021-03-03,87542
2021-03-04,87835
2021-03-05,88274
2021-03-06,88444
2021-03-07,88574
2021-03-08,88933
2021-03-09,89301
2021-03-10,89632
2021-03-11,89897
2021-03-12,90120
2021-03-13,90289
2021-03-14,90429
2021-03-15,90762
2021-03-16,91170
2021-03-17,91411
2021-03-18,91679
2021-03-19,91964
2021-03-20,92140
2021-03-21,92278
2021-03-22,92621
2021-03-23,92908
2021-03-24,93153
2021-03-25,93378
2021-03-26,94275
2021-03-27,94465
2021-03-28,94596
2021-03-29,94956
2021-03-30,95337
2021-03-31,95640
2021-04-01,95948
2021-04-02,96280
2021-04-03,96465
2021-04-04,96650
2021-04-05,96847
2021-04-06,97273
2021-04-07,97694
2021-04-08,98037
2021-04-09,98367
2021-04-10,98574
2021-04-11,98750
2021-04-12,99135
2021-04-13,99480
2021-04-14,99777
2021-04-15,100073
2021-04-16,100404
2021-04-17,100593
2021-04-18,100733
2021-04-19,101180
2021-04-20,101568
2021-04-21,101881
2021-04-22,102164
2021-04-23,102496
2021-04-24,102713
2021-04-25,102858
2021-04-26,103256
2021-04-27,103603
2021-04-28,103918
2021-04-29,104224
2021-04-30,104514
2021-05-01,104706
2021-05-02,104819
2021-05-03,105130
2021-05-04,105387
2021-05-05,105631
2021-05-06,105850
2021-05-07,106101
2021-05-08,106277
2021-05-09,106392
2021-05-10,106684
2021-05-11,106935
2021-05-12,107119
2021-05-13,107250
2021-05-14,107423
2021-05-15,107535
2021-05-16,107616
2021-05-17,107812
2021-05-18,108040
2021-05-19,108181
2021-05-20,108314
2021-05-21,108437
2021-05-22,108526
2021-05-23,108596
2021-05-24,108658
2021-05-25,108879
2021-05-26,109023
2021-05-27,109165
2021-05-28,109290
2021-05-29,109358
2021-05-30,109402
2021-05-31,109528
2021-06-01,109662
2021-06-02,109758
2021-06-03,109828
2021-06-04,109916
2021-06-05,109973
2021-06-06,109998
2021-06-07,110062
2021-06-08,110137
2021-06-09,110202
2021-06-10,110270
2021-06-11,110344
2021-06-12,110378
2021-06-13,110391
2021-06-14,110454
2021-06-15,110534
2021-06-16,110578
2021-06-17,110634
2021-06-18,110702
2021-06-19,110724
2021-06-20,110738
2021-06-21,110778
2021-06-22,110829
2021-06-23,110862
2021-06-24,110906
2021-06-25,110939
2021-06-26,110951
2021-06-27,110968
2021-06-28,111012
2021-06-29,111057
2021-06-30,111082
2021-07-01,111111
2021-07-02,111135
2021-07-03,111152
2021-07-04,111161
2021-07-05,111197
2021-07-06,111231
2021-07-07,111259
2021-07-08,111284
2021-07-09,111302
2021-07-10,111321
2021-07-11,111325
2021-07-12,111353
2021-07-13,111407
2021-07-14,111413
2021-07-15,111429
2021-07-16,111451
2021-07-17,111467
2021-07-18,111472
2021-07-19,111492
2021-07-20,111525
2021-07-21,111547
2021-07-22,111558
2021-07-23,111595
2021-07-24,111617
2021-07-25,111623
2021-07-26,111668
2021-07-27,111696
2021-07-28,111740
2021-07-29,111768
2021-07-30,111831
2021-07-31,111874
2021-08-01,111892
2021-08-02,111945
2021-08-03,112004
2021-08-04,112053
2021-08-05,112105
2021-08-06,112169
2021-08-07,112201
2021-08-08,112229
2021-08-09,112304
2021-08-10,112374
2021-08-11,112432
2021-08-12,112509
2021-08-13,112599
2021-08-14,112652
2021-08-15,112696
2021-08-16,112803
2021-08-17,112914
2021-08-18,113036
2021-08-19,113165
2021-08-20,113250
2021-08-21,113379
2021-08-22,113494
2021-08-23,113603
2021-08-24,113759
2021-08-25,113862
2021-08-26,113984
2021-08-27,114090
2021-08-28,114164
2021-08-29,114217
2021-08-30,114330
2021-08-31,114465
2021-09-01,114560
2021-09-02,114669
2021-09-03,114764
2021-09-04,114847
2021-09-05,114896
2021-09-06,115022
2021-09-07,115130
2021-09-08,115249
2021-09-09,115363
2021-09-10,115457
2021-09-11,115503
2021-09-12,115532
2021-09-13,115629
2021-09-14,115723
2021-09-15,115803
2021-09-16,115877
2021-09-17,115969
2021-09-18,116011
2021-09-19,116039
2021-09-20,116069
2021-09-21,116222
2021-09-22,116282
2021-09-23,116348
2021-09-24,116401
2021-09-25,116430
2021-09-26,116444
2021-09-27,116528
2021-09-28,116586
2021-09-29,116629
2021-09-30,116690
2021-10-01,116739
2021-10-02,116769
2021-10-03,116778
2021-10-04,116833
2021-10-05,116894
2021-10-06,116933
2021-10-07,116969
2021-10-08,117010
2021-10-09,117025
2021-10-10,117033
2021-10-11,117068
2021-10-12,117121
2021-10-13,117145
2021-10-14,117185
2021-10-15,117221
2021-10-16,117236
2021-10-17,117241
