datetime,P
2020-05-19,787
2020-05-20,809
2020-05-21,694
2020-05-22,660
2020-05-23,656
2020-05-24,656
2020-05-25,597
2020-05-26,556
2020-05-27,510
2020-05-28,572
2020-05-29,543
2020-05-30,558
2020-05-31,564
2020-06-01,489
2020-06-02,482
2020-06-03,472
2020-06-04,471
2020-06-05,466
2020-06-06,455
2020-06-07,448
2020-06-08,502
2020-06-09,481
2020-06-10,468
2020-06-11,467
2020-06-12,476
2020-06-13,465
2020-06-14,465
2020-06-15,457
2020-06-16,457
2020-06-17,483
2020-06-18,477
2020-06-19,489
2020-06-20,508
2020-06-21,505
2020-06-22,519
2020-06-23,532
2020-06-24,521
2020-06-25,512
2020-06-26,495
2020-06-27,493
2020-06-28,507
2020-06-29,518
2020-06-30,528
2020-07-01,522
2020-07-02,534
2020-07-03,557
2020-07-04,559
2020-07-05,543
2020-07-06,543
2020-07-07,522
2020-07-08,532
2020-07-09,548
2020-07-10,564
2020-07-11,565
2020-07-12,566
2020-07-13,595
2020-07-14,540
2020-07-15,561
2020-07-16,600
2020-07-17,617
2020-07-18,629
2020-07-19,640
2020-07-20,661
2020-07-21,792
2020-07-22,835
2020-07-23,859
2020-07-24,903
2020-07-25,929
2020-07-26,939
2020-07-27,994
2020-07-28,1032
2020-07-29,1077
2020-07-30,1134
2020-07-31,1184
2020-08-01,1208
2020-08-02,1206
2020-08-03,1291
2020-08-04,1383
2020-08-05,1452
2020-08-06,1539
2020-08-07,1632
2020-08-08,1660
2020-08-09,1683
2020-08-10,1792
2020-08-11,1883
2020-08-12,2012
2020-08-13,2203
2020-08-14,2423
2020-08-15,2387
2020-08-16,2424
2020-08-17,2735
2020-08-18,3029
2020-08-19,3306
2020-08-20,3531
2020-08-21,3707
2020-08-22,3913
2020-08-23,3953
2020-08-24,4229
2020-08-25,4516
2020-08-26,4768
2020-08-27,5086
2020-08-28,5433
2020-08-29,5541
2020-08-30,5579
2020-08-31,5932
2020-09-01,6223
2020-09-02,6564
2020-09-03,6890
2020-09-04,7245
2020-09-05,7391
2020-09-06,7417
2020-09-07,7810
2020-09-08,8207
2020-09-09,8523
2020-09-10,8854
2020-09-11,9017
2020-09-12,9081
2020-09-13,9101
2020-09-14,9449
2020-09-15,9713
2020-09-16,10012
2020-09-17,10241
2020-09-18,10521
2020-09-19,10619
2020-09-20,10651
2020-09-21,10781
2020-09-22,10880
2020-09-23,10819
2020-09-24,10689
2020-09-25,10556
2020-09-26,10500
2020-09-27,10443
2020-09-28,10179
2020-09-29,9978
2020-09-30,10024
2020-10-01,10292
2020-10-02,10847
2020-10-03,11193
2020-10-04,11277
2020-10-05,12364
2020-10-06,13340
2020-10-07,14385
2020-10-08,15506
2020-10-09,16619
2020-10-10,17190
2020-10-11,17362
2020-10-12,18819
2020-10-13,20085
2020-10-14,21238
2020-10-15,22590
2020-10-16,23938
2020-10-17,24508
2020-10-18,24716
2020-10-19,26629
2020-10-20,28863
2020-10-21,31408
2020-10-22,34122
2020-10-23,37210
2020-10-24,38620
2020-10-25,38988
2020-10-26,42349
2020-10-27,44790
2020-10-28,46239
2020-10-29,46958
2020-10-30,47434
2020-10-31,47594
2020-11-01,47547
2020-11-02,47753
2020-11-03,47418
2020-11-04,46466
2020-11-05,45171
2020-11-06,43266
2020-11-07,42083
2020-11-08,41719
2020-11-09,38530
2020-11-10,35459
2020-11-11,29105
2020-11-12,27629
2020-11-13,25337
2020-11-14,24358
2020-11-15,24131
2020-11-16,21675
2020-11-17,19461
2020-11-18,21171
2020-11-19,18366
2020-11-20,16566
2020-11-21,16033
2020-11-22,15906
2020-11-23,14115
2020-11-24,12966
2020-11-25,12292
2020-11-26,11680
2020-11-27,11140
2020-11-28,10972
2020-11-29,10941
2020-11-30,10672
2020-12-01,10480
2020-12-02,10326
2020-12-03,10252
2020-12-04,10265
2020-12-05,10338
2020-12-06,10359
2020-12-07,10479
2020-12-08,10599
2020-12-09,10768
2020-12-10,10988
2020-12-11,11205
2020-12-12,11383
2020-12-13,11422
2020-12-14,11840
2020-12-15,12220
2020-12-16,12595
2020-12-17,12924
2020-12-18,13407
2020-12-19,13807
2020-12-20,14038
2020-12-21,14262
2020-12-22,14604
2020-12-23,14807
2020-12-24,14394
2020-12-25,12090
2020-12-26,11958
2020-12-27,11735
2020-12-28,11854
2020-12-29,12023
2020-12-30,12362
2020-12-31,12727
2021-01-01,12758
2021-01-02,13277
2021-01-03,13378
2021-01-04,14194
2021-01-05,14563
2021-01-06,14604
2021-01-07,15067
2021-01-08,17612
2021-01-09,17260
2021-01-10,17228
2021-01-11,16973
2021-01-12,16720
2021-01-13,16767
2021-01-14,16931
2021-01-15,17146
2021-01-16,17275
2021-01-17,17311
2021-01-18,17755
2021-01-19,18096
2021-01-20,18330
2021-01-21,18605
2021-01-22,18879
2021-01-23,19019
2021-01-24,19008
2021-01-25,19113
2021-01-26,19043
2021-01-27,19002
2021-01-28,19081
2021-01-29,19115
2021-01-30,19128
2021-01-31,19185
2021-02-01,19216
2021-02-02,19292
2021-02-03,19232
2021-02-04,18992
2021-02-05,18768
2021-02-06,18656
2021-02-07,18580
2021-02-08,17958
2021-02-09,17535
2021-02-10,17185
2021-02-11,16729
2021-02-12,16310
2021-02-13,16117
2021-02-14,16114
2021-02-15,16014
2021-02-16,16008
2021-02-17,16211
2021-02-18,16639
2021-02-19,17173
2021-02-20,17427
2021-02-21,17489
2021-02-22,18087
2021-02-23,18436
2021-02-24,18630
2021-02-25,18705
2021-02-26,18612
2021-02-27,18624
2021-02-28,18610
2021-03-01,18360
2021-03-02,18212
2021-03-03,18127
2021-03-04,18050
2021-03-05,18093
2021-03-06,18249
2021-03-07,18279
2021-03-08,18552
2021-03-09,18909
2021-03-10,19385
2021-03-11,19969
2021-03-12,20606
2021-03-13,21071
2021-03-14,21222
2021-03-15,22564
2021-03-16,23570
2021-03-17,24509
2021-03-18,25452
2021-03-19,26419
2021-03-20,26949
2021-03-21,27059
2021-03-22,28221
2021-03-23,29268
2021-03-24,30224
2021-03-25,31216
2021-03-26,32170
2021-03-27,32797
2021-03-28,32815
2021-03-29,33687
2021-03-30,34457
2021-03-31,34808
2021-04-01,34992
2021-04-02,34812
2021-04-03,34691
2021-04-04,34667
2021-04-05,28330
2021-04-06,29795
2021-04-07,29722
2021-04-08,29365
2021-04-09,29264
2021-04-10,29238
2021-04-11,29249
2021-04-12,34626
2021-04-13,31863
2021-04-14,30821
2021-04-15,30036
2021-04-16,29235
2021-04-17,28713
2021-04-18,28655
2021-04-19,27956
2021-04-20,27445
2021-04-21,27086
2021-04-22,26596
2021-04-23,26040
2021-04-24,25629
2021-04-25,25491
2021-04-26,24471
2021-04-27,23625
2021-04-28,22615
2021-04-29,21662
2021-04-30,20850
2021-05-01,18923
2021-05-02,18914
2021-05-03,18160
2021-05-04,17504
2021-05-05,16864
2021-05-06,16271
2021-05-07,15627
2021-05-08,15635
2021-05-09,15538
2021-05-10,14821
