jour,nombre_injections,injections_glissantes
2021-01-02,313,409
2021-01-03,330,381
2021-01-04,1893,574
2021-01-05,5858,1363
2021-01-06,11790,2993
2021-01-07,29318,7137
2021-01-08,37022,12360
2021-01-09,11205,13916
2021-01-10,5826,14701
2021-01-11,39923,20134
2021-01-12,62142,28175
2021-01-13,65161,35799
2021-01-14,83650,43561
2021-01-15,69276,48169
2021-01-16,20279,49465
2021-01-17,11011,50206
2021-01-18,86167,56812
2021-01-19,131154,66671
2021-01-20,138124,77094
2021-01-21,158854,87837
2021-01-22,121445,95290
2021-01-23,38533,97898
2021-01-24,9744,97717
2021-01-25,79437,96755
2021-01-26,103678,92830
2021-01-27,113309,89285
2021-01-28,139140,86469
2021-01-29,109621,84780
2021-01-30,33282,84030
2021-01-31,6846,83616
2021-02-01,73698,82796
2021-02-02,106804,83242
2021-02-03,109188,82654
2021-02-04,131974,81630
2021-02-05,113365,82165
2021-02-06,33114,82141
2021-02-07,10205,82621
2021-02-08,92540,85312
2021-02-09,138650,89862
2021-02-10,147760,95372
2021-02-11,186972,103229
2021-02-12,154075,109045
2021-02-13,41761,110280
2021-02-14,12143,110557
2021-02-15,114276,113662
2021-02-16,150885,115410
2021-02-17,153318,116204
2021-02-18,188464,116417
2021-02-19,156183,116718
2021-02-20,46816,117440
2021-02-21,9572,117073
2021-02-22,110425,116523
2021-02-23,138124,114700
2021-02-24,141359,112991
2021-02-25,193492,113710
2021-02-26,186389,118025
2021-02-27,74867,122032
2021-02-28,10617,122181
2021-03-01,119155,123429
2021-03-02,169508,127912
2021-03-03,184153,134025
2021-03-04,236548,140176
2021-03-05,269623,152067
2021-03-06,230432,174290
2021-03-07,129619,191291
2021-03-08,160348,197175
2021-03-09,233431,206307
2021-03-10,240319,214331
2021-03-11,312625,225199
2021-03-12,356487,237608
2021-03-13,251812,240663
2021-03-14,68448,231924
2021-03-15,194822,236849
2021-03-16,184216,229818
2021-03-17,192917,223046
2021-03-18,216773,209353
2021-03-19,273720,197529
2021-03-20,182433,187618
2021-03-21,53895,185539
2021-03-22,208691,187520
2021-03-23,299279,203958
2021-03-24,307382,220310
2021-03-25,396183,245940
2021-03-26,411114,265568
2021-03-27,217714,270608
2021-03-28,64787,272164
2021-03-29,262903,279908
2021-03-30,363894,289139
2021-03-31,345080,294525
2021-04-01,414501,297141
2021-04-02,383580,293208
2021-04-03,207117,291694
2021-04-04,66154,291889
2021-04-05,73972,264899
2021-04-06,331981,260340
2021-04-07,384851,266022
2021-04-08,472440,274299
2021-04-09,541871,296912
2021-04-10,302570,310548
2021-04-11,92642,314332
2021-04-12,360055,355201
2021-04-13,465169,374228
2021-04-14,444841,382798
2021-04-15,497765,386416
2021-04-16,497753,380113
2021-04-17,285415,377662
2021-04-18,88880,377125
2021-04-19,351318,375877
2021-04-20,434638,371515
2021-04-21,431888,369665
2021-04-22,488312,368314
2021-04-23,497290,368248
2021-04-24,311201,371932
2021-04-25,111524,375167
2021-04-26,388643,380499
2021-04-27,493500,388908
2021-04-28,506251,399531
2021-04-29,586355,413537
2021-04-30,594424,427414
2021-05-01,229119,415688
2021-05-02,134406,418956
2021-05-03,476119,431453
2021-05-04,563399,441439
2021-05-05,572829,450950
2021-05-06,649635,459990
2021-05-07,668181,470526
2021-05-08,302751,481045
2021-05-09,184230,488163
2021-05-10,563440,500637
2021-05-11,697097,519737
2021-05-12,699706,537862
2021-05-13,414170,504225
2021-05-14,653479,502124
2021-05-15,491921,529149
2021-05-16,235645,536494
