id_circo,nom,groupe_sigle,parti_ratt_financier
06003,Cédric Roussel,LREM,La République en Marche
72003,Pascale Fontenel-Personne,MODEM,La République en Marche
28001,Guillaume Kasbarian,LREM,La République en Marche
69012,Cyrille Isaac-Sibille,MODEM,Mouvement Démocrate
95002,Guillaume Vuilletet,LREM,La République en Marche
77011,Olivier Faure,SOC,Parti socialiste
91010,Pierre-Alain Raphan,LREM,La République en Marche
26004,Emmanuelle Anthoine,LR,Les Républicains
75010,Anne-Christine Lang,LREM,La République en Marche
63003,Laurence Vichnievsky,MODEM,Mouvement Démocrate
70001,Barbara Bessot Ballot,LREM,La République en Marche
94003,Laurent Saint-Martin,LREM,La République en Marche
60006,Carole Bureau-Bonnard,LREM,La République en Marche
29001,Annaïg Le Meur,LREM,La République en Marche
76008,Jean-Paul Lecoq,GDR,Parti communiste français
50002,Bertrand Sorre,LREM,La République en Marche
78010,Aurore Bergé,LREM,La République en Marche
62001,Bruno Duvergé,MODEM,Mouvement Démocrate
67004,Martine Wonner,NI,Régions et peuples solidaires
59013,Christian Hutin,SOC,Parti socialiste
14006,Alain Tourret,LREM,La République en Marche
56004,Paul Molac,LT,Régions et peuples solidaires
34007,Christophe Euzet,AE,Mouvement Démocrate
13008,Jean-Marc Zulesi,LREM,La République en Marche
01005,Damien Abad,LR,Les Républicains
14001,Fabrice Le Vigoureux,LREM,La République en Marche
55001,Bertrand Pancher,LT,Régions et peuples solidaires
59012,Anne-Laure Cattelot,LREM,La République en Marche
13011,Mohamed Laqhila,MODEM,Mouvement Démocrate
18003,Loïc Kervran,AE,La République en Marche
13010,François-Michel Lambert,LT,Régions et peuples solidaires
44002,Valérie Oppelt,LREM,La République en Marche
27004,Bruno Questel,LREM,La République en Marche
53002,Géraldine Bannier,MODEM,Mouvement Démocrate
01001,Xavier Breton,LR,Les Républicains
38008,Caroline Abadie,LREM,La République en Marche
60005,Pierre Vatin,LR,Les Républicains
13002,Claire Pitollat,LREM,La République en Marche
ZZ008,Meyer Habib,UDI,"Union des démocrates, radicaux et libéraux"
50001,Philippe Gosselin,LR,Les Républicains
67002,Sylvain Waserman,MODEM,Mouvement Démocrate
77007,Rodrigue Kokouendo,LREM,La République en Marche
95003,Cécile Rilhac,LREM,La République en Marche
72002,Marietta Karamanli,SOC,Parti socialiste
31008,Joël Aviragnet,SOC,Parti socialiste
15001,Vincent Descoeur,LR,Les Républicains
83006,Valérie Gomez-Bassac,LREM,La République en Marche
77004,Christian Jacob,LR,Les Républicains
85001,Philippe Latombe,MODEM,Mouvement Démocrate
39002,Marie-Christine Dalloz,LR,Les Républicains
54004,Thibault Bazin,LR,Les Républicains
04001,Delphine Bagarry,NI,Europe Écologie Les Verts
45005,Marianne Dubois,LR,Les Républicains
06009,Michèle Tabarot,LR,Les Républicains
13004,Jean-Luc Mélenchon,LFI,La France Insoumise
44008,Audrey Dufeu,LREM,La République en Marche
33010,Florent Boudié,LREM,La République en Marche
51001,Valérie Beauvais,LR,Les Républicains
49005,Denis Masséglia,LREM,La République en Marche
77008,Jean-Michel Fauvergue,LREM,La République en Marche
45006,Richard Ramos,MODEM,Mouvement Démocrate
82002,Sylvia Pinel,LT,Parti radical de gauche
68004,Raphaël Schellenberger,LR,Les Républicains
83008,Fabien Matras,LREM,La République en Marche
86002,Sacha Houlié,LREM,La République en Marche
54001,Carole Grandjean,LREM,La République en Marche
40003,Boris Vallaud,SOC,Parti socialiste
65002,Jeanine Dubié,LT,Parti radical de gauche
21005,Didier Paris,LREM,La République en Marche
91003,Laëtitia Romeiro Dias,LREM,La République en Marche
29004,Sandrine Le Feur,LREM,La République en Marche
85004,Martine Leguille-Balloy,LREM,La République en Marche
33004,Alain David,SOC,Parti socialiste
30004,Annie Chapelier,AE,Non rattachée
91004,Marie-Pierre Rixain,LREM,La République en Marche
92006,Constance Le Grip,LR,Les Républicains
34006,Emmanuelle Ménard,NI,Rassemblement national
74005,Marion Lenne,LREM,La République en Marche
76004,Sira Sylla,LREM,La République en Marche
42005,Nathalie Sarles,LREM,La République en Marche
19002,Frédérique Meunier,LR,Les Républicains
63005,André Chassaigne,GDR,Parti communiste français
42001,Régis Juanico,SOC,Europe Écologie Les Verts
76006,Sébastien Jumel,GDR,Parti communiste français
59008,Catherine Osson,LREM,La République en Marche
21004,Yolaine de Courson,MODEM,Mouvement Démocrate
10001,Grégory Besson-Moreau,LREM,La République en Marche
75016,Mounir Mahjoubi,LREM,La République en Marche
06001,Éric Ciotti,LR,Les Républicains
34003,Coralie Dubost,LREM,La République en Marche
01004,Stéphane Trompille,LREM,La République en Marche
92003,Christine Hennion,LREM,La République en Marche
72001,Damien Pichereau,LREM,La République en Marche
78002,Jean-Noël Barrot,MODEM,Mouvement Démocrate
ZA001,Olivier Serva,LREM,La République en Marche
92004,Isabelle Florennes,MODEM,Mouvement Démocrate
90001,Ian Boucard,LR,Les Républicains
ZZ010,Amélia Lakrafi,LREM,La République en Marche
52002,François Cornut-Gentille,LR,Les Républicains
64002,Jean-Paul Mattei,MODEM,Mouvement Démocrate
88003,Christophe Naegelen,UDI,"Union des démocrates, radicaux et libéraux"
89003,Michèle Crouzet,MODEM,Mouvement Démocrate
28004,Philippe Vigier,MODEM,"Union des démocrates, radicaux et libéraux"
94004,Maud Petit,MODEM,Mouvement Démocrate
62007,Pierre-Henri Dumont,LR,Les Républicains
88004,Jean-Jacques Gaultier,LR,Les Républicains
35008,Florian Bachelier,LREM,La République en Marche
78009,Bruno Millienne,MODEM,Mouvement Démocrate
83005,Philippe Michel-Kleisbauer,MODEM,Mouvement Démocrate
02002,Julien Dive,LR,Les Républicains
70002,Christophe Lejeune,LREM,La République en Marche
07001,Hervé Saulignac,SOC,Parti socialiste
36002,Nicolas Forissier,LR,Les Républicains
57007,Hélène Zannier,LREM,La République en Marche
29005,Graziella Melchior,LREM,La République en Marche
06004,Alexandra Valetta Ardisson,LREM,La République en Marche
13009,Bernard Deflesselles,LR,Les Républicains
13007,Saïd Ahamada,LREM,La République en Marche
21003,Fadila Khattabi,LREM,La République en Marche
54005,Dominique Potier,SOC,Parti socialiste
75004,Brigitte Kuster,LR,Les Républicains
43001,Isabelle Valentin,LR,Les Républicains
47001,Michel Lauzzana,LREM,La République en Marche
37001,Philippe Chalumeau,LREM,La République en Marche
75003,Stanislas Guerini,LREM,La République en Marche
03003,Bénédicte Peyrol,LREM,La République en Marche
72005,Jean-Carles Grelier,LR,Les Républicains
32001,Jean-René Cazeneuve,LREM,La République en Marche
34002,Muriel Ressiguier,LFI,La France Insoumise
64004,Jean Lassalle,LT,Régions et peuples solidaires
83004,Sereine Mauborgne,LREM,La République en Marche
57001,Belkhir Belhaddad,LREM,La République en Marche
ZC002,Lénaïck Adam,LREM,La République en Marche
11002,Alain Perea,LREM,La République en Marche
76009,Stéphanie Kerbarh,LT,"Union des démocrates, radicaux et libéraux"
88002,Gérard Cherpion,LR,Les Républicains
13006,Guy Teissier,LR,Les Républicains
92007,Jacques Marilossian,LREM,La République en Marche
62002,Jacqueline Maquet,LREM,La République en Marche
2A001,Jean-Jacques Ferrara,LR,Les Républicains
31005,Jean-François Portarrieu,LREM,La République en Marche
91007,Robin Reda,LR,Les Républicains
03002,Laurence Vanceunebrock,LREM,La République en Marche
78004,Marie Lebec,LREM,La République en Marche
59009,Valérie Petit,AE,Mouvement Démocrate
54006,Caroline Fiat,LFI,La France Insoumise
02004,Marc Delatte,LREM,La République en Marche
47003,Olivier Damaisin,LREM,La République en Marche
75006,Pierre Person,LREM,La République en Marche
92012,Jean-Louis Bourlanges,MODEM,Mouvement Démocrate
45004,Jean-Pierre Door,LR,Les Républicains
35006,Thierry Benoit,UDI,"Union des démocrates, radicaux et libéraux"
76002,Annie Vidal,LREM,La République en Marche
95005,Fiona Lazaar,LREM,La République en Marche
02001,Aude Bono-Vandorme,LREM,La République en Marche
59004,Brigitte Liso,LREM,La République en Marche
59019,Sébastien Chenu,NI,Rassemblement national
60002,Agnès Thill,UDI,"Union des démocrates, radicaux et libéraux"
14005,Bertrand Bouyx,LREM,La République en Marche
81003,Jean Terlier,LREM,La République en Marche
ZM001,Ramlati Ali,LREM,La République en Marche
39001,Danielle Brulebois,LREM,La République en Marche
71005,Raphaël Gauvain,LREM,La République en Marche
75007,Pacôme Rupin,LREM,La République en Marche
24004,Jacqueline Dubois,LREM,La République en Marche
66004,Sébastien Cazenove,LREM,La République en Marche
57002,Ludovic Mendes,LREM,La République en Marche
86004,Nicolas Turquois,MODEM,Mouvement Démocrate
93012,Stéphane Testé,LREM,La République en Marche
60004,Éric Woerth,LREM,Les Républicains
ZZ006,Joachim Son-Forget,NI,Non déclaré(s)
92011,Laurianne Rossi,LREM,La République en Marche
95010,Aurélien Taché,NI,Europe Écologie Les Verts
69005,Blandine Brocard,MODEM,Mouvement Démocrate
36001,François Jolivet,LREM,La République en Marche
59018,Guy Bricout,UDI,"Union des démocrates, radicaux et libéraux"
66003,Laurence Gayte,LREM,La République en Marche
09002,Michel Larive,LFI,La France Insoumise
43002,Jean-Pierre Vigier,LR,Les Républicains
08002,Pierre Cordier,LR,Les Républicains
ZD004,David Lorion,LR,Les Républicains
38009,Élodie Jacquier-Laforge,MODEM,Mouvement Démocrate
65001,Jean-Bernard Sempastous,LREM,La République en Marche
68002,Jacques Cattin,LR,Les Républicains
66001,Romain Grau,LREM,La République en Marche
38004,Marie-Noëlle Battistel,SOC,Parti socialiste
12002,Anne Blanc,LREM,La République en Marche
93006,Bastien Lachaud,LFI,La France Insoumise
ZZ007,Frédéric Petit,MODEM,Mouvement Démocrate
69010,Thomas Gassilloud,AE,Mouvement Démocrate
76003,Hubert Wulfranc,GDR,Parti communiste français
29003,Didier Le Gac,LREM,La République en Marche
ZD003,Nathalie Bassire,LR,"Union des démocrates, radicaux et libéraux"
10002,Valérie Bazin-Malgras,LR,Les Républicains
87003,Marie-Ange Magne,LREM,La République en Marche
57006,Christophe Arend,LREM,La République en Marche
33011,Véronique Hammerer,LREM,La République en Marche
93010,Alain Ramadier,LR,Les Républicains
11001,Danièle Hérin,LREM,La République en Marche
44007,Sandrine Josso,MODEM,"Union des démocrates, radicaux et libéraux"
34005,Philippe Huppé,AE,"Union des démocrates, radicaux et libéraux"
91009,Marie Guévenoux,LREM,La République en Marche
94006,Guillaume Gouffier-Cha,LREM,La République en Marche
2B001,Michel Castellani,LT,Régions et peuples solidaires
63004,Michel Fanget,MODEM,Mouvement Démocrate
76001,Damien Adam,LREM,La République en Marche
93005,Jean-Christophe Lagarde,UDI,"Union des démocrates, radicaux et libéraux"
24001,Philippe Chassaing,LREM,La République en Marche
14004,Christophe Blanchet,MODEM,Mouvement Démocrate
93008,Sylvie Charrière,LREM,La République en Marche
94008,Michel Herbillon,LR,Les Républicains
06008,Bernard Brochand,LR,Les Républicains
ZN001,Philippe Dunoyer,UDI,Calédonie Ensemble
75001,Sylvain Maillard,LREM,La République en Marche
45002,Caroline Janvier,LREM,La République en Marche
81002,Marie-Christine Verdier-Jouclas,LREM,La République en Marche
38005,Catherine Kamowski,LREM,La République en Marche
33008,Sophie Panonacle,LREM,La République en Marche
75009,Buon Tan,LREM,La République en Marche
51003,Éric Girardin,LREM,La République en Marche
95008,François Pupponi,MODEM,Mouvement Démocrate
25003,Denis Sommer,LREM,La République en Marche
22003,Marc Le Fur,LR,Les Républicains
62011,Marine Le Pen,NI,Rassemblement national
49006,Nicole Dubré-Chirat,LREM,La République en Marche
80001,François Ruffin,LFI,La France Insoumise
53003,Yannick Favennec-Bécot,UDI,"Union des démocrates, radicaux et libéraux"
73004,Patrick Mignola,MODEM,Mouvement Démocrate
31003,Corinne Vignon,LREM,La République en Marche
51004,Lise Magnier,AE,Mouvement Démocrate
59002,Ugo Bernalicis,LFI,La France Insoumise
18001,François Cormier-Bouligeon,LREM,La République en Marche
02003,Jean-Louis Bricout,SOC,Parti socialiste
77009,Michèle Peyron,LREM,La République en Marche
64003,David Habib,SOC,Parti socialiste
83001,Geneviève Levy,LR,Les Républicains
39003,Jean-Marie Sermier,LR,Les Républicains
74001,Véronique Riotton,LREM,La République en Marche
30006,Philippe Berta,MODEM,Mouvement Démocrate
34001,Patricia Mirallès,LREM,La République en Marche
50004,Sonia Krimi,LREM,La République en Marche
22005,Éric Bothorel,LREM,La République en Marche
ZZ001,Roland Lescure,LREM,La République en Marche
59006,Charlotte Parmentier-Lecocq,LREM,La République en Marche
76007,Agnès Firmin Le Bodo,AE,Mouvement Démocrate
37004,Fabienne Colboc,LREM,La République en Marche
19001,Christophe Jerretie,MODEM,Mouvement Démocrate
21001,Didier Martin,LREM,La République en Marche
16003,Jérôme Lambert,SOC,Parti socialiste
77001,Aude Luquet,MODEM,Mouvement Démocrate
69011,Jean-Luc Fugit,LREM,La République en Marche
22002,Hervé Berville,LREM,La République en Marche
44006,Yves Daniel,LREM,La République en Marche
27002,Fabien Gouttefarde,LREM,La République en Marche
31001,Pierre Cabaré,LREM,La République en Marche
74004,Virginie Duby-Muller,LR,Les Républicains
34009,Patrick Vignal,LREM,La République en Marche
02005,Jacques Krabal,LREM,La République en Marche
08001,Bérengère Poletti,LR,Les Républicains
78005,Yaël Braun-Pivet,LREM,La République en Marche
56002,Jimmy Pahun,MODEM,Mouvement Démocrate
68005,Olivier Becht,AE,Mouvement Démocrate
ZP001,Maina Sage,AE,Tapura Huiraatira
27005,Claire O'Petit,LREM,La République en Marche
38002,Jean-Charles Colas-Roy,LREM,La République en Marche
37005,Sabine Thillaye,MODEM,Mouvement Démocrate
06006,Laurence Trastour-Isnart,LR,Les Républicains
45003,Claude de Ganay,LR,Les Républicains
67009,Vincent Thiébaut,LREM,La République en Marche
62005,Jean-Pierre Pont,LREM,La République en Marche
69007,Anissa Khedher,LREM,La République en Marche
15002,Jean-Yves Bony,LR,Les Républicains
67008,Frédéric Reiss,LR,Les Républicains
17004,Raphaël Gérard,LREM,La République en Marche
62012,Bruno Bilde,NI,Rassemblement national
93009,Sabine Rubin,LFI,La France Insoumise
93001,Éric Coquerel,LFI,La France Insoumise
56006,Jean-Michel Jacques,LREM,La République en Marche
79001,Guillaume Chiche,NI,Europe Écologie Les Verts
69001,Thomas Rudigoz,LREM,La République en Marche
38007,Monique Limon,LREM,La République en Marche
