id_circo,Exprimes,nom,voix
01001,65584,ARTHAUD,317
01002,77747,ARTHAUD,354
01003,59919,ARTHAUD,275
01004,72760,ARTHAUD,376
01005,57014,ARTHAUD,336
02001,52465,ARTHAUD,410
02002,51406,ARTHAUD,372
02003,48125,ARTHAUD,358
02004,53914,ARTHAUD,391
02005,59950,ARTHAUD,507
03001,66667,ARTHAUD,528
03002,59465,ARTHAUD,446
03003,59823,ARTHAUD,385
04001,46936,ARTHAUD,275
04002,49747,ARTHAUD,230
05001,44867,ARTHAUD,234
05002,41368,ARTHAUD,194
06001,56112,ARTHAUD,166
06002,65133,ARTHAUD,216
06003,63218,ARTHAUD,206
06004,61346,ARTHAUD,213
06005,64695,ARTHAUD,196
06006,58991,ARTHAUD,133
06007,71658,ARTHAUD,169
06008,59509,ARTHAUD,148
06009,58113,ARTHAUD,180
07001,60088,ARTHAUD,387
07002,74781,ARTHAUD,505
07003,62106,ARTHAUD,327
08001,51839,ARTHAUD,391
08002,42079,ARTHAUD,347
08003,40018,ARTHAUD,343
09001,44277,ARTHAUD,218
09002,47427,ARTHAUD,199
10001,47434,ARTHAUD,331
10002,55203,ARTHAUD,388
10003,47033,ARTHAUD,286
11001,74951,ARTHAUD,377
11002,68003,ARTHAUD,308
11003,69472,ARTHAUD,341
12001,60968,ARTHAUD,261
12002,53343,ARTHAUD,308
12003,56591,ARTHAUD,325
13001,56171,ARTHAUD,157
13002,59406,ARTHAUD,152
13003,49382,ARTHAUD,164
13004,40930,ARTHAUD,168
13005,50543,ARTHAUD,164
13006,53096,ARTHAUD,175
13007,38896,ARTHAUD,115
13008,75879,ARTHAUD,292
13009,72814,ARTHAUD,271
13010,82774,ARTHAUD,269
13011,68080,ARTHAUD,192
13012,68477,ARTHAUD,255
13013,67418,ARTHAUD,343
13014,74328,ARTHAUD,237
13015,83333,ARTHAUD,330
13016,67093,ARTHAUD,294
14001,55255,ARTHAUD,294
14002,50586,ARTHAUD,414
14003,58593,ARTHAUD,494
14004,78707,ARTHAUD,491
14005,70602,ARTHAUD,483
14006,72488,ARTHAUD,581
15001,48188,ARTHAUD,282
15002,39914,ARTHAUD,273
16001,61609,ARTHAUD,389
16002,62572,ARTHAUD,389
16003,68485,ARTHAUD,541
17001,82670,ARTHAUD,349
17002,86176,ARTHAUD,526
17003,62950,ARTHAUD,453
17004,70948,ARTHAUD,488
17005,91323,ARTHAUD,514
18001,51019,ARTHAUD,378
18002,48643,ARTHAUD,455
18003,60871,ARTHAUD,471
19001,71742,ARTHAUD,469
19002,70858,ARTHAUD,416
2A001,31123,ARTHAUD,89
2A002,37738,ARTHAUD,108
2B001,38129,ARTHAUD,127
2B002,40382,ARTHAUD,130
21001,54611,ARTHAUD,273
21002,54422,ARTHAUD,318
21003,55294,ARTHAUD,375
21004,52840,ARTHAUD,393
21005,65578,ARTHAUD,416
22001,69562,ARTHAUD,487
22002,81330,ARTHAUD,571
22003,69321,ARTHAUD,521
22004,62824,ARTHAUD,491
22005,83356,ARTHAUD,533
23001,66848,ARTHAUD,490
24001,59229,ARTHAUD,302
24002,64261,ARTHAUD,314
24003,53049,ARTHAUD,350
24004,70017,ARTHAUD,328
25001,57302,ARTHAUD,403
25002,60576,ARTHAUD,429
25003,47634,ARTHAUD,419
25004,47241,ARTHAUD,418
25005,64344,ARTHAUD,400
26001,57156,ARTHAUD,325
26002,71496,ARTHAUD,386
26003,87632,ARTHAUD,492
26004,75140,ARTHAUD,838
27001,62713,ARTHAUD,434
27002,58921,ARTHAUD,440
27003,63920,ARTHAUD,468
27004,67403,ARTHAUD,430
27005,65904,ARTHAUD,425
28001,66536,ARTHAUD,372
28002,52738,ARTHAUD,322
28003,51263,ARTHAUD,343
28004,49484,ARTHAUD,382
29001,71355,ARTHAUD,420
29002,56529,ARTHAUD,280
29003,71427,ARTHAUD,473
29004,64842,ARTHAUD,427
29005,75985,ARTHAUD,512
29006,69904,ARTHAUD,515
29007,63994,ARTHAUD,457
29008,68883,ARTHAUD,543
30001,62858,ARTHAUD,207
30002,72139,ARTHAUD,290
30003,73020,ARTHAUD,304
30004,70901,ARTHAUD,332
30005,74210,ARTHAUD,381
30006,60851,ARTHAUD,254
31001,65127,ARTHAUD,207
