year,month,de_season_avg,datetime,mois,mois_annee
1959,12,316.35,1959-12-31,Décembre,Décembre 1959
1960,1,316.4,1960-01-31,Janvier,Janvier 1960
1960,2,316.36,1960-02-29,Février,Février 1960
1960,3,316.28,1960-03-31,Mars,Mars 1960
1960,4,316.7,1960-04-30,Avril,Avril 1960
1960,5,317.22,1960-05-31,Mai,Mai 1960
1960,6,317.47,1960-06-30,Juin,Juin 1960
1960,7,317.52,1960-07-31,Juillet,Juillet 1960
1960,8,317.19,1960-08-31,Août,Août 1960
1960,9,317.08,1960-09-30,Septembre,Septembre 1960
1960,10,316.83,1960-10-31,Octobre,Octobre 1960
1960,11,316.88,1960-11-30,Novembre,Novembre 1960
1960,12,316.96,1960-12-31,Décembre,Décembre 1960
1961,1,316.86,1961-01-31,Janvier,Janvier 1961
1961,2,317.08,1961-02-28,Février,Février 1961
1961,3,317.26,1961-03-31,Mars,Mars 1961
1961,4,317.16,1961-04-30,Avril,Avril 1961
1961,5,317.76,1961-05-31,Mai,Mai 1961
1961,6,317.63,1961-06-30,Juin,Juin 1961
1961,7,317.88,1961-07-31,Juillet,Juillet 1961
1961,8,318.06,1961-08-31,Août,Août 1961
1961,9,317.9,1961-09-30,Septembre,Septembre 1961
1961,10,318.32,1961-10-31,Octobre,Octobre 1961
1961,11,317.99,1961-11-30,Novembre,Novembre 1961
1961,12,317.79,1961-12-31,Décembre,Décembre 1961
1962,1,317.91,1962-01-31,Janvier,Janvier 1962
1962,2,317.92,1962-02-28,Février,Février 1962
1962,3,318.39,1962-03-31,Mars,Mars 1962
1962,4,318.24,1962-04-30,Avril,Avril 1962
1962,5,318.18,1962-05-31,Mai,Mai 1962
1962,6,318.47,1962-06-30,Juin,Juin 1962
1962,7,318.92,1962-07-31,Juillet,Juillet 1962
1962,8,318.68,1962-08-31,Août,Août 1962
1962,9,319.17,1962-09-30,Septembre,Septembre 1962
1962,10,318.45,1962-10-31,Octobre,Octobre 1962
1962,11,318.58,1962-11-30,Novembre,Novembre 1962
1962,12,318.47,1962-12-31,Décembre,Décembre 1962
1963,1,318.7,1963-01-31,Janvier,Janvier 1963
1963,2,318.44,1963-02-28,Février,Février 1963
1963,3,318.57,1963-03-31,Mars,Mars 1963
1963,4,319.05,1963-04-30,Avril,Avril 1963
1963,5,319.4,1963-05-31,Mai,Mai 1963
1963,6,319.32,1963-06-30,Juin,Juin 1963
1963,7,319.05,1963-07-31,Juillet,Juillet 1963
1963,8,319.05,1963-08-31,Août,Août 1963
