naissance,18,19,20,21,22,23,24,25,ouverture_droits,duree_cotis_ancien,duree_cotis_nouveau,surplus_duree,Surplus_age_ouverture
1960,"-2,25","0","0","0,75","1,75","2,75","3,75","4,75",62,42,42,0,0
1961,"-2,25","-1,25","-0,25","0,75","1,75","2,75","3,75","4,75","62,25",42,42,0,"0,25"
1962,"-2,25","-1,25","-0,25","0,75","1,75","2,75","3,75","4,75","62,5",42,"42,25","0,25","0,5"
1963,"-2,25","-1,25","-0,25","0,75","1,75","2,75","3,75","4,75","62,75",42,"42,5","0,5","0,75"
1964,"-2,25","-1,25","-0,25","0,75","1,75","2,75","3,75","4,75",63,"42,25","42,75","0,5",1
1965,"-2,25","-1,25","-0,25","0,75","1,75","2,75","3,75","4,75","63,25","42,25",43,"0,75","1,25"
1966,"-2,5","-1,5","-0,5","0,5","1,5","2,5","3,5","4,5","63,5","42,25",43,"0,75","1,5"
1967,"-2,75","-1,75","-0,75","0,25","1,25","2,25","3,25","4,25","63,75","42,5",43,"0,5","1,75"
1968,-3,-2,-1,0,1,2,3,4,64,"42,5",43,"0,5",2
1969,-3,-2,-1,0,1,2,3,4,64,"42,5",43,"0,5",2
1970,-3,-2,-1,0,1,2,3,4,64,"42,75",43,"0,25",2
1971,-3,-2,-1,0,1,2,3,4,64,"42,75",43,"0,25",2
1972,-3,-2,-1,0,1,2,3,4,64,"42,75",43,"0,25",2
1973,-3,-2,-1,0,1,2,3,4,64,43,43,0,2
1974,-3,-2,-1,0,1,2,3,4,64,43,43,0,2
1975,-3,-2,-1,0,1,2,3,4,64,43,43,0,2
1976,-3,-2,-1,0,1,2,3,4,64,43,43,0,2
1977,-3,-2,-1,0,1,2,3,4,64,43,43,0,2
1978,-3,-2,-1,0,1,2,3,4,64,43,43,0,2
1979,-3,-2,-1,0,1,2,3,4,64,43,43,0,2
1980,-3,-2,-1,0,1,2,3,4,64,43,43,0,2
1981,-3,-2,-1,0,1,2,3,4,64,43,43,0,2
1982,-3,-2,-1,0,1,2,3,4,64,43,43,0,2
1983,-3,-2,-1,0,1,2,3,4,64,43,43,0,2
1984,-3,-2,-1,0,1,2,3,4,64,43,43,0,2
1985,-3,-2,-1,0,1,2,3,4,64,43,43,0,2
1986,-3,-2,-1,0,1,2,3,4,64,43,43,0,2
1987,-3,-2,-1,0,1,2,3,4,64,43,43,0,2
1988,-3,-2,-1,0,1,2,3,4,64,43,43,0,2
1989,-3,-2,-1,0,1,2,3,4,64,43,43,0,2
1990,-3,-2,-1,0,1,2,3,4,64,43,43,0,2
1991,-3,-2,-1,0,1,2,3,4,64,43,43,0,2
1992,-3,-2,-1,0,1,2,3,4,64,43,43,0,2
1993,-3,-2,-1,0,1,2,3,4,64,43,43,0,2
1994,-3,-2,-1,0,1,2,3,4,64,43,43,0,2
1995,-3,-2,-1,0,1,2,3,4,64,43,43,0,2
1996,-3,-2,-1,0,1,2,3,4,64,43,43,0,2
1997,-3,-2,-1,0,1,2,3,4,64,43,43,0,2
1998,-3,-2,-1,0,1,2,3,4,64,43,43,0,2
1999,-3,-2,-1,0,1,2,3,4,64,43,43,0,2
2000,-3,-2,-1,0,1,2,3,4,64,43,43,0,2
