dep,creneaux,population,pour1000hab
01,13,59133,0.2
02,13,45272,0.3
03,64,23379,2.7
04,104,11830,8.8
05,69,10250,6.7
06,111,80628,1.4
07,387,24707,15.7
08,0,21106,0.0
09,0,10715,0.0
10,302,26218,11.5
11,0,27855,0.0
12,250,19508,12.8
13,560,169571,3.3
14,0,55644,0.0
15,0,9366,0.0
16,0,25013,0.0
17,0,45310,0.0
18,57,21687,2.6
19,36,16633,2.2
21,25,42235,0.6
22,734,45900,16.0
23,0,7086,0.0
24,118,26765,4.4
25,91,46806,1.9
26,1044,43862,23.8
27,168,52233,3.2
28,0,37098,0.0
29,340,70159,4.8
2A,0,11454,0.0
2B,36,13358,2.7
30,81,59515,1.4
31,0,119648,0.0
32,0,13250,0.0
33,393,134457,2.9
34,0,95783,0.0
35,0,96393,0.0
36,38,14915,2.5
37,0,49897,0.0
38,183,112147,1.6
39,135,19924,6.8
40,0,30049,0.0
41,0,25216,0.0
42,212,64955,3.3
43,0,17487,0.0
44,308,128371,2.4
45,0,60352,0.0
46,36,11125,3.2
47,30,24459,1.2
48,0,5456,0.0
49,108,71197,1.5
50,184,36802,5.0
51,97,47427,2.0
52,36,12116,3.0
53,0,25928,0.0
54,247,59608,4.1
55,103,13838,7.4
56,264,58334,4.5
57,77,80708,1.0
58,100,13391,7.5
59,612,236736,2.6
60,0,75186,0.0
61,29,20652,1.4
62,259,127965,2.0
63,60,53200,1.1
64,2,50631,0.0
65,118,15849,7.4
66,71,35891,2.0
67,144,91408,1.6
68,0,61062,0.0
69,289,168676,1.7
70,120,18227,6.6
71,16,40848,0.4
72,161,47001,3.4
73,568,34913,16.3
74,0,72119,0.0
75,11,140973,0.1
76,1042,106692,9.8
77,743,137644,5.4
78,152,136089,1.1
79,2,29549,0.1
80,58,47563,1.2
81,0,29672,0.0
82,0,21992,0.0
83,9,78469,0.1
84,4,46127,0.1
85,80,54418,1.5
86,0,35610,0.0
87,2,27488,0.1
88,161,26846,6.0
89,94,25869,3.6
90,0,11381,0.0
91,90,125567,0.7
92,1,139867,0.0
93,577,170142,3.4
94,34,127285,0.3
95,104,127164,0.8
971,0,31299,0.0
972,0,26156,0.0
973,0,42414,0.0
974,707,88858,8.0
976,0,54370,0.0
