departement,appointment_per_1000,appointment_mean
01,3.6,2296
02,7.8,4172
03,1.4,462
04,6.7,1092
05,9.1,1279
06,1.6,1688
07,1.6,512
08,7.2,1958
09,7.0,1072
10,13.0,4046
11,4.8,1767
12,5.6,1573
13,3.0,6161
14,6.6,4559
15,6.0,869
16,2.4,846
17,1.4,888
18,1.3,397
19,1.1,264
21,0.7,355
22,6.6,3941
23,0.9,108
24,2.2,926
25,2.3,1246
26,3.8,1928
27,1.1,676
28,3.0,1303
29,1.8,1620
2A,17.5,2747
2B,3.0,530
30,5.0,3753
31,44.6,60832
32,1.0,185
33,2.7,4206
34,2.1,2430
35,1.0,1042
36,1.4,315
37,1.3,818
38,19.5,24600
39,2.3,608
40,9.1,3725
41,2.1,693
42,8.0,6071
43,6.1,1396
44,0.1,207
45,0.6,402
46,5.9,1023
47,1.0,347
48,3.5,270
49,2.0,1636
50,2.9,1443
51,8.1,4591
52,3.3,573
53,0.7,225
54,3.9,2891
55,0.8,140
56,10.6,7989
57,5.5,5708
58,0.8,165
59,2.3,5992
60,3.7,3033
61,8.9,2534
62,2.3,3433
63,5.1,3317
64,2.8,1921
65,2.0,460
66,2.7,1277
67,4.1,4650
68,2.4,1807
69,2.5,4605
70,5.2,1230
71,1.9,1055
72,3.5,1976
73,5.6,2416
74,8.0,6486
75,3.7,8195
76,1.5,1940
77,7.7,10857
78,0.6,835
79,0.3,102
80,14.7,8431
81,4.2,1626
82,0.5,127
83,0.9,983
84,2.0,1093
85,0.1,77
86,1.0,429
87,3.8,1416
88,2.5,918
89,5.1,1709
90,3.5,504
91,0.9,1116
92,2.3,3695
93,6.1,9865
94,5.0,6924
95,9.5,11713
971,4.7,1835
972,13.0,4833
973,3.7,1007
974,32.1,27366
976,0.0,0
