dep,datetime,hosp,rea,HospConv,SSR_USLD,autres,rad,dc,population,hosp_pour_100k,rea_pour_100k
01,2020-10-01,29,5,,,,508,113,643350,4.5,0.8
02,2020-10-01,48,4,,,,1178,290,534490,9.0,0.7
03,2020-10-01,26,1,,,,234,45,337988,7.7,0.3
04,2020-10-01,10,0,,,,158,16,163915,6.1,0.0
05,2020-10-01,10,4,,,,158,22,141284,7.1,2.8
06,2020-10-01,119,16,,,,1144,222,1083310,11.0,1.5
07,2020-10-01,8,4,,,,470,120,325712,2.5,1.2
08,2020-10-01,8,2,,,,237,64,273579,2.9,0.7
09,2020-10-01,7,4,,,,39,2,153153,4.6,2.6
10,2020-10-01,21,4,,,,679,138,310020,6.8,1.3
11,2020-10-01,6,1,,,,259,61,370260,1.6,0.3
12,2020-10-01,16,4,,,,175,26,279206,5.7,1.4
13,2020-10-01,478,114,,,,5145,673,2024162,23.6,5.6
14,2020-10-01,26,8,,,,397,87,694002,3.7,1.2
15,2020-10-01,15,0,,,,64,14,145143,10.3,0.0
16,2020-10-01,4,1,,,,69,14,352335,1.1,0.3
17,2020-10-01,22,3,,,,161,54,644303,3.4,0.5
18,2020-10-01,17,1,,,,222,94,304256,5.6,0.3
19,2020-10-01,9,1,,,,172,42,241464,3.7,0.4
21,2020-10-01,30,11,,,,997,257,533819,5.6,2.1
22,2020-10-01,15,3,,,,253,42,598814,2.5,0.5
23,2020-10-01,3,2,,,,89,16,118638,2.5,1.7
24,2020-10-01,14,3,,,,110,14,413606,3.4,0.7
25,2020-10-01,10,5,,,,663,154,539067,1.9,0.9
26,2020-10-01,31,5,,,,567,131,511553,6.1,1.0
27,2020-10-01,61,13,,,,306,92,601843,10.1,2.2
28,2020-10-01,17,3,,,,637,148,433233,3.9,0.7
29,2020-10-01,23,4,,,,220,48,909028,2.5,0.4
2A,2020-10-01,11,3,,,,166,50,157249,7.0,1.9
2B,2020-10-01,14,2,,,,131,16,177689,7.9,1.1
30,2020-10-01,68,18,,,,448,109,744178,9.1,2.4
31,2020-10-01,133,48,,,,976,102,1362672,9.8,3.5
32,2020-10-01,8,1,,,,96,29,191091,4.2,0.5
