datetime,dep,tx_incidence,tx_positivite
2021-01-01,01,81.7,6.68
2021-01-02,01,82.9,6.91
2021-01-03,01,82.3,6.86
2021-01-04,01,91.8,7.79
2021-01-05,01,104.4,8.82
2021-01-06,01,109.7,9.95
2021-01-07,01,116.3,11.14
2021-01-08,01,140.2,11.06
2021-01-09,01,138.4,10.91
2021-01-10,01,139.0,11.03
2021-01-11,01,124.1,9.65
2021-01-12,01,116.3,9.08
2021-01-13,01,124.7,9.57
2021-01-14,01,128.8,9.56
2021-01-15,01,136.0,9.36
2021-01-16,01,136.6,9.26
2021-01-17,01,136.0,9.27
2021-01-18,01,155.1,10.56
2021-01-19,01,167.0,11.15
2021-01-20,01,164.6,10.57
2021-01-21,01,169.4,10.5
2021-01-22,01,166.4,10.0
2021-01-23,01,174.2,10.53
2021-01-24,01,174.8,10.54
2021-01-25,01,179.5,10.01
2021-01-26,01,180.1,9.38
2021-01-27,01,184.9,9.32
2021-01-28,01,178.9,8.25
2021-01-29,01,181.3,7.74
2021-01-30,01,181.9,7.63
2021-01-31,01,181.9,7.61
2021-02-01,01,188.5,7.01
2021-02-02,01,186.1,6.41
2021-02-03,01,192.6,6.18
2021-02-04,01,200.4,5.77
2021-02-05,01,201.6,5.56
2021-02-06,01,196.8,5.39
2021-02-07,01,196.8,5.38
2021-02-08,01,179.5,5.4
2021-02-09,01,179.5,5.92
2021-02-10,01,165.2,5.96
2021-02-11,01,148.5,6.78
2021-02-12,01,140.2,7.79
2021-02-13,01,137.8,7.81
2021-02-14,01,136.6,7.76
2021-02-15,01,137.8,8.42
2021-02-16,01,136.6,8.99
2021-02-17,01,129.4,9.21
2021-02-18,01,137.8,10.31
2021-02-19,01,133.0,10.77
2021-02-20,01,133.0,11.37
2021-02-21,01,137.2,11.75
2021-02-22,01,149.1,12.56
2021-02-23,01,151.5,9.81
2021-02-24,01,163.4,10.01
2021-02-25,01,162.2,8.23
2021-02-26,01,166.4,7.15
2021-02-27,01,169.4,7.15
2021-02-28,01,166.4,7.0
2021-03-01,01,148.5,5.37
2021-03-02,01,140.8,5.01
2021-03-03,01,128.2,4.47
2021-03-04,01,122.9,4.23
2021-03-05,01,117.5,4.25
2021-03-06,01,113.9,4.12
2021-03-07,01,113.9,4.11
2021-03-08,01,115.1,3.94
2021-03-09,01,128.2,4.12
2021-03-10,01,140.8,4.37
2021-03-11,01,150.9,4.27
2021-03-12,01,177.7,4.32
2021-03-13,01,184.3,4.39
2021-03-14,01,187.9,4.46
2021-03-15,01,197.4,4.46
2021-03-16,01,210.5,4.46
2021-03-17,01,220.7,4.56
2021-03-18,01,231.4,4.67
2021-03-19,01,233.8,4.68
2021-03-20,01,243.3,4.84
2021-03-21,01,244.5,4.87
2021-01-01,02,91.6,8.07
2021-01-02,02,99.3,8.39
2021-01-03,02,97.8,8.28
2021-01-04,02,105.5,8.33
2021-01-05,02,104.7,8.5
2021-01-06,02,107.8,9.29
2021-01-07,02,107.0,9.38
2021-01-08,02,130.1,9.36
2021-01-09,02,130.9,9.28
2021-01-10,02,130.1,9.25
2021-01-11,02,129.4,9.2
2021-01-12,02,126.3,8.6
2021-01-13,02,134.0,8.75
2021-01-14,02,141.7,8.77
2021-01-15,02,151.7,9.18
2021-01-16,02,153.3,9.19
2021-01-17,02,153.3,9.21
2021-01-18,02,164.0,9.3
2021-01-19,02,169.4,9.31
2021-01-20,02,170.2,8.95
2021-01-21,02,175.6,9.07
2021-01-22,02,171.7,8.16
2021-01-23,02,164.0,7.76
2021-01-24,02,164.8,7.77
2021-01-25,02,170.2,7.85
2021-01-26,02,180.2,7.89
2021-01-27,02,184.1,7.93
2021-01-28,02,183.3,7.53
2021-01-29,02,172.5,7.2
2021-01-30,02,180.2,7.54
2021-01-31,02,182.5,7.62
2021-02-01,02,174.8,7.22
2021-02-02,02,184.1,7.69
2021-02-03,02,178.7,7.43
2021-02-04,02,177.1,7.55
2021-02-05,02,178.7,7.59
2021-02-06,02,177.1,7.44
2021-02-07,02,176.4,7.41
2021-02-08,02,185.6,7.57
2021-02-09,02,174.0,6.69
2021-02-10,02,180.2,6.93
2021-02-11,02,175.6,6.52
2021-02-12,02,179.4,6.74
2021-02-13,02,172.5,6.51
2021-02-14,02,170.2,6.44
2021-02-15,02,156.3,6.18
2021-02-16,02,153.3,6.04
