datetime,dep,tx_incidence,tx_positivite,taux_occupation_sae
2020-09-01,09,28.9,2.08,5.5
2020-09-01,10,26.1,1.82,3.4
2020-09-01,05,29.6,2.89,12.0
2020-09-01,13,200.2,5.82,12.0
2020-09-01,01,61.2,5.03,6.4
2020-09-01,12,33.8,2.05,5.5
2020-09-01,04,47.8,2.57,12.0
2020-09-01,15,13.3,1.32,6.4
2020-09-01,11,36.2,2.53,5.5
2020-09-01,03,19.0,1.47,6.4
2020-09-01,14,25.2,1.6,0.8
2020-09-01,07,26.3,2.48,6.4
2020-09-01,06,126.6,4.86,12.0
2020-09-01,08,15.1,1.02,3.4
2020-09-01,02,23.4,3.41,6.6
2020-09-02,14,25.2,1.59,0.8
2020-09-02,02,21.7,3.11,7.5
2020-09-02,15,16.1,1.53,7.0
2020-09-02,11,40.8,2.91,6.8
2020-09-02,08,17.3,1.14,3.9
2020-09-02,09,30.8,2.21,6.8
2020-09-02,03,18.4,1.37,7.0
2020-09-02,07,28.2,2.62,7.0
2020-09-02,06,131.8,5.21,13.7
2020-09-02,01,63.2,5.01,7.0
2020-09-02,05,31.7,3.01,13.7
2020-09-02,04,44.2,2.3,13.7
2020-09-02,13,205.6,5.94,13.7
2020-09-02,12,34.1,1.95,6.8
2020-09-02,10,25.5,1.82,3.9
2020-09-03,09,38.1,2.79,7.8
2020-09-03,15,17.5,1.61,7.0
2020-09-03,04,43.6,2.32,14.8
2020-09-03,06,129.6,5.29,14.8
2020-09-03,01,65.2,5.09,7.0
2020-09-03,03,22.9,1.61,7.0
2020-09-03,11,42.4,2.98,7.8
2020-09-03,08,18.4,1.21,3.2
2020-09-03,05,29.6,2.79,14.8
2020-09-03,07,32.1,3.07,7.0
2020-09-03,10,27.8,1.96,3.2
2020-09-03,02,21.7,3.15,7.8
2020-09-03,12,36.3,2.04,7.8
2020-09-03,14,27.6,1.73,0.8
2020-09-03,13,212.9,6.27,14.8
2020-09-04,04,43.6,2.39,14.6
2020-09-04,15,25.2,2.35,7.7
2020-09-04,10,28.4,2.04,3.4
2020-09-04,09,36.8,2.73,6.8
2020-09-04,13,220.8,6.51,14.6
2020-09-04,06,131.9,5.59,14.6
2020-09-04,02,21.3,2.83,8.0
2020-09-04,08,21.8,1.44,3.4
2020-09-04,03,22.9,1.65,7.7
2020-09-04,07,30.6,2.84,7.7
2020-09-04,14,29.8,1.85,0.8
2020-09-04,12,33.0,1.75,6.8
2020-09-04,05,27.5,2.53,14.6
2020-09-04,11,46.7,3.22,6.8
2020-09-04,01,67.7,5.15,7.7
2020-09-05,06,135.3,5.72,15.4
2020-09-05,13,217.1,6.55,15.4
2020-09-05,03,22.6,1.77,7.7
2020-09-05,04,42.4,2.35,15.4
2020-09-05,02,21.7,2.85,8.0
2020-09-05,07,30.0,2.85,7.7
2020-09-05,11,49.4,3.38,6.5
2020-09-05,08,25.2,1.55,3.2
2020-09-05,10,24.8,1.81,3.2
2020-09-05,14,28.2,1.75,0.8
2020-09-05,15,24.5,2.28,7.7
2020-09-05,01,70.2,5.28,7.7
2020-09-05,12,49.6,2.56,6.5
2020-09-05,05,28.9,2.64,15.4
2020-09-05,09,40.7,2.98,6.5
2020-09-06,02,22.2,2.91,8.0
2020-09-06,10,24.2,1.79,3.2
2020-09-06,14,32.2,1.93,0.8
2020-09-06,07,30.3,2.87,7.7
2020-09-06,11,49.4,3.4,7.0
2020-09-06,05,29.6,2.71,15.7
2020-09-06,03,22.6,1.77,7.7
2020-09-06,12,49.6,2.57,7.0
2020-09-06,09,40.7,2.97,7.0
2020-09-06,15,24.5,2.27,7.7
2020-09-06,04,42.4,2.35,15.7
2020-09-06,06,137.2,5.79,15.7
2020-09-06,01,70.3,5.24,7.7
2020-09-06,08,26.0,1.6,3.2
2020-09-06,13,218.0,6.59,15.7
2020-09-07,01,69.0,5.0,8.4
2020-09-07,02,23.2,2.84,8.9
2020-09-07,10,22.6,1.75,2.8
2020-09-07,06,139.9,6.04,18.9
2020-09-07,13,221.2,6.66,18.9
2020-09-07,12,56.4,2.8,7.4
2020-09-07,09,42.0,2.94,7.4
2020-09-07,07,29.7,2.75,8.4
2020-09-07,03,26.0,2.01,8.4
2020-09-07,08,26.4,1.7,2.8
2020-09-07,15,25.9,2.22,8.4
2020-09-07,05,38.8,3.49,18.9
2020-09-07,04,47.2,2.72,18.9
2020-09-07,11,48.8,3.15,7.4
2020-09-07,14,38.8,2.3,1.2
2020-09-08,09,47.2,3.11,8.2
2020-09-08,15,24.5,2.05,9.7
2020-09-08,02,22.4,2.47,8.9
2020-09-08,12,59.6,2.96,8.2
2020-09-08,05,40.2,3.51,20.7
2020-09-08,06,147.4,6.31,20.7
2020-09-08,04,45.4,2.75,20.7
2020-09-08,01,71.8,4.95,9.7
2020-09-08,14,41.9,2.29,2.9
2020-09-08,11,46.4,2.7,8.2
2020-09-08,03,28.4,2.04,9.7
2020-09-08,10,26.8,2.07,3.4
2020-09-08,13,226.0,6.75,20.7
2020-09-08,08,28.6,1.88,3.4
2020-09-08,07,32.1,2.9,9.7
2020-09-09,02,24.9,2.67,8.4
2020-09-09,08,26.7,1.73,3.9
2020-09-09,10,31.6,2.3,3.9
2020-09-09,06,155.8,6.62,22.6
2020-09-09,03,27.8,1.96,10.7
2020-09-09,07,33.4,2.88,10.7
2020-09-09,04,43.6,2.68,22.6
2020-09-09,15,24.5,1.96,10.7
2020-09-09,09,46.6,2.95,8.4
2020-09-09,05,47.3,3.97,22.6
2020-09-09,14,51.8,2.64,3.3
2020-09-09,13,230.1,6.89,22.6
2020-09-09,12,62.5,3.07,8.4
2020-09-09,01,71.7,4.8,10.7
2020-09-09,11,47.0,2.61,8.4
2020-09-10,04,43.0,2.67,23.3
2020-09-10,15,32.2,2.46,12.2
2020-09-10,06,156.4,6.55,23.3
2020-09-10,10,35.5,2.41,4.1
2020-09-10,07,31.2,2.58,12.2
2020-09-10,05,52.9,4.46,23.3
