dep,datetime,tx_incidence,tx_positivite,td
01,2021-09-01,135.43,13.59,996.87
02,2021-09-01,57.54,8.85,650.15
03,2021-09-01,88.47,11.03,802.17
04,2021-09-01,242.29,13.66,1773.13
05,2021-09-01,170.11,13.86,1227.22
06,2021-09-01,272.8,10.01,2724.49
07,2021-09-01,189.89,13.31,1426.87
08,2021-09-01,122.41,11.38,1075.89
09,2021-09-01,227.88,13.53,1683.76
10,2021-09-01,88.02,5.69,1548.1
11,2021-09-01,235.92,11.37,2075.11
12,2021-09-01,264.83,16.38,1616.84
13,2021-09-01,547.42,16.8,3259.2
14,2021-09-01,93.53,8.35,1119.89
15,2021-09-01,73.49,7.69,955.32
16,2021-09-01,123.98,12.23,1013.42
17,2021-09-01,83.5,8.38,996.03
18,2021-09-01,191.93,19.38,990.59
19,2021-09-01,130.11,10.46,1244.21
21,2021-09-01,155.81,11.65,1337.89
22,2021-09-01,134.63,11.5,1170.72
23,2021-09-01,37.21,4.35,855.81
24,2021-09-01,173.1,16.19,1069.14
25,2021-09-01,174.05,14.68,1185.88
26,2021-09-01,189.5,15.7,1207.29
27,2021-09-01,132.31,14.63,904.1
28,2021-09-01,127.47,12.33,1033.88
29,2021-09-01,147.59,11.28,1308.59
2A,2021-09-01,185.7,6.45,2878.37
2B,2021-09-01,122.99,4.11,2992.72
30,2021-09-01,417.09,21.08,1978.35
31,2021-09-01,199.52,12.75,1565.3
32,2021-09-01,140.41,15.22,922.68
33,2021-09-01,124.65,10.99,1134.35
34,2021-09-01,300.96,14.68,2050.66
35,2021-09-01,193.09,12.51,1543.3
36,2021-09-01,100.53,11.58,868.21
37,2021-09-01,105.53,11.08,952.54
38,2021-09-01,194.26,15.84,1226.25
39,2021-09-01,229.25,13.49,1699.14
40,2021-09-01,97.45,9.32,1045.36
41,2021-09-01,114.14,12.79,892.39
42,2021-09-01,176.15,17.39,1012.85
43,2021-09-01,110.15,12.84,857.59
44,2021-09-01,143.47,12.37,1159.44
45,2021-09-01,161.94,13.88,1166.84
