dep,datetime,P,T,tx_positivite,population,tx_incidence
01,2020-07-01,36.0,2698.0,1.33,643350.0,5.6
01,2020-07-02,31.0,2902.0,1.07,643350.0,4.8
01,2020-07-03,26.0,3097.0,0.84,643350.0,4.0
01,2020-07-04,21.0,3150.0,0.67,643350.0,3.3
01,2020-07-05,21.0,3149.0,0.67,643350.0,3.3
01,2020-07-06,17.0,3166.0,0.54,643350.0,2.6
01,2020-07-07,14.0,3163.0,0.44,643350.0,2.2
01,2020-07-08,14.0,3286.0,0.43,643350.0,2.2
01,2020-07-09,17.0,3407.0,0.5,643350.0,2.6
01,2020-07-10,17.0,3521.0,0.48,643350.0,2.6
01,2020-07-11,16.0,3514.0,0.46,643350.0,2.5
01,2020-07-12,17.0,3508.0,0.48,643350.0,2.6
01,2020-07-13,15.0,3590.0,0.42,643350.0,2.3
01,2020-07-14,10.0,3097.0,0.32,643350.0,1.6
01,2020-07-15,10.0,3204.0,0.31,643350.0,1.6
01,2020-07-16,7.0,3241.0,0.22,643350.0,1.1
01,2020-07-17,10.0,3137.0,0.32,643350.0,1.6
01,2020-07-18,14.0,3219.0,0.43,643350.0,2.2
01,2020-07-19,13.0,3226.0,0.4,643350.0,2.0
01,2020-07-20,16.0,3205.0,0.5,643350.0,2.5
01,2020-07-21,26.0,3829.0,0.68,643350.0,4.0
01,2020-07-22,28.0,3737.0,0.75,643350.0,4.4
01,2020-07-23,34.0,3592.0,0.95,643350.0,5.3
01,2020-07-24,49.0,3545.0,1.38,643350.0,7.6
01,2020-07-25,47.0,3499.0,1.34,643350.0,7.3
01,2020-07-26,49.0,3503.0,1.4,643350.0,7.6
01,2020-07-27,59.0,3641.0,1.62,643350.0,9.2
01,2020-07-28,59.0,3672.0,1.61,643350.0,9.2
01,2020-07-29,61.0,3754.0,1.62,643350.0,9.5
01,2020-07-30,72.0,3942.0,1.83,643350.0,11.2
01,2020-07-31,68.0,4113.0,1.65,643350.0,10.6
01,2020-08-01,71.0,4108.0,1.73,643350.0,11.0
01,2020-08-02,71.0,4126.0,1.72,643350.0,11.0
01,2020-08-03,67.0,4043.0,1.66,643350.0,10.4
01,2020-08-04,71.0,4079.0,1.74,643350.0,11.0
01,2020-08-05,74.0,4060.0,1.82,643350.0,11.5
01,2020-08-06,72.0,4045.0,1.78,643350.0,11.2
01,2020-08-07,64.0,4039.0,1.58,643350.0,9.9
01,2020-08-08,67.0,4035.0,1.66,643350.0,10.4
01,2020-08-09,66.0,4011.0,1.65,643350.0,10.3
01,2020-08-10,79.0,4088.0,1.93,643350.0,12.3
01,2020-08-11,76.0,4066.0,1.87,643350.0,11.8
01,2020-08-12,81.0,4066.0,1.99,643350.0,12.6
01,2020-08-13,82.0,4135.0,1.98,643350.0,12.7
01,2020-08-14,98.0,4195.0,2.34,643350.0,15.2
01,2020-08-15,91.0,3982.0,2.29,643350.0,14.1
01,2020-08-16,90.0,4012.0,2.24,643350.0,14.0
01,2020-08-17,97.0,4422.0,2.19,643350.0,15.1
01,2020-08-18,109.0,4638.0,2.35,643350.0,16.9
01,2020-08-19,121.0,4870.0,2.48,643350.0,18.8
01,2020-08-20,138.0,5102.0,2.7,643350.0,21.5
01,2020-08-21,163.0,5367.0,3.04,643350.0,25.3
01,2020-08-22,179.0,5777.0,3.1,643350.0,27.8
01,2020-08-23,181.0,5792.0,3.12,643350.0,28.1
01,2020-08-24,206.0,5916.0,3.48,643350.0,32.0
01,2020-08-25,221.0,6215.0,3.56,643350.0,34.4
01,2020-08-26,250.0,6570.0,3.81,643350.0,38.9
01,2020-08-27,305.0,6900.0,4.42,643350.0,47.4
01,2020-08-28,316.0,7206.0,4.39,643350.0,49.1
01,2020-08-29,323.0,7428.0,4.35,643350.0,50.2
01,2020-08-30,323.0,7429.0,4.35,643350.0,50.2
01,2020-08-31,368.0,7829.0,4.7,643350.0,57.2
01,2020-09-01,403.0,8136.0,4.95,643350.0,62.6
01,2020-09-02,415.0,8374.0,4.96,643350.0,64.5
01,2020-09-03,429.0,8502.0,5.05,643350.0,66.7
01,2020-09-04,446.0,8715.0,5.12,643350.0,69.3
01,2020-09-05,462.0,8803.0,5.25,643350.0,71.8
01,2020-09-06,463.0,8889.0,5.21,643350.0,72.0
01,2020-09-07,454.0,9159.0,4.96,643350.0,70.6
01,2020-09-08,473.0,9677.0,4.89,643350.0,73.5
01,2020-09-09,472.0,9941.0,4.75,643350.0,73.4
01,2020-09-10,473.0,10561.0,4.48,643350.0,73.5
01,2020-09-11,495.0,10963.0,4.52,643350.0,76.9
01,2020-09-12,498.0,10968.0,4.54,643350.0,77.4
01,2020-09-13,500.0,10913.0,4.58,643350.0,77.7
01,2020-09-14,528.0,11555.0,4.57,643350.0,82.1
01,2020-09-15,590.0,11859.0,4.98,643350.0,91.7
01,2020-09-16,676.0,12230.0,5.53,643350.0,105.1
01,2020-09-17,672.0,12065.0,5.57,643350.0,104.5
01,2020-09-18,675.0,11727.0,5.76,643350.0,104.9
01,2020-09-19,661.0,11497.0,5.75,643350.0,102.7
01,2020-09-20,660.0,11474.0,5.75,643350.0,102.6
01,2020-09-21,671.0,10845.0,6.19,643350.0,104.3
01,2020-09-22,621.0,10326.0,6.01,643350.0,96.5
01,2020-09-23,569.0,9691.0,5.87,643350.0,88.4
01,2020-09-24,555.0,9251.0,6.0,643350.0,86.3
01,2020-09-25,534.0,9128.0,5.85,643350.0,83.0
01,2020-09-26,530.0,9139.0,5.8,643350.0,82.4
01,2020-09-27,527.0,9107.0,5.79,643350.0,81.9
01,2020-09-28,494.0,8774.0,5.63,643350.0,76.8
01,2020-09-29,496.0,8352.0,5.94,643350.0,77.1
01,2020-09-30,490.0,8150.0,6.01,643350.0,76.2
01,2020-10-01,511.0,8033.0,6.36,643350.0,79.4
01,2020-10-02,557.0,8035.0,6.93,643350.0,86.6
01,2020-10-03,593.0,8109.0,7.31,643350.0,92.2
01,2020-10-04,601.0,8100.0,7.42,643350.0,93.4
01,2020-10-05,713.0,8519.0,8.37,643350.0,110.8
01,2020-10-06,798.0,8818.0,9.05,643350.0,124.0
01,2020-10-07,931.0,9231.0,10.09,643350.0,144.7
01,2020-10-08,1085.0,9646.0,11.25,643350.0,168.6
01,2020-10-09,1248.0,10252.0,12.17,643350.0,194.0
01,2020-10-10,1290.0,10504.0,12.28,643350.0,200.5
01,2020-10-11,1293.0,10543.0,12.26,643350.0,201.0
01,2020-10-12,1561.0,11614.0,13.44,643350.0,242.6
01,2020-10-13,1736.0,12763.0,13.6,643350.0,269.8
01,2020-10-14,1909.0,13848.0,13.79,643350.0,296.7
01,2020-10-15,2189.0,15148.0,14.45,643350.0,340.3
01,2020-10-16,2428.0,16253.0,14.94,643350.0,377.4
01,2020-10-17,2529.0,16552.0,15.28,643350.0,393.1
01,2020-10-18,2543.0,16581.0,15.34,643350.0,395.3
01,2020-10-19,2817.0,17198.0,16.38,643350.0,437.9
01,2020-10-20,3246.0,17952.0,18.08,643350.0,504.5
01,2020-10-21,3640.0,18549.0,19.62,643350.0,565.8
01,2020-10-22,3997.0,19541.0,20.45,643350.0,621.3
01,2020-10-23,4478.0,20495.0,21.85,643350.0,696.0
01,2020-10-24,4637.0,20679.0,22.42,643350.0,720.8
01,2020-10-25,4684.0,20824.0,22.49,643350.0,728.1
01,2020-10-26,5121.0,21869.0,23.42,643350.0,796.0
01,2020-10-27,5506.0,22563.0,24.4,643350.0,855.8
01,2020-10-28,5842.0,23507.0,24.85,643350.0,908.1
