dep,datetime,P,T,tx_positivite,population,tx_incidence
01,2020-07-01,36.0,2558.0,1.41,643350.0,5.6
01,2020-07-02,31.0,2754.0,1.13,643350.0,4.8
01,2020-07-03,26.0,2944.0,0.88,643350.0,4.0
01,2020-07-04,21.0,2984.0,0.7,643350.0,3.3
01,2020-07-05,21.0,2972.0,0.71,643350.0,3.3
01,2020-07-06,17.0,2975.0,0.57,643350.0,2.6
01,2020-07-07,14.0,2958.0,0.47,643350.0,2.2
01,2020-07-08,14.0,3073.0,0.46,643350.0,2.2
01,2020-07-09,17.0,3195.0,0.53,643350.0,2.6
01,2020-07-10,17.0,3276.0,0.52,643350.0,2.6
01,2020-07-11,16.0,3275.0,0.49,643350.0,2.5
01,2020-07-12,17.0,3277.0,0.52,643350.0,2.6
01,2020-07-13,15.0,3352.0,0.45,643350.0,2.3
01,2020-07-14,10.0,2884.0,0.35,643350.0,1.6
01,2020-07-15,10.0,2974.0,0.34,643350.0,1.6
01,2020-07-16,7.0,2997.0,0.23,643350.0,1.1
01,2020-07-17,10.0,2929.0,0.34,643350.0,1.6
01,2020-07-18,14.0,3007.0,0.47,643350.0,2.2
01,2020-07-19,13.0,3015.0,0.43,643350.0,2.0
01,2020-07-20,16.0,2996.0,0.53,643350.0,2.5
01,2020-07-21,26.0,3588.0,0.72,643350.0,4.0
01,2020-07-22,28.0,3474.0,0.81,643350.0,4.4
01,2020-07-23,34.0,3326.0,1.02,643350.0,5.3
01,2020-07-24,49.0,3256.0,1.5,643350.0,7.6
01,2020-07-25,47.0,3194.0,1.47,643350.0,7.3
01,2020-07-26,49.0,3190.0,1.54,643350.0,7.6
01,2020-07-27,59.0,3306.0,1.78,643350.0,9.2
01,2020-07-28,59.0,3325.0,1.77,643350.0,9.2
01,2020-07-29,61.0,3385.0,1.8,643350.0,9.5
01,2020-07-30,72.0,3578.0,2.01,643350.0,11.2
01,2020-07-31,68.0,3720.0,1.83,643350.0,10.6
01,2020-08-01,71.0,3725.0,1.91,643350.0,11.0
01,2020-08-02,71.0,3745.0,1.9,643350.0,11.0
01,2020-08-03,67.0,3663.0,1.83,643350.0,10.4
01,2020-08-04,71.0,3699.0,1.92,643350.0,11.0
01,2020-08-05,74.0,3722.0,1.99,643350.0,11.5
01,2020-08-06,72.0,3686.0,1.95,643350.0,11.2
01,2020-08-07,64.0,3694.0,1.73,643350.0,9.9
01,2020-08-08,67.0,3693.0,1.81,643350.0,10.4
01,2020-08-09,66.0,3672.0,1.8,643350.0,10.3
01,2020-08-10,79.0,3747.0,2.11,643350.0,12.3
01,2020-08-11,76.0,3698.0,2.06,643350.0,11.8
01,2020-08-12,81.0,3656.0,2.22,643350.0,12.6
01,2020-08-13,82.0,3708.0,2.21,643350.0,12.7
01,2020-08-14,98.0,3732.0,2.63,643350.0,15.2
01,2020-08-15,91.0,3529.0,2.58,643350.0,14.1
01,2020-08-16,90.0,3555.0,2.53,643350.0,14.0
01,2020-08-17,97.0,3824.0,2.54,643350.0,15.1
01,2020-08-18,109.0,4008.0,2.72,643350.0,16.9
01,2020-08-19,121.0,4254.0,2.84,643350.0,18.8
01,2020-08-20,138.0,4446.0,3.1,643350.0,21.5
01,2020-08-21,163.0,4667.0,3.49,643350.0,25.3
01,2020-08-22,179.0,5053.0,3.54,643350.0,27.8
01,2020-08-23,181.0,5068.0,3.57,643350.0,28.1
01,2020-08-24,206.0,5281.0,3.9,643350.0,32.0
01,2020-08-25,221.0,5569.0,3.97,643350.0,34.4
01,2020-08-26,250.0,5824.0,4.29,643350.0,38.9
01,2020-08-27,305.0,6113.0,4.99,643350.0,47.4
01,2020-08-28,315.0,6419.0,4.91,643350.0,49.0
01,2020-08-29,322.0,6614.0,4.87,643350.0,50.1
01,2020-08-30,322.0,6618.0,4.87,643350.0,50.1
01,2020-08-31,367.0,6980.0,5.26,643350.0,57.0
01,2020-09-01,402.0,7188.0,5.59,643350.0,62.5
01,2020-09-02,414.0,7429.0,5.57,643350.0,64.4
01,2020-09-03,428.0,7507.0,5.7,643350.0,66.5
01,2020-09-04,445.0,7664.0,5.81,643350.0,69.2
01,2020-09-05,461.0,7737.0,5.96,643350.0,71.7
01,2020-09-06,462.0,7770.0,5.95,643350.0,71.8
01,2020-09-07,453.0,7915.0,5.72,643350.0,70.4
01,2020-09-08,472.0,8393.0,5.62,643350.0,73.4
01,2020-09-09,471.0,8647.0,5.45,643350.0,73.2
01,2020-09-10,472.0,9203.0,5.13,643350.0,73.4
01,2020-09-11,495.0,9592.0,5.16,643350.0,76.9
01,2020-09-12,498.0,9571.0,5.2,643350.0,77.4
01,2020-09-13,500.0,9559.0,5.23,643350.0,77.7
01,2020-09-14,528.0,10156.0,5.2,643350.0,82.1
01,2020-09-15,590.0,10390.0,5.68,643350.0,91.7
01,2020-09-16,676.0,10720.0,6.31,643350.0,105.1
01,2020-09-17,672.0,10589.0,6.35,643350.0,104.5
01,2020-09-18,675.0,10270.0,6.57,643350.0,104.9
01,2020-09-19,661.0,10075.0,6.56,643350.0,102.7
01,2020-09-20,660.0,10046.0,6.57,643350.0,102.6
01,2020-09-21,671.0,9447.0,7.1,643350.0,104.3
01,2020-09-22,621.0,8969.0,6.92,643350.0,96.5
01,2020-09-23,569.0,8377.0,6.79,643350.0,88.4
01,2020-09-24,554.0,7967.0,6.95,643350.0,86.1
01,2020-09-25,532.0,7791.0,6.83,643350.0,82.7
01,2020-09-26,527.0,7749.0,6.8,643350.0,81.9
02,2020-07-01,16.0,1647.0,0.97,534490.0,3.0
02,2020-07-02,16.0,1735.0,0.92,534490.0,3.0
02,2020-07-03,18.0,1934.0,0.93,534490.0,3.4
02,2020-07-04,20.0,2081.0,0.96,534490.0,3.7
02,2020-07-05,20.0,2074.0,0.96,534490.0,3.7
02,2020-07-06,20.0,2215.0,0.9,534490.0,3.7
02,2020-07-07,21.0,2170.0,0.97,534490.0,3.9
02,2020-07-08,22.0,2151.0,1.02,534490.0,4.1
02,2020-07-09,22.0,2148.0,1.02,534490.0,4.1
02,2020-07-10,24.0,2092.0,1.15,534490.0,4.5
02,2020-07-11,23.0,1971.0,1.17,534490.0,4.3
02,2020-07-12,24.0,1980.0,1.21,534490.0,4.5
02,2020-07-13,24.0,1896.0,1.27,534490.0,4.5
02,2020-07-14,20.0,1536.0,1.3,534490.0,3.7
02,2020-07-15,17.0,1625.0,1.05,534490.0,3.2
02,2020-07-16,14.0,1614.0,0.87,534490.0,2.6
02,2020-07-17,12.0,1604.0,0.75,534490.0,2.2
02,2020-07-18,11.0,1680.0,0.65,534490.0,2.1
02,2020-07-19,10.0,1689.0,0.59,534490.0,1.9
02,2020-07-20,8.0,1773.0,0.45,534490.0,1.5
02,2020-07-21,12.0,2083.0,0.58,534490.0,2.2
02,2020-07-22,19.0,2069.0,0.92,534490.0,3.6
02,2020-07-23,21.0,2056.0,1.02,534490.0,3.9
02,2020-07-24,22.0,2076.0,1.06,534490.0,4.1
02,2020-07-25,23.0,2025.0,1.14,534490.0,4.3
02,2020-07-26,23.0,2020.0,1.14,534490.0,4.3
02,2020-07-27,26.0,2021.0,1.29,534490.0,4.9
02,2020-07-28,26.0,2058.0,1.26,534490.0,4.9
02,2020-07-29,20.0,2104.0,0.95,534490.0,3.7
02,2020-07-30,16.0,2149.0,0.74,534490.0,3.0
02,2020-07-31,14.0,2120.0,0.66,534490.0,2.6
02,2020-08-01,17.0,2123.0,0.8,534490.0,3.2
02,2020-08-02,17.0,2124.0,0.8,534490.0,3.2
02,2020-08-03,26.0,2096.0,1.24,534490.0,4.9
02,2020-08-04,26.0,2083.0,1.25,534490.0,4.9
02,2020-08-05,28.0,2070.0,1.35,534490.0,5.2
02,2020-08-06,29.0,2097.0,1.38,534490.0,5.4
02,2020-08-07,33.0,2058.0,1.6,534490.0,6.2
02,2020-08-08,28.0,2064.0,1.36,534490.0,5.2
02,2020-08-09,29.0,2063.0,1.41,534490.0,5.4
02,2020-08-10,24.0,1996.0,1.2,534490.0,4.5
02,2020-08-11,29.0,1952.0,1.49,534490.0,5.4
02,2020-08-12,32.0,1867.0,1.71,534490.0,6.0
02,2020-08-13,33.0,1861.0,1.77,534490.0,6.2
02,2020-08-14,27.0,1856.0,1.45,534490.0,5.1
02,2020-08-15,27.0,1723.0,1.57,534490.0,5.1
02,2020-08-16,27.0,1720.0,1.57,534490.0,5.1
02,2020-08-17,25.0,1855.0,1.35,534490.0,4.7
02,2020-08-18,25.0,1960.0,1.28,534490.0,4.7
02,2020-08-19,32.0,2233.0,1.43,534490.0,6.0
02,2020-08-20,41.0,2435.0,1.68,534490.0,7.7
02,2020-08-21,54.0,2580.0,2.09,534490.0,10.1
02,2020-08-22,68.0,2802.0,2.43,534490.0,12.7
02,2020-08-23,68.0,2811.0,2.42,534490.0,12.7
02,2020-08-24,70.0,2820.0,2.48,534490.0,13.1
02,2020-08-25,71.0,2792.0,2.54,534490.0,13.3
02,2020-08-26,83.0,2800.0,2.96,534490.0,15.5
02,2020-08-27,87.0,2842.0,3.06,534490.0,16.3
02,2020-08-28,99.0,2902.0,3.41,534490.0,18.5
02,2020-08-29,93.0,2940.0,3.16,534490.0,17.4
02,2020-08-30,92.0,2928.0,3.14,534490.0,17.2
02,2020-08-31,105.0,3093.0,3.39,534490.0,19.6
02,2020-09-01,120.0,3200.0,3.75,534490.0,22.5
02,2020-09-02,111.0,3241.0,3.42,534490.0,20.8
