dep,nb_crib,nb_pos,nb_C1,tx_C1,datetime
01,53.0,433.0,0.0,0.0,2021-06-06
59,1095.0,2946.0,4.0,0.48,2021-06-06
78,721.0,1632.0,4.0,1.37,2021-06-06
87,2.0,227.0,0.0,0.0,2021-06-06
71,204.0,433.0,4.0,4.08,2021-06-06
54,236.0,490.0,0.0,0.0,2021-06-06
32,23.0,129.0,0.0,0.0,2021-06-06
36,70.0,188.0,0.0,0.0,2021-06-06
971,39.0,243.0,0.0,0.0,2021-06-06
23,1.0,24.0,0.0,0.0,2021-06-06
61,108.0,300.0,0.0,0.0,2021-06-06
43,60.0,241.0,0.0,0.0,2021-06-06
48,2.0,30.0,0.0,0.0,2021-06-06
80,260.0,474.0,1.0,0.51,2021-06-06
02,102.0,445.0,0.0,0.0,2021-06-06
976,1.0,34.0,0.0,0.0,2021-06-06
91,634.0,1504.0,13.0,3.47,2021-06-06
72,107.0,533.0,2.0,40.0,2021-06-06
04,15.0,105.0,0.0,0.0,2021-06-06
25,240.0,481.0,0.0,0.0,2021-06-06
09,25.0,71.0,0.0,0.0,2021-06-06
2A,27.0,52.0,0.0,0.0,2021-06-06
11,74.0,240.0,0.0,0.0,2021-06-06
82,10.0,197.0,0.0,0.0,2021-06-06
31,374.0,1395.0,0.0,0.0,2021-06-06
86,169.0,215.0,0.0,0.0,2021-06-06
37,97.0,371.0,2.0,2.44,2021-06-06
15,17.0,71.0,0.0,0.0,2021-06-06
65,31.0,138.0,0.0,0.0,2021-06-06
85,64.0,362.0,0.0,0.0,2021-06-06
14,120.0,484.0,3.0,3.33,2021-06-06
46,10.0,93.0,0.0,0.0,2021-06-06
18,132.0,193.0,0.0,0.0,2021-06-06
27,274.0,664.0,0.0,0.0,2021-06-06
33,110.0,1272.0,1.0,4.0,2021-06-06
60,338.0,835.0,0.0,0.0,2021-06-06
77,595.0,1558.0,2.0,1.18,2021-06-06
38,163.0,790.0,8.0,22.86,2021-06-06
973,428.0,1089.0,0.0,0.0,2021-06-06
75,691.0,2553.0,7.0,2.99,2021-06-06
62,567.0,1406.0,0.0,0.0,2021-06-06
972,19.0,83.0,0.0,0.0,2021-06-06
67,535.0,1188.0,1.0,12.5,2021-06-06
40,10.0,399.0,5.0,83.33,2021-06-06
39,138.0,195.0,0.0,0.0,2021-06-06
29,364.0,576.0,0.0,0.0,2021-06-06
52,23.0,118.0,0.0,0.0,2021-06-06
24,48.0,228.0,0.0,0.0,2021-06-06
50,152.0,427.0,1.0,0.71,2021-06-06
89,197.0,352.0,0.0,0.0,2021-06-06
34,77.0,997.0,0.0,0.0,2021-06-06
