Inscrits,Abstentions,Votants,Blancs,Nuls,Exprimes,codeRegion3d,code_region,lib_region,LE PEN,MACRON,url_libe
5055,1483,3572,78,60,3434,975,ZS,Saint-Pierre-et-Miquelon,1326,2108,
8956,2691,6265,155,147,5963,986,ZW,Wallis et Futuna,1340,4623,
23396,7058,16338,491,357,15490,977,ZX,Saint-Martin/Saint-Barthélemy,5428,10062,
91583,27354,64229,1937,1304,60988,976,ZM,Mayotte,26246,34742,
102733,30394,72339,2211,1420,68708,973,ZC,Guyane,24139,44569,
195995,58720,137275,4264,2813,130198,987,ZP,Polynésie française,53937,76261,
222484,66727,155757,4669,3088,148000,988,ZN,Nouvelle-Calédonie,70224,77776,
240587,72222,168365,5185,3298,159882,094,94,Corse,77660,82222,
306676,92517,214159,6503,4280,203376,002,ZB,Martinique,45611,157765,
316865,94819,222046,6914,4231,210901,001,ZA,Guadeloupe,52090,158811,
670621,200926,469695,14128,9335,446232,974,ZD,La Réunion,176692,269540,
1331538,408194,923344,26491,19597,877256,099,ZZ,Français établis hors de France,89534,787722,
1818002,545430,1272572,38328,25342,1208902,024,24,Centre-Val de Loire,442347,766555,
1961152,587890,1373262,41120,27438,1304704,027,27,Bourgogne-Franche-Comté,515030,789674,
2383937,714071,1669866,50072,33363,1586431,028,28,Normandie,603958,982473,
2503043,752706,1750337,52765,35104,1662468,053,53,Bretagne,411607,1250861,
2796192,839669,1956523,59128,39055,1858340,052,52,Pays de la Loire,513162,1345178,
3588943,1077296,2511647,75122,50391,2386134,093,93,Provence-Alpes-Côte d'Azur,1062032,1324102,
3834945,1150866,2684079,80151,53759,2550169,044,44,Grand Est,1070473,1479696,
4230980,1269134,2961846,89059,59525,2813262,032,32,Hauts-de-France,1322228,1491034,
4249700,1274601,2975099,88928,59331,2826840,076,76,Occitanie,1048066,1778774,
4355568,1306622,3048946,91446,60576,2896924,075,75,Nouvelle-Aquitaine,908019,1988905,
5406060,1622859,3783201,113578,75524,3594099,084,84,Auvergne-Rhône-Alpes,1183285,2410814,
7269028,2182588,5086440,151691,101507,4833242,011,11,Île-de-France,1040814,3792428,
