Inscrits,Abstentions,Votants,Blancs,Nuls,Exprimes,codeRegion3d,code_region,lib_region,ARTHAUD,DUPONT-AIGNAN,HIDALGO,JADOT,LASSALLE,LE PEN,MACRON,MÉLENCHON,POUTOU,PÉCRESSE,ROUSSEL,ZEMMOUR,url_libe
5045,2272,2773,47,25,2701,975,ZS,Saint-Pierre-et-Miquelon,22,82,75,116,108,459,534,1105,50,51,19,80,
9528,4125,5403,27,17,5359,986,ZW,Wallis et Futuna,98,244,118,72,78,579,2115,501,48,1354,34,118,
24414,15812,8602,150,84,8368,977,ZX,Saint-Martin/Saint-Barthélemy,41,339,92,247,208,1445,2070,2354,63,354,48,1107,
92187,55024,37163,922,1191,35050,976,ZM,Mayotte,430,530,318,295,359,14958,5936,8398,328,2810,206,482,
102993,65754,37239,825,553,35861,973,ZC,Guyane,297,717,535,940,516,6334,5101,18143,462,997,246,1573,
205576,142121,63455,1490,1935,60030,987,ZP,Polynésie française,808,1969,865,2150,610,11705,24106,7990,451,4725,368,4283,
218773,145807,72966,1777,689,70500,988,ZN,Nouvelle-Calédonie,565,2697,963,2161,1031,13273,28561,9711,560,4144,399,6435,
243032,90629,152403,2593,2438,147372,094,94,Corse,454,2589,1583,4786,15330,42137,26705,19698,1370,9327,4537,18856,
304594,174588,130006,4001,3056,122949,002,ZB,Martinique,1447,2989,3935,1978,1162,16495,20043,65292,977,4731,747,3153,
316023,174592,141431,2719,3627,135085,001,ZA,Guadeloupe,1084,2114,2266,1927,1033,24204,18137,75862,713,3979,668,3098,
675539,313159,362380,7361,8253,346766,974,ZD,La Réunion,3538,8338,5549,7994,4844,85770,62542,139604,2705,9738,3074,13070,
1435746,931455,504291,3193,2147,498951,099,ZZ,Français établis hors de France,1300,7074,12489,40774,5964,26380,224957,109394,3145,20956,3266,43252,
1837328,459528,1377800,23216,9311,1345273,024,24,Centre-Val de Loire,9256,31759,23162,54401,38659,347845,383851,251259,11226,71690,33590,88575,
1992409,456682,1535727,26392,11621,1497714,027,27,Bourgogne-Franche-Comté,10643,38691,26543,60235,49557,409643,394119,277901,12738,76655,33932,107057,
2413749,590804,1822945,28947,10533,1783465,028,28,Normandie,12839,38560,30235,73269,45488,484106,521769,335590,16005,79800,46358,99446,
2562061,543414,2018647,31884,13245,1973518,053,53,Bretagne,12965,35116,43596,122198,58653,385393,647172,407527,19913,92808,51193,96984,
2832949,652018,2180931,38934,14554,2127443,052,52,Pays de la Loire,13853,44215,43291,127935,54592,442025,707890,408969,18441,106786,45058,114388,
3663871,959575,2704296,35917,15471,2652908,093,93,Provence-Alpes-Côte d'Azur,9457,60186,29501,107625,72830,732078,619272,524211,16219,116094,54718,310717,
3862920,1008344,2854576,42255,18647,2793674,044,44,Grand Est,18655,74916,40030,111953,77439,825196,762241,492408,22241,120917,47422,200256,
4255350,1146209,3109141,42945,24270,3041926,032,32,Hauts-de-France,20943,55386,40814,95164,62487,1014182,772619,577487,21125,107527,94776,179416,
4323929,940541,3383388,47891,24876,3310621,076,76,Occitanie,14875,63243,77124,139122,184956,815338,777444,741948,23891,129101,83452,260127,
4463041,962499,3500542,53440,27129,3419973,075,75,Nouvelle-Aquitaine,18494,67645,77306,151714,201726,779699,945122,681218,32597,157205,96771,210476,
5557535,1228490,4329045,70067,25512,4233466,084,84,Auvergne-Rhône-Alpes,23136,98446,77566,224710,136414,943122,1174972,897349,30586,217881,96403,312881,
7349284,1760727,5588557,76616,27967,5483974,011,11,Île-de-France,21894,87331,78522,296087,87343,711462,1655780,1658601,33050,339371,105137,409396,
