Inscrits,Abstentions,Votants,Blancs,Nuls,Exprimes,codeRegion3d,code_region,lib_region,LE PEN,MACRON,url_libe,Voix_Lepen_2017,Score_Lepen_2017
5043,2164,2879,219,139,2521,975,ZS,Saint-Pierre-et-Miquelon,1278,1243,,851,36.71
9514,3674,5840,82,79,5679,986,ZW,Wallis et Futuna,1849,3830,,1243,20.86
24435,15107,9328,471,220,8637,977,ZX,Saint-Martin/Saint-Barthélemy,4787,3850,,2840,34.97
92421,50380,42041,1595,2045,38401,976,ZM,Mayotte,22694,15707,,14374,42.89
103058,62970,40088,3064,1217,35807,973,ZC,Guyane,21734,14073,,11777,35.11
205633,118714,86919,2398,1718,82803,987,ZP,Polynésie française,39913,42890,,37319,41.61
218713,142592,76121,3037,1332,71752,988,ZN,Nouvelle-Calédonie,27958,43794,,43217,47.43
243009,95108,147901,9357,4701,133843,094,94,Corse,77732,56111,,62982,48.52
304670,166201,138469,11198,7353,119918,002,ZB,Martinique,73000,46918,,30195,22.45
315941,166884,149057,8511,8211,132335,001,ZA,Guadeloupe,92106,40229,,33310,24.87
676058,274522,401536,20485,16760,364291,974,ZD,La Réunion,217021,147270,,139917,39.75
1427918,876432,551486,15292,3490,532704,099,ZZ,Français établis hors de France,73830,458874,,59415,10.69
1837659,464338,1373321,89537,31967,1251817,024,24,Centre-Val de Loire,545289,706528,,450750,36.68
1992678,501648,1491030,101415,38059,1351556,027,27,Bourgogne-Franche-Comté,636969,714587,,532935,39.52
2414346,583686,1830660,115712,37828,1677120,028,28,Normandie,740571,936549,,621472,38.04
2562764,566267,1996497,142749,47891,1805857,053,53,Bretagne,603518,1202339,,425462,24.64
2833690,668962,2164728,143998,46441,1974289,052,52,Pays de la Loire,692633,1281656,,514273,27.58
3664766,1008065,2656701,155048,49662,2451991,093,93,Provence-Alpes-Côte d'Azur,1237813,1214178,,1049116,44.53
3863947,1016665,2847282,158579,52654,2636049,044,44,Grand Est,1263526,1372523,,1089356,42.06
4256410,1136530,3119880,160590,67409,2891881,032,32,Hauts-de-France,1507786,1384095,,1331169,47.06
4324604,1072829,3251775,238115,96158,2917502,076,76,Occitanie,1343130,1574372,,1033853,37.01
4462864,1079367,3383497,249946,102338,3031213,075,75,Nouvelle-Aquitaine,1263134,1768079,,918237,31.35
5559225,1422921,4136304,276921,88599,3770784,084,84,Auvergne-Rhône-Alpes,1517277,2253507,,1200726,32.87
7353134,2160083,5193051,319725,84675,4788651,011,11,Île-de-France,1292212,3496439,,1033686,21.27
