Pays,vaccination_septembre,morts_par_million_depuis_septembre,morts_depuis_septembre,iso_code,continent,location,total_deaths,total_deaths_per_million,people_vaccinated,population,aged_70_older,excess_mortality_cumulative_per_million,morts_vague_3
Autriche,61.12,80.7,730.0,AUT,Europe,Austria,11419.0,1262.735,5941752.0,9043072.0,13.748,,225.8
Belgique,72.67,64.6,751.0,BEL,Europe,Belgium,26105.0,2244.176,8726966.0,11632334.0,12.849,,247.4
Bulgarie,20.41,895.8,6178.0,BGR,Europe,Bulgaria,24755.0,3589.421,,6896655.0,13.272,,1088.8
Croatie,42.4,285.7,1166.0,HRV,Europe,Croatia,9364.0,2294.166,1930471.0,4081657.0,13.052999999999999,,612.5
Chypre,64.26,74.8,67.0,CYP,Europe,Cyprus,576.0,642.854,606482.0,896005.0,8.562999999999999,,144.0
République tchèque,55.63,57.6,618.0,CZE,Europe,Czechia,30878.0,2879.188,6294763.0,10724553.0,11.58,,910.9
Danemark,75.72,27.0,157.0,DNK,Europe,Denmark,2727.0,469.097,4487996.0,5813302.0,12.325,,26.7
Estonie,54.95,240.0,318.0,EST,Europe,Estonia,1574.0,1187.756,804204.0,1325188.0,13.491,,500.3
Finlande,72.64,28.7,159.0,FIN,Europe,Finland,1184.0,213.396,4237336.0,5548361.0,13.264000000000001,,38.6
France,72.25,58.3,3940.0,FRA,Europe,France,118804.0,1758.386,51321440.0,67564251.0,13.079,,342.1
Allemagne,65.07,51.7,4334.0,DEU,Europe,Germany,96351.0,1148.396,57890234.0,83900471.0,15.957,,219.9
Grèce,58.62,251.1,2604.0,GRC,Europe,Greece,16151.0,1557.361,6679800.0,10370747.0,14.524000000000001,,539.1
Hongrie,60.01,116.9,1126.0,HUN,Europe,Hungary,31101.0,3228.2,5967747.0,9634162.0,11.975999999999999,,1531.9
Islande,81.4,2.9,1.0,ISL,Europe,Iceland,34.0,99.021,283301.0,343360.0,9.207,,2.9
Irlande,74.41,80.3,400.0,IRL,Europe,Ireland,5492.0,1102.1689999999999,3821486.0,4982904.0,8.677999999999999,,124.8
Italie,70.98,52.5,3170.0,ITA,Europe,Italy,132283.0,2191.2960000000003,46697806.0,60367471.0,16.24,,470.9
Lettonie,44.44,493.3,921.0,LVA,Europe,Latvia,3401.0,1821.703,1189593.0,1866934.0,14.136,,406.0
Lituanie,61.88,576.2,1550.0,LTU,Europe,Lithuania,6010.0,2234.315,1818818.0,2689862.0,13.777999999999999,,379.9
Luxembourg,64.79,29.9,19.0,LUX,Europe,Luxembourg,849.0,1337.4,,634814.0,9.842,,280.4
Malte,80.51,40.8,21.0,MLT,Europe,Malta,462.0,897.847,431537.0,514564.0,11.324000000000002,,202.1
Pays-Bas,73.53,37.0,635.0,NLD,Europe,Netherlands,18937.0,1102.713,,17173094.0,11.880999999999998,,128.6
Norvège,71.19,19.8,108.0,NOR,Europe,Norway,920.0,168.325,4210216.0,5465629.0,10.812999999999999,,29.5
Pologne,51.08,63.8,2412.0,POL,Europe,Poland,77395.0,2047.649,20306537.0,37797000.0,10.202,,793.1
Portugal,85.5,45.2,460.0,PRT,Europe,Portugal,18184.0,1788.369,,10167923.0,14.924000000000001,,69.6
Roumanie,27.47,846.2,16185.0,ROU,Europe,Romania,49604.0,2593.297,,19127772.0,11.69,,520.8
Slovaquie,43.92,124.7,681.0,SVK,Europe,Slovakia,13146.0,2407.3720000000003,2513532.0,5460726.0,9.167,,943.8
Slovénie,49.37,182.8,380.0,SVN,Europe,Slovenia,4793.0,2305.743,1192993.0,2078723.0,12.93,,259.3
Espagne,78.33,67.7,3164.0,ESP,Europe,Spain,87477.0,1871.3570000000002,38083061.0,46745211.0,13.799000000000001,,231.3
Suède,68.59,35.9,365.0,SWE,Europe,Sweden,15050.0,1481.276,7261439.0,10160159.0,13.433,,159.9
Suisse,57.85,43.0,375.0,CHE,Europe,Switzerland,11265.0,1292.526,5739121.0,8715494.0,12.644,,79.9
Royaume-Uni,70.57,137.5,9377.0,GBR,Europe,United Kingdom,141826.0,2079.343,50156656.0,68207114.0,12.527000000000001,,72.7
