dep,datetime,P,T
01,2021-08-01,262.0,6055.0
01,2021-08-02,252.0,6236.0
01,2021-08-03,251.0,6230.0
01,2021-08-04,257.0,6279.0
01,2021-08-05,262.0,6218.0
01,2021-08-06,254.0,5965.0
01,2021-08-07,255.0,5833.0
01,2021-08-08,258.0,5834.0
01,2021-08-09,279.0,5772.0
01,2021-08-10,293.0,5824.0
01,2021-08-11,306.0,5796.0
01,2021-08-12,314.0,5744.0
01,2021-08-13,320.0,5655.0
01,2021-08-14,327.0,5663.0
01,2021-08-15,323.0,5667.0
01,2021-08-16,314.0,5544.0
01,2021-08-17,316.0,5448.0
01,2021-08-18,314.0,5287.0
01,2021-08-19,295.0,5164.0
01,2021-08-20,273.0,5030.0
01,2021-08-21,261.0,4849.0
01,2021-08-22,263.0,4832.0
01,2021-08-23,273.0,4673.0
01,2021-08-24,250.0,4528.0
01,2021-08-25,235.0,4492.0
01,2021-08-26,219.0,4386.0
01,2021-08-27,221.0,4246.0
01,2021-08-28,225.0,4110.0
01,2021-08-29,225.0,4048.0
01,2021-08-30,204.0,3931.0
01,2021-08-31,197.0,3845.0
01,2021-09-01,205.0,3717.0
01,2021-09-02,217.0,3528.0
01,2021-09-03,203.0,3291.0
01,2021-09-04,200.0,3306.0
01,2021-09-05,197.0,3319.0
01,2021-09-06,189.0,3195.0
01,2021-09-07,202.0,3297.0
01,2021-09-08,195.0,3484.0
01,2021-09-09,174.0,3868.0
01,2021-09-10,179.0,4400.0
01,2021-09-11,176.0,4538.0
01,2021-09-12,177.0,4533.0
01,2021-09-13,177.0,4924.0
01,2021-09-14,163.0,5393.0
01,2021-09-15,145.0,5665.0
01,2021-09-16,152.0,5664.0
01,2021-09-17,139.0,6057.0
01,2021-09-18,135.0,5997.0
02,2021-08-01,104.0,3151.0
02,2021-08-02,116.0,3154.0
02,2021-08-03,126.0,3192.0
02,2021-08-04,129.0,3169.0
02,2021-08-05,133.0,3181.0
02,2021-08-06,130.0,3042.0
02,2021-08-07,133.0,2978.0
02,2021-08-08,135.0,2997.0
02,2021-08-09,132.0,3092.0
02,2021-08-10,138.0,3222.0
02,2021-08-11,139.0,3327.0
02,2021-08-12,134.0,3402.0
02,2021-08-13,128.0,3478.0
02,2021-08-14,143.0,3643.0
02,2021-08-15,142.0,3621.0
02,2021-08-16,146.0,3670.0
02,2021-08-17,150.0,3543.0
02,2021-08-18,154.0,3491.0
02,2021-08-19,152.0,3423.0
02,2021-08-20,152.0,3375.0
02,2021-08-21,130.0,3158.0
02,2021-08-22,127.0,3159.0
02,2021-08-23,116.0,2955.0
02,2021-08-24,112.0,2987.0
02,2021-08-25,106.0,2925.0
02,2021-08-26,109.0,2804.0
02,2021-08-27,117.0,2825.0
02,2021-08-28,124.0,2874.0
02,2021-08-29,127.0,2833.0
02,2021-08-30,120.0,2755.0
02,2021-08-31,99.0,2551.0
02,2021-09-01,91.0,2455.0
02,2021-09-02,84.0,2354.0
02,2021-09-03,71.0,2135.0
02,2021-09-04,55.0,2054.0
02,2021-09-05,52.0,2070.0
02,2021-09-06,53.0,1991.0
02,2021-09-07,52.0,2061.0
02,2021-09-08,52.0,2055.0
02,2021-09-09,50.0,2111.0
02,2021-09-10,53.0,2128.0
02,2021-09-11,53.0,2115.0
02,2021-09-12,55.0,2129.0
02,2021-09-13,45.0,2866.0
02,2021-09-14,50.0,3477.0
02,2021-09-15,50.0,3584.0
02,2021-09-16,49.0,4344.0
02,2021-09-17,43.0,5042.0
02,2021-09-18,46.0,5064.0
03,2021-08-01,74.0,1764.0
03,2021-08-02,75.0,1785.0
03,2021-08-03,67.0,1727.0
03,2021-08-04,67.0,1713.0
03,2021-08-05,71.0,1694.0
03,2021-08-06,70.0,1663.0
03,2021-08-07,68.0,1654.0
03,2021-08-08,69.0,1674.0
03,2021-08-09,72.0,1754.0
03,2021-08-10,80.0,1827.0
03,2021-08-11,82.0,1828.0
03,2021-08-12,80.0,1910.0
03,2021-08-13,83.0,1950.0
03,2021-08-14,81.0,2001.0
03,2021-08-15,81.0,2005.0
03,2021-08-16,75.0,2009.0
03,2021-08-17,66.0,1999.0
03,2021-08-18,66.0,1982.0
03,2021-08-19,66.0,1964.0
03,2021-08-20,64.0,1952.0
03,2021-08-21,66.0,1896.0
03,2021-08-22,65.0,1885.0
03,2021-08-23,73.0,1846.0
03,2021-08-24,72.0,1792.0
03,2021-08-25,66.0,1780.0
03,2021-08-26,59.0,1675.0
03,2021-08-27,60.0,1541.0
03,2021-08-28,54.0,1492.0
03,2021-08-29,54.0,1480.0
03,2021-08-30,42.0,1401.0
03,2021-08-31,43.0,1352.0
03,2021-09-01,45.0,1286.0
03,2021-09-02,47.0,1290.0
03,2021-09-03,43.0,1242.0
03,2021-09-04,45.0,1229.0
03,2021-09-05,46.0,1231.0
03,2021-09-06,44.0,1159.0
03,2021-09-07,41.0,1158.0
03,2021-09-08,37.0,1183.0
03,2021-09-09,42.0,1188.0
03,2021-09-10,44.0,1252.0
03,2021-09-11,48.0,1293.0
03,2021-09-12,47.0,1287.0
03,2021-09-13,46.0,1378.0
03,2021-09-14,51.0,2368.0
03,2021-09-15,49.0,2595.0
03,2021-09-16,38.0,2583.0
