,1,10,2,3,4,5,6,7,8,9,abstentions,code_insee,exprimes,inscrits,ville,votants,popTotale,taux65Plus,TauxOuvriers,TauxAgricuteurs,TauxCadres,TauxRetraites,TauxChomage
97,228,10717,898,3593,811,139,205,61,756,143,15393,971101,17551,34547,Les Abymes,19154,57960.0,14.4,11.7,0.3,2.9,15.9,32.1
98,16,1124,62,492,64,14,7,4,56,10,2890,971102,1849,4832,Anse-Bertrand,1942,5114.0,21.3,10.0,1.6,1.4,25.3,29.0
99,146,5839,584,2645,646,107,111,37,665,113,7881,971103,10893,19599,Baie-Mahault,11718,30015.0,9.5,10.0,0.2,8.4,11.5,20.6
100,23,1375,126,772,83,20,12,14,94,13,1977,971104,2532,4733,Baillif,2756,5479.0,19.8,8.5,1.8,3.6,18.7,31.3
101,66,2467,217,1443,229,46,39,11,194,37,3937,971105,4749,9142,Basse-Terre,5205,11150.0,15.8,10.0,0.5,2.2,17.5,40.6
102,63,1727,110,474,125,22,29,7,119,23,3330,971106,2699,6257,Bouillante,2927,7446.0,17.5,11.8,0.4,2.3,21.3,32.7
103,71,4080,451,1889,333,55,87,17,263,39,7005,971107,7285,14879,Capesterre-Belle-Eau,7874,19201.0,16.9,13.5,1.4,2.5,19.4,35.7
104,19,611,43,351,56,6,9,7,24,14,2099,971108,1140,3368,Capesterre-de-Marie-Galante,1269,3309.0,22.2,10.7,3.1,1.9,27.0,26.1
105,63,1300,137,785,169,28,23,14,173,30,2383,971109,2722,5404,Gourbeyre,3021,7786.0,15.6,11.4,0.1,5.8,19.4,28.2
106,9,344,55,143,25,9,6,0,32,6,938,971110,629,1586,La Désirade,648,1510.0,20.0,11.2,5.1,1.6,24.4,38.7
107,24,1199,74,335,114,21,10,4,91,17,1751,971111,1889,3747,Deshaies,1996,4185.0,18.6,11.2,1.6,3.7,22.3,27.6
108,27,1030,88,414,136,9,13,9,63,13,3145,971112,1802,5111,Grand-Bourg,1966,5376.0,19.6,10.3,4.0,3.1,21.4,27.9
109,196,4797,541,2632,589,88,86,35,581,95,8754,971113,9640,19104,Le Gosier,10350,26900.0,15.3,9.0,0.3,8.6,17.1,22.5
110,40,1247,146,458,127,20,21,8,94,14,2356,971114,2175,4709,Goyave,2353,7845.0,11.2,10.8,0.7,5.5,12.9,31.4
111,73,3190,263,937,557,46,44,17,272,40,5828,971115,5439,11632,Lamentin,5804,15897.0,13.3,12.5,0.6,5.2,15.6,27.2
112,57,4116,222,989,240,39,62,18,244,53,6623,971116,6040,13064,Morne-à-l'Eau,6441,17046.0,17.3,11.3,1.0,2.3,20.5,27.0
113,114,5078,475,1617,385,53,68,26,376,85,7705,971117,8277,16746,Le Moule,9041,22456.0,15.7,10.9,2.0,3.8,18.1,29.8
114,155,3971,400,1834,483,67,55,19,427,81,8094,971118,7492,16041,Petit-Bourg,7947,24039.0,12.4,10.0,0.5,9.5,14.7,23.2
115,20,1687,127,582,109,16,21,7,130,23,2999,971119,2722,5937,Petit-Canal,2938,8057.0,15.7,13.7,3.9,2.6,16.2,26.8
116,114,3835,349,1811,393,50,90,19,318,52,6109,971120,7031,13672,Pointe-à-Pitre,7563,15826.0,17.5,11.6,0.3,3.4,18.8,37.0
117,45,1938,133,553,122,20,24,10,101,26,3722,971121,2972,6950,Pointe-Noire,3228,6594.0,20.7,11.9,0.3,2.3,21.3,38.3
118,16,1373,81,250,109,12,19,8,80,17,2848,971122,1965,4938,Port-Louis,2090,5751.0,16.9,12.8,1.7,3.2,18.3,36.2
119,102,2234,247,1280,273,32,27,16,285,36,3157,971124,4532,7958,Saint-Claude,4801,10443.0,16.3,7.4,1.0,8.9,18.7,19.6
120,101,2838,446,1732,345,44,48,13,282,60,4021,971125,5909,10336,Saint-François,6315,14780.0,13.5,10.1,2.3,4.8,16.5,29.1
121,15,671,25,187,26,6,6,5,28,9,1859,971126,978,2923,Saint-Louis,1064,2488.0,24.6,13.1,7.2,1.7,24.8,27.6
122,108,4469,423,2100,490,73,77,14,378,71,9077,971128,8203,17917,Sainte-Anne,8840,24653.0,15.0,11.2,0.9,3.9,17.6,30.9
123,90,4036,371,1245,371,45,61,16,382,57,6992,971129,6674,14156,Sainte-Rose,7164,20144.0,13.9,13.2,1.2,3.0,16.4,34.5
124,4,338,20,66,8,3,1,0,19,6,1181,971130,465,1652,Terre-de-Bas,471,1093.0,30.7,8.6,4.5,1.0,32.1,34.4
125,15,290,41,355,27,8,4,2,21,10,894,971131,773,1690,Terre-de-Haut,796,1715.0,19.4,12.7,2.2,2.9,18.4,16.4
126,54,2084,219,1024,189,27,40,15,161,26,2914,971132,3839,7083,Trois-Rivières,4169,8578.0,19.3,10.2,1.7,4.9,20.8,27.2
127,17,543,20,136,44,7,10,1,43,5,644,971133,826,1514,Vieux-Fort,870,1858.0,15.6,10.9,0.5,7.9,15.4,29.9
128,43,2187,92,849,128,19,20,7,109,13,3079,971134,3467,6881,Vieux-Habitants,3802,7425.0,18.7,12.5,1.1,1.7,22.2,37.0
129,4,408,38,175,17,16,8,1,46,4,735,972201,717,1513,L'Ajoupa-Bouillon,778,1830.0,19.5,19.5,0.7,0.7,23.5,31.8
130,37,912,50,310,103,17,12,6,83,18,1879,972202,1548,3499,Les Anses-d'Arlet,1620,3929.0,17.2,12.1,3.0,3.4,19.0,28.2
