Région,Département,Commune,Nom du festival,Début,Fin,Genre,Site web,Téléphone,,Texte,"Lon,Lat",Nom,Fonction,Citation
Auvergne-Rhône-Alpes,Rhône,Lyon,Magique ,15/04/2022,05/03/2023,Autres,m.museedesconfluences.fr/,04 28 38 12 12,,"La magie du monde est exposée au musée des Confluences avec son lot de sorcières, chamans ou encore guérisseurs. Le pouvoir de guérir mais aussi d'envoûter se dévoile à travers un parcours imaginé comme une balade dans une forêt mystérieuse. ","4.7718489,45.707486",,,
Auvergne-Rhône-Alpes,Haute-Savoie,Le Grand-Bornand ,Au bonheur des mômes ,21/08/2022,26/08/2022,Autres,aubonheurdesmomes.com,04 50 02 78 00,"Contact presse
Julien-Gabriel PERBELLINITél. 00 33 (0)4 50 02 78 05 / 00 33 (0)6 28 42 66 23
E-mail : jgperbellini@legrandbornand.comLe Grand-Bornand Tourisme
Tel : 04 50 02 78 05 /  00 33 (0)6 28 42 66 23","Le rendez-vous du spectacle vivant jeune public organise sa programmation autour de son anniversaire puisqu'il fête cette année ses 30 ans. Pas moins de 87 compagnies dont 17 internationales et 111 spectacles sont prévus. Geometria, de la compagnie Roseland Musical, est un spectacle de danse contemporaine pas comme les autres puisqu'il faut des lunettes 3D pour en profiter. Quant à Aldebert, il présente son Enfantillages 4.","6.403552,45.9202439",,,
Auvergne-Rhône-Alpes,Haute-Savoie,Chamonix ,Cosmo Jazz,23/07/2022,30/07/2022,Musique,https://cosmojazzfestival.com/,,,"Le jazz s'installe en montagne. Des concerts gratuits sont prévus en altitude en matinée, puis une programmation payante prend le relais l'après-midi au parc Montet. Avec Ana Carla Maza, Kellylee Evans, Derya Yildirim, Black Sea Dahu, Thibault Cauvin, Louis Winsberg ""Jaleo"", Roberto Fonseca trio, Christian Sands, Cuareim Quartet, André Manoukian Quartet, Sylvain Rifflet, Anne Paceo et Avishai Cohen.","6.789014,45.9295043",,,
Auvergne-Rhône-Alpes,Haute-Savoie,Chamonix,Chamonix film festival,14/06/2022,19/06/2022,Cinéma,chamonixfilmfestival.fr,,,"La sélection dévoile 34 films internationaux sur le thème de la montagne avec dix pays représentés. Basalt Island de Benoît Regord & Albéric Lemercier nous eùmmène en compagnie de grimpeurs sur l’île de la Réunion. Sur les traces de Lucy Walker, est un documentaire de Michaël Rouzeau et Gaëlle May qui revient sur l’ascension du Cervin par Lucy Walker, première femme à réaliser cet exploit. 150 ans après,  Marie-France Hendrikx, historienne décide d’enquêter sur cette pionière de l’alpinisme et se lance dans l’ascension dans les mêmes conditions, même la tenue d’époque : une jupe. ","6.8590568,45.9295685",,,
Auvergne-Rhône-Alpes,Isère,Grenoble,Festival du film court en plein air ,28/06/2022,02/07/2022,Cinéma,cinemathequedegrenoble.fr,04 76 54 43 51,,"La fiction, le documentaire et l’expérimental se côtoient dans la sélection des films en compétition. Les ""belles échappées"" sont le fil rouge de cette édition : féminisme, nature, politique, action et passion. Les projections ont lieu en salle au cinéma Juliet Berto et en plein air au jardin de ville. Pour le 45è anniversaire, le parrain est le réalisateur Nicolas Pariser, dont les premiers courts furent projétés au festival. ","5.6780039,45.154005",,,
Auvergne-Rhône-Alpes,Ardèche,Lussas,Etats généraux du film documentaire ,21/08/2022,27/08/2022,Cinéma,lussasdoc.org,,,"La sélection ""Route du doc"" est consacrée au Japon contemporain, en collaboration avec le festival de Yamagata. La catégorie ""Histoire de doc"" prévoit la projection d'oeuvres invitant à parcourir l’histoire du documentaire à Cuba, principalement des années 60 avec une programmation qui s’étend de 1955 à 1974. Les projections concernent des films parmi les plus connus comme ceux de Santiago Alvarez aux plus confidentiels de Nicolás Guillén Landrián et Sara Gomez. Cette catégorie est en partenariat avec l'Institut cubain des arts et de l'industrie cinématographiques et l'INA. ""Fragment d’une œuvre"" est dédié à celle du réalisateur italien Mauro Santini.","4.427377,44.593637",,,
Auvergne-Rhône-Alpes,Rhône,Lyon,Les nuits de Fourvière ,02/06/2022,30/07/2022,Théâtre / Arts de la rue / Cirque,nuitsdefourviere.com,,,"Théâtre, cirque, musique et danse ponctuent le festival. Le groupe acrobatique de Tanger présente FIQ ! (Réveille-toi), une création qui mêle acrobates, voltigeurs, footfreestylers et breakdancers. Les costumes et le décor sont pensés par le photographe marocain Hassan Hajjaj. Le chorégraphe Benjamin Millepied s'approprie le ballet de Prokofiev Roméo et Juliette avec ses danseurs et danseuses du L.A. Dance Project.","4.7718489,45.707486",,,
Auvergne-Rhône-Alpes,Savoie,Chamonix-Mont-Blanc,Rencontres littéraires en Savoie Mont Blanc,10/06/2022,12/06/2022,Littérature,fondation-facim.fr,04 79 60 59 00,04 79 96 73 29,"Cinq auteurs et autrices rythment les animations du festival. Philippe Claudel présente son ouvrage De quelques frontières. Nicolas de Crécy, Marie Richeux, Clara Ysé, et  Lou Kanche en résidence sont aussi de la partie pour une édition autour des notions de frontière, de la transmission, de l'héritage. La table ronde interroge sur le passage tel qu'il existe dans leurs oeuvres : d’un territoire à l’autre, d’une génération à la suivante, du texte à l’image etc. Les différents talents des invités permettent aussi un concert de Clara Ysé en ouverture et la projection de Tous les Soleils de Philippe Claudel en clôture. A noter la présence d'une librairie éphémère le temps des festivités. ","6.9092303,45.9514117",,,
Auvergne-Rhône-Alpes,Drôme,Grignan ,Festival de la correspondance ,05/07/2022,09/07/2022,Littérature,grignan-festivalcorrespondance.com,04 75 53 63 21,Tél. : 04 75 46 55 83 /  07 70 48 34 17,"La manifestation se consacre cette année aux lettres d'humour. Des lectures de correspondances mises en scène sont proposées chaque jour. Les festivités s'ouvrent avec celles de Philippe Claudel et Éric-Emmanuel Schmitt en posant la question « qu’est-ce qui te fait rire ? » ; la soirée se poursuit pour décourvrir « Dialogue de joyeuses ogresses », des missives entre Colette et Marguerite Moreno. Lettres contemporaines ou plus lointaines, réelles ou inventées, le programme épistolaire est riche. ""Amusez-vous le moins mal que vous pourrez"" nous disent Voltaire et Madame du Deffand tandis que le ""Je me suis bien amusé. Au revoir et merci"" de Romain Gary ferme la marche.
","4.854393,44.395624",,,
Auvergne-Rhône-Alpes,Haute-Loire,"Le Chambon-sur-lignon, Devesset et Saint-Agrève",Lectures sous l'arbre ,14/08/2022,20/08/2022,Littérature,lectures-sous-larbre.com/,04 75 30 65 06,,"Pendant une semaine, la poésie et la littérature se mêlent avec des lectures, des rencontres d'auteurs et des débats. Les Etats-Unis sont particulièrement à l'honneur cette année avec la balade-lecture ""Sur la piste indienne"" par la comédienne Julie Moulier autour de Contes des Indiens d’Amérique du Nord de Stith Thompson, et ""On the road"" par la comédienne Fany Buy autour de Sur la route de Jack Kerouac. Côté rencontre Thomas Grillot, historien, chercheur au CNRS présente ""L’Indien dans le texte : lire les autobiographies amérindiennes"" et Alice Jacquelin, docteure et chercheuse en littérature populaire ""Le polar rural étasunien contemporain : autour de Daniel Woodrell, Chris Offutt et Ron Rash"". Une lecture bilingue de Mississippi solo et Le Mississippi dans la peau d'Eddy L. Harris en sa présence fait également partie du programme. 
","4.3675494197085,45.0478123197085",,,
