Région,Département,Commune,Nom du festival,Début,Fin,Genre,Site web,Téléphone,,Texte,"Lon,Lat",Nom,Fonction,Citation
Auvergne-Rhône-Alpes,Rhône,Lyon,Magique ,15/04/2022,05/03/2023,Autres,m.museedesconfluences.fr/,04 28 38 12 12,,"La magie du monde est exposée dans l'établissement avec son lot de sorcières, chamans ou encore guérisseurs. Le pouvoir de guérir mais aussi d'envoûter se dévoile à travers un parcours imaginé comme une balade dans une forêt mystérieuse. ","4.7718489,45.707486",,,
Auvergne-Rhône-Alpes,Haute-Savoie,Le Grand-Bornand ,Au bonheur des mômes ,21/08/2022,26/08/2022,Autres,aubonheurdesmomes.com,,"Contact presse
Julien-Gabriel PERBELLINITél. 00 33 (0)4 50 02 78 05 / 00 33 (0)6 28 42 66 23
E-mail : jgperbellini@legrandbornand.comLe Grand-Bornand Tourisme
Tel : 04 50 02 78 05 /  00 33 (0)6 28 42 66 23","Le rendez-vous du spectacle vivant jeune public organise sa programmation autour de son anniversaire puisqu'il fête cette année ses 30 ans. Pas moins de 87 compagnies dont 17 internationales et 111 spectacles sont prévus. Geometria, de la compagnie Roseland Musical, est un spectacle de danse contemporaine pas comme les autres puisqu'il faut des lunettes 3D pour en profiter. Quant à Aldebert, il présente son Enfantillages 4.","6.403552,45.9202439",,,
Auvergne-Rhône-Alpes,Haute-Savoie,Chamonix ,Cosmo Jazz,23/07/2022,30/07/2022,Musique,https://cosmojazzfestival.com/,,,"Le jazz s'installe en montagne. Des concerts gratuits sont prévus en altitude en matinée, puis une programmation payante prend le relai l'après-midi au parc Montet. Avec Ana Carla Maza, Kyllelee Evans, Derya Yldirim, Black Sea Dahu, Thibault Cauvin, Louis Winsberg ""Jaleo"", Roberto Fonseca trio, Chirstian Sands, Cuarem Quarteto, André Manoukian Quartet, Sylvain Rifflet, Anne Paceo et Avishai Cohen.","6.789014,45.9295043",,,
Auvergne-Rhône-Alpes,Isère,Grenoble,Festival du film court en plein air ,28/06/2022,02/07/2022,Cinéma,cinemathequedegrenoble.fr,04 76 54 43 51,,"Les films en compétition, de tous genres et tous formats, sont projetés sur la place Saint-André chaque soir. Dans la journée, des rencontres-apéros sont organisées afin d'échanger avec les réalisateurs et réalisatrices. A noter, un stage d'analyse est proposé durant deux après-midis sur le thème des pionnières du cinéma et une séance spéciale dans la nuit du vendredi au samedi est consacrée aux films de femmes. IL FAUT TEL. TEL PAS DE REPONSE","5.6780039,45.154005",,,
Auvergne-Rhône-Alpes,Ardèche,Lussas,Etats généraux du film documentaire ,21/08/2022,27/08/2022,Cinéma,lussasdoc.org,,,"La sélection ""Route du doc"" est consacrée au Japon contemporain, en collaboration avec le festival de Yamagata. La catégorie ""Histoire de doc"" prévoit la projection d'oeuvres invitant à parcourir l’histoire du documentaire à Cuba, principalement des années 60 avec une programmation qui s’étend de 1955 à 1974. Les projections concernent les films les plus connus comme ceux de Santiago Alvarez au plus confidentiels de Nicolás Guillon Landrián et Sara Gomez. Cette catégorie est en partenariat avec l'Institut cubain des arts et de l'industrie cinématographiques et l'INA. ""Fragment d’une œuvre"" est dédié à celle du réalisateur italien Mauro Santini.","4.427377,44.593637",,,
Auvergne-Rhône-Alpes,Rhône,Lyon,Les nuits de Fourvière ,02/06/2022,30/07/2022,Théâtre / Arts de la rue / Cirque,nuitsdefourviere.com,,,"Théâtre, cirque, musique et danse ponctuent le festival. Le groupe acrobatique de Tanger présente FIQ ! (Réveille-toi), une création qui mêle acrobates, voltigeurs, footfreestylers et breakdancers. Les costumes et le décor sont pensés par le photographe marocain Hassan Hajjaj. Le chorégraphe Benjamin Millepied s'approprie le ballet de Prokofiev Roméo et Juliette avec ses danseurs et danseuses du L.A. Dance Project.","4.7718489,45.707486",,,
Auvergne-Rhône-Alpes,Savoie, Aix-les-Bains et Abbaye d’Hautecombe,Rencontres littéraires en pays de Savoie,10/06/2022,12/06/2022,Littérature,fondation-facim.fr,04 79 60 59 00,04 79 96 73 29,"Cinq auteurs et autrices rythment les animations du festival. Philippe Claudel présente son ouvrage De quelques frontières. Nicolas de Crécy, Marie Richeux, Clara Ysé, et  Lou Kanche en résidence sont aussi de la partie pour une édition autour des notions de frontière, de la transmission, de l'héritage. La table ronde interroge sur le passage tel qu'il existe dans leurs oeuvres : d’un territoire à l’autre, d’une génération à la suivante, du texte à l’image etc. Les différents talents des invités permettent aussi un concert de Clara Ysé en ouverture et la projection de Tous les Soleils de Philippe Claudel en clôture. A noter la présence d'une librairie éphémère le temps des festivités. ","6.81372,45.8331266",,,
Auvergne-Rhône-Alpes,Drôme,Grignan ,Festival de la correspondance ,05/07/2022,09/07/2022,Littérature,grignan-festivalcorrespondance.com,04 75 53 63 21,Tél. : 04 75 46 55 83,"La manifestation se consacre aux années 1950 en France et aux figures marquantes de cette époque. Des lectures de correspondances sont proposées chaque jour. Il s'agit parfois de mots d'amitiés, par exemple entre Jean Cocteau et Jean Marais ou entre Albert Camus et Nicola Chiaromonte, militant antifasciste et anti-communiste. Les lettres d'amour viennent également émailler la programmation avec les textes de Simone de Beauvoir envoyés à Jean-Paul Sartre ou d'Edith Piaf à Louis Gérardin. MAIL ENVOYE. MESSAGE LAISSE","4.854393,44.395624",,,
Auvergne-Rhône-Alpes,Haute-Loire,"Chambon-sur-lignon, Devesset et Saint-Agrève",Lectures sous l'arbre ,14/08/2022,20/08/2022,Littérature,lectures-sous-larbre.com/,04 75 30 65 06,,"Pendant une semaine, la poésie et la littérature sont à l'honneur avec des lectures et des rencontres d'auteurs programmées. Cette année la Corée est au premier plan avec également des cycles de cinéma coréen. Les éditions Zulma sont l'éditeur invité. MAIL ENVOYE","4.3675494197085,45.0478123197085",,,
Auvergne-Rhône-Alpes,Puy-de-Dôme,Clermont-Ferrand,Europavox,30/06/2022,03/07/2022,Musique,europavoxfestivals.com,,,"La musique européenne contemporaine s'installe sur la place du 1er mai pour trois jours de festivités. Font partie de la programmation cette année : Claire Laffut, Lujipeka, Yseult, Clara Luciani, Angèle, Emilie Zoé, Vladimir Cauchemar, Romane Santarelli, Kane, Xinobi et Malaka. ","3.053296,45.755755",,,
