dep,datetime,hosp,rea,rad,dc,population,hosp_pour_100k,rea_pour_100k,nbre_pass_corona
01,2020-09-01,27,2,463,106,643350,4.2,0.3,24.0
02,2020-09-01,38,1,1133,288,534490,7.1,0.2,40.0
03,2020-09-01,3,0,209,41,337988,0.9,0.0,10.0
04,2020-09-01,9,1,136,13,163915,5.5,0.6,16.0
05,2020-09-01,4,1,141,20,141284,2.8,0.7,12.0
06,2020-09-01,67,4,898,193,1083310,6.2,0.4,184.0
07,2020-09-01,12,1,449,116,325712,3.7,0.3,26.0
08,2020-09-01,3,0,221,60,273579,1.1,0.0,8.0
09,2020-09-01,1,1,34,2,153153,0.7,0.7,8.0
10,2020-09-01,14,0,654,137,310020,4.5,0.0,10.0
11,2020-09-01,6,1,240,59,370260,1.6,0.3,10.0
12,2020-09-01,5,0,151,24,279206,1.8,0.0,0.0
13,2020-09-01,238,41,3942,584,2024162,11.8,2.0,518.0
14,2020-09-01,1,0,354,84,694002,0.1,0.0,6.0
15,2020-09-01,3,1,53,9,145143,2.1,0.7,10.0
16,2020-09-01,1,0,61,13,352335,0.3,0.0,14.0
17,2020-09-01,4,1,153,51,644303,0.6,0.2,12.0
18,2020-09-01,0,0,208,85,304256,0.0,0.0,16.0
19,2020-09-01,2,0,161,37,241464,0.8,0.0,6.0
21,2020-09-01,5,1,960,251,533819,0.9,0.2,44.0
22,2020-09-01,6,0,233,40,598814,1.0,0.0,8.0
23,2020-09-01,0,0,86,15,118638,0.0,0.0,0.0
24,2020-09-01,5,1,98,14,413606,1.2,0.2,16.0
25,2020-09-01,4,1,642,152,539067,0.7,0.2,24.0
26,2020-09-01,6,1,542,128,511553,1.2,0.2,24.0
27,2020-09-01,16,0,273,85,601843,2.7,0.0,24.0
28,2020-09-01,7,1,607,145,433233,1.6,0.2,18.0
29,2020-09-01,9,1,198,44,909028,1.0,0.1,10.0
2A,2020-09-01,4,0,148,48,157249,2.5,0.0,10.0
2B,2020-09-01,7,2,111,11,177689,3.9,1.1,40.0
30,2020-09-01,16,4,384,99,744178,2.2,0.5,30.0
31,2020-09-01,56,6,730,83,1362672,4.1,0.4,140.0
32,2020-09-01,5,2,90,23,191091,2.6,1.0,12.0
33,2020-09-01,53,8,1039,165,1583384,3.3,0.5,240.0
34,2020-09-01,45,9,777,124,1144892,3.9,0.8,166.0
35,2020-09-01,35,5,511,89,1060199,3.3,0.5,34.0
36,2020-09-01,4,1,197,82,222232,1.8,0.4,4.0
37,2020-09-01,6,1,381,93,606511,1.0,0.2,20.0
38,2020-09-01,30,7,743,153,1258722,2.4,0.6,72.0
39,2020-09-01,2,0,328,60,260188,0.8,0.0,10.0
40,2020-09-01,2,0,76,13,407444,0.5,0.0,28.0
41,2020-09-01,12,0,334,65,331915,3.6,0.0,32.0
42,2020-09-01,46,2,1029,248,762941,6.0,0.3,34.0
43,2020-09-01,2,1,108,18,227283,0.9,0.4,2.0
44,2020-09-01,15,2,779,170,1394909,1.1,0.1,38.0
45,2020-09-01,25,4,675,104,678105,3.7,0.6,52.0
46,2020-09-01,1,0,70,22,173828,0.6,0.0,2.0
47,2020-09-01,7,1,89,12,332842,2.1,0.3,60.0
48,2020-09-01,1,0,24,1,76601,1.3,0.0,0.0
49,2020-09-01,26,7,685,143,813493,3.2,0.9,16.0
50,2020-09-01,8,0,174,50,496883,1.6,0.0,32.0
51,2020-09-01,48,4,1043,274,568895,8.4,0.7,28.0
52,2020-09-01,7,0,272,90,175640,4.0,0.0,12.0
53,2020-09-01,10,1,244,48,307445,3.3,0.3,20.0
54,2020-09-01,45,0,1277,366,733481,6.1,0.0,18.0
55,2020-09-01,2,0,504,103,187187,1.1,0.0,0.0
56,2020-09-01,15,0,448,96,750863,2.0,0.0,78.0
57,2020-09-01,90,3,2585,854,1043522,8.6,0.3,86.0
58,2020-09-01,1,0,99,28,207182,0.5,0.0,34.0
59,2020-09-01,138,14,2739,681,2604361,5.3,0.5,106.0
60,2020-09-01,119,1,1228,422,824503,14.4,0.1,8.0
61,2020-09-01,11,1,261,44,283372,3.9,0.4,8.0
62,2020-09-01,90,10,1442,323,1468018,6.1,0.7,14.0
63,2020-09-01,22,0,187,45,653742,3.4,0.0,12.0
64,2020-09-01,7,1,235,27,677309,1.0,0.1,38.0
65,2020-09-01,7,0,163,27,228530,3.1,0.0,0.0
66,2020-09-01,5,1,289,36,474452,1.1,0.2,16.0
67,2020-09-01,93,5,2768,687,1125559,8.3,0.4,40.0
68,2020-09-01,116,4,3095,831,764030,15.2,0.5,36.0
69,2020-09-01,124,20,3234,670,1843319,6.7,1.1,322.0
70,2020-09-01,0,0,309,77,236659,0.0,0.0,6.0
71,2020-09-01,4,2,795,202,553595,0.7,0.4,74.0
72,2020-09-01,31,1,435,88,566506,5.5,0.2,148.0
73,2020-09-01,6,0,433,75,431174,1.4,0.0,38.0
74,2020-09-01,28,1,944,171,807360,3.5,0.1,128.0
75,2020-09-01,293,42,6641,1810,2187526,13.4,1.9,284.0
76,2020-09-01,29,1,847,185,1254378,2.3,0.1,116.0
77,2020-09-01,144,16,2859,716,1403997,10.3,1.1,104.0
78,2020-09-01,230,14,2470,545,1438266,16.0,1.0,210.0
79,2020-09-01,1,0,72,22,374351,0.3,0.0,38.0
80,2020-09-01,41,3,764,233,572443,7.2,0.5,28.0
81,2020-09-01,7,1,132,23,387890,1.8,0.3,8.0
82,2020-09-01,4,1,44,7,258349,1.5,0.4,48.0
83,2020-09-01,50,3,1069,144,1058740,4.7,0.3,134.0
84,2020-09-01,18,5,277,41,559479,3.2,0.9,60.0
85,2020-09-01,6,0,284,43,675247,0.9,0.0,12.0
86,2020-09-01,1,0,154,40,436876,0.2,0.0,8.0
87,2020-09-01,4,1,136,25,374426,1.1,0.3,28.0
88,2020-09-01,15,0,749,267,367673,4.1,0.0,18.0
89,2020-09-01,5,1,416,95,338291,1.5,0.3,58.0
90,2020-09-01,3,1,565,200,142622,2.1,0.7,2.0
91,2020-09-01,216,14,2579,555,1296130,16.7,1.1,150.0
92,2020-09-01,495,28,4784,1115,1609306,30.8,1.7,154.0
93,2020-09-01,385,25,4184,1022,1623111,23.7,1.5,478.0
94,2020-09-01,297,18,4634,1231,1387926,21.4,1.3,234.0
95,2020-09-01,218,12,2802,731,1228618,17.7,1.0,268.0
971,2020-09-01,23,10,100,24,390253,5.9,2.6,176.0
972,2020-09-01,14,3,104,18,372594,3.8,0.8,0.0
973,2020-09-01,88,11,1536,56,268700,32.8,4.1,62.0
974,2020-09-01,70,14,224,10,853659,8.2,1.6,82.0
976,2020-09-01,6,2,445,28,256518,2.3,0.8,10.0
01,2020-09-02,28,2,463,106,643350,4.4,0.3,40.0
02,2020-09-02,38,1,1133,288,534490,7.1,0.2,42.0
03,2020-09-02,3,0,210,41,337988,0.9,0.0,10.0
04,2020-09-02,9,1,136,13,163915,5.5,0.6,20.0
05,2020-09-02,4,1,140,20,141284,2.8,0.7,10.0
06,2020-09-02,82,7,904,193,1083310,7.6,0.6,170.0
07,2020-09-02,12,1,449,116,325712,3.7,0.3,26.0
08,2020-09-02,3,0,221,60,273579,1.1,0.0,6.0
09,2020-09-02,1,1,34,2,153153,0.7,0.7,8.0
10,2020-09-02,14,0,654,137,310020,4.5,0.0,6.0
11,2020-09-02,7,1,240,59,370260,1.9,0.3,12.0
12,2020-09-02,7,0,151,24,279206,2.5,0.0,0.0
13,2020-09-02,259,47,3969,584,2024162,12.8,2.3,522.0
14,2020-09-02,1,0,354,84,694002,0.1,0.0,6.0
15,2020-09-02,3,1,53,9,145143,2.1,0.7,10.0
16,2020-09-02,1,0,61,13,352335,0.3,0.0,16.0
17,2020-09-02,4,1,154,51,644303,0.6,0.2,10.0
18,2020-09-02,0,0,208,85,304256,0.0,0.0,18.0
19,2020-09-02,2,0,161,37,241464,0.8,0.0,6.0
21,2020-09-02,7,1,960,251,533819,1.3,0.2,36.0
22,2020-09-02,7,0,233,40,598814,1.2,0.0,8.0
23,2020-09-02,0,0,86,15,118638,0.0,0.0,0.0
24,2020-09-02,4,1,99,14,413606,1.0,0.2,16.0
25,2020-09-02,3,1,644,152,539067,0.6,0.2,26.0
26,2020-09-02,6,1,544,128,511553,1.2,0.2,28.0
27,2020-09-02,15,0,273,85,601843,2.5,0.0,28.0
28,2020-09-02,9,1,607,145,433233,2.1,0.2,16.0
29,2020-09-02,9,1,198,44,909028,1.0,0.1,12.0
2A,2020-09-02,4,0,148,48,157249,2.5,0.0,10.0
2B,2020-09-02,7,2,111,11,177689,3.9,1.1,42.0
30,2020-09-02,17,4,384,99,744178,2.3,0.5,30.0
31,2020-09-02,59,10,740,83,1362672,4.3,0.7,142.0
32,2020-09-02,5,2,90,23,191091,2.6,1.0,10.0
33,2020-09-02,51,8,1042,166,1583384,3.2,0.5,250.0
34,2020-09-02,42,10,785,124,1144892,3.7,0.9,188.0
35,2020-09-02,35,4,511,89,1060199,3.3,0.4,36.0
36,2020-09-02,3,1,198,82,222232,1.3,0.4,4.0
37,2020-09-02,6,1,381,93,606511,1.0,0.2,18.0
38,2020-09-02,30,7,747,153,1258722,2.4,0.6,74.0
39,2020-09-02,2,0,328,60,260188,0.8,0.0,12.0
40,2020-09-02,2,0,76,13,407444,0.5,0.0,22.0
41,2020-09-02,13,0,334,65,331915,3.9,0.0,34.0
42,2020-09-02,45,2,1031,249,762941,5.9,0.3,40.0
43,2020-09-02,2,1,108,18,227283,0.9,0.4,2.0
44,2020-09-02,14,2,781,170,1394909,1.0,0.1,36.0
45,2020-09-02,27,6,676,104,678105,4.0,0.9,56.0
46,2020-09-02,1,0,70,22,173828,0.6,0.0,2.0
47,2020-09-02,7,1,89,12,332842,2.1,0.3,70.0
48,2020-09-02,2,0,24,1,76601,2.6,0.0,0.0
49,2020-09-02,24,7,686,143,813493,3.0,0.9,18.0
50,2020-09-02,8,0,174,50,496883,1.6,0.0,30.0
51,2020-09-02,48,4,1043,274,568895,8.4,0.7,30.0
52,2020-09-02,7,0,272,90,175640,4.0,0.0,12.0
53,2020-09-02,6,1,248,48,307445,2.0,0.3,24.0
54,2020-09-02,46,1,1280,367,733481,6.3,0.1,20.0
55,2020-09-02,2,0,504,103,187187,1.1,0.0,0.0
56,2020-09-02,14,0,449,96,750863,1.9,0.0,88.0
57,2020-09-02,89,2,2585,855,1043522,8.5,0.2,86.0
58,2020-09-02,2,0,99,28,207182,1.0,0.0,34.0
59,2020-09-02,139,18,2750,682,2604361,5.3,0.7,112.0
60,2020-09-02,120,1,1229,422,824503,14.6,0.1,12.0
61,2020-09-02,9,1,263,44,283372,3.2,0.4,10.0
62,2020-09-02,93,10,1444,323,1468018,6.3,0.7,16.0
63,2020-09-02,22,0,188,45,653742,3.4,0.0,18.0
64,2020-09-02,6,1,237,28,677309,0.9,0.1,46.0
65,2020-09-02,4,0,166,27,228530,1.8,0.0,0.0
66,2020-09-02,6,2,289,36,474452,1.3,0.4,16.0
67,2020-09-02,88,6,2771,689,1125559,7.8,0.5,42.0
68,2020-09-02,113,5,3102,831,764030,14.8,0.7,32.0
69,2020-09-02,136,23,3246,670,1843319,7.4,1.2,310.0
70,2020-09-02,0,0,309,77,236659,0.0,0.0,10.0
71,2020-09-02,6,3,796,202,553595,1.1,0.5,76.0
72,2020-09-02,27,2,439,89,566506,4.8,0.4,162.0
73,2020-09-02,8,0,434,75,431174,1.9,0.0,58.0
74,2020-09-02,29,1,944,171,807360,3.6,0.1,142.0
75,2020-09-02,294,41,6648,1812,2187526,13.4,1.9,274.0
76,2020-09-02,28,1,848,185,1254378,2.2,0.1,116.0
77,2020-09-02,143,16,2868,717,1403997,10.2,1.1,84.0
78,2020-09-02,238,14,2483,547,1438266,16.5,1.0,202.0
79,2020-09-02,0,0,73,22,374351,0.0,0.0,38.0
80,2020-09-02,42,3,764,233,572443,7.3,0.5,22.0
81,2020-09-02,6,1,134,23,387890,1.5,0.3,12.0
82,2020-09-02,4,1,44,7,258349,1.5,0.4,48.0
83,2020-09-02,50,3,1075,143,1058740,4.7,0.3,132.0
84,2020-09-02,20,4,278,42,559479,3.6,0.7,66.0
85,2020-09-02,7,0,284,43,675247,1.0,0.0,10.0
86,2020-09-02,0,0,155,40,436876,0.0,0.0,8.0
87,2020-09-02,5,1,136,25,374426,1.3,0.3,22.0
88,2020-09-02,14,0,751,267,367673,3.8,0.0,16.0
89,2020-09-02,8,1,416,95,338291,2.4,0.3,64.0
90,2020-09-02,2,1,566,200,142622,1.4,0.7,4.0
91,2020-09-02,210,13,2590,558,1296130,16.2,1.0,156.0
92,2020-09-02,500,31,4793,1118,1609306,31.1,1.9,154.0
93,2020-09-02,381,27,4195,1022,1623111,23.5,1.7,444.0
94,2020-09-02,301,16,4647,1233,1387926,21.7,1.2,222.0
95,2020-09-02,217,11,2804,732,1228618,17.7,0.9,276.0
971,2020-09-02,20,9,107,25,390253,5.1,2.3,206.0
972,2020-09-02,13,4,106,18,372594,3.5,1.1,0.0
973,2020-09-02,70,7,1555,57,268700,26.1,2.6,64.0
974,2020-09-02,71,14,228,10,853659,8.3,1.6,74.0
976,2020-09-02,6,2,445,28,256518,2.3,0.8,10.0
01,2020-09-03,27,2,463,107,643350,4.2,0.3,48.0
02,2020-09-03,36,1,1136,288,534490,6.7,0.2,66.0
03,2020-09-03,3,0,210,41,337988,0.9,0.0,14.0
04,2020-09-03,9,0,136,13,163915,5.5,0.0,22.0
05,2020-09-03,4,1,140,20,141284,2.8,0.7,6.0
06,2020-09-03,84,8,911,193,1083310,7.8,0.7,170.0
07,2020-09-03,12,1,449,116,325712,3.7,0.3,26.0
08,2020-09-03,2,0,222,60,273579,0.7,0.0,6.0
09,2020-09-03,1,1,34,2,153153,0.7,0.7,8.0
