datetime,iso_code,continent,location,total_vaccinations,total_vaccinations_per_hundred,people_vaccinated_per_hundred,people_fully_vaccinated_per_hundred
2021-02-22,AFG,Asia,Afghanistan,0.0,0.0,0.0,
2021-02-28,AFG,Asia,Afghanistan,8200.0,0.02,0.02,
2021-03-16,AFG,Asia,Afghanistan,54000.0,0.14,0.14,
2021-04-07,AFG,Asia,Afghanistan,120000.0,0.3,0.3,
2021-04-22,AFG,Asia,Afghanistan,240000.0,0.6,0.6,
2021-05-11,AFG,Asia,Afghanistan,504502.0,1.27,1.13,0.14
2021-05-20,AFG,Asia,Afghanistan,547901.0,1.38,1.18,0.19
2021-05-24,AFG,Asia,Afghanistan,573277.0,1.44,1.2,0.24
2021-05-26,AFG,Asia,Afghanistan,590454.0,1.48,1.2,0.28
2021-05-27,AFG,Asia,Afghanistan,593313.0,1.49,1.2,0.29
2021-05-30,AFG,Asia,Afghanistan,600152.0,1.51,1.21,0.3
2021-06-02,AFG,Asia,Afghanistan,626290.0,1.57,1.21,0.36
2021-06-03,AFG,Asia,Afghanistan,630305.0,1.58,1.21,0.37
2021-06-08,AFG,Asia,Afghanistan,641295.0,1.61,1.21,0.4
2021-06-14,AFG,Asia,Afghanistan,662003.0,1.66,1.22,0.44
2021-06-22,AFG,Asia,Afghanistan,765890.0,1.92,1.46,0.46
2021-06-27,AFG,Asia,Afghanistan,835694.0,2.1,1.63,0.47
2021-06-30,AFG,Asia,Afghanistan,886854.0,2.23,1.76,0.47
2021-07-05,AFG,Asia,Afghanistan,915671.0,2.3,1.82,0.48
2021-07-07,AFG,Asia,Afghanistan,934463.0,2.35,1.85,0.5
2021-07-11,AFG,Asia,Afghanistan,962093.0,2.42,1.87,0.55
2021-08-20,AFG,Asia,Afghanistan,1201286.0,3.02,1.93,1.08
2021-08-31,AFG,Asia,Afghanistan,1979652.0,4.97,1.94,
2021-09-30,AFG,Asia,Afghanistan,2369625.0,5.95,2.08,
2021-11-14,AFG,Asia,Afghanistan,4018197.0,10.09,8.86,8.0
2021-11-20,AFG,Asia,Afghanistan,5116767.0,12.84,10.76,8.67
2021-01-09,OWID_AFR,,Africa,0.0,0.0,0.0,
2021-01-13,OWID_AFR,,Africa,2000.0,0.0,0.0,
2021-01-15,OWID_AFR,,Africa,4000.0,0.0,0.0,
2021-01-16,OWID_AFR,,Africa,7000.0,0.0,0.0,
2021-01-19,OWID_AFR,,Africa,10976.0,0.0,0.0,
2021-01-20,OWID_AFR,,Africa,13163.0,0.0,0.0,
2021-01-22,OWID_AFR,,Africa,16890.0,0.0,0.0,
2021-01-23,OWID_AFR,,Africa,18353.0,0.0,0.0,
2021-01-24,OWID_AFR,,Africa,18353.0,0.0,0.0,
2021-01-25,OWID_AFR,,Africa,19889.0,0.0,0.0,
2021-01-26,OWID_AFR,,Africa,22712.0,0.0,0.0,
2021-01-27,OWID_AFR,,Africa,25587.0,0.0,0.0,
2021-01-28,OWID_AFR,,Africa,28779.0,0.0,0.0,
2021-01-29,OWID_AFR,,Africa,30861.0,0.0,0.0,
2021-01-30,OWID_AFR,,Africa,122206.0,0.01,0.0,
2021-01-31,OWID_AFR,,Africa,158206.0,0.01,0.0,
2021-02-01,OWID_AFR,,Africa,236712.0,0.02,0.0,
2021-02-02,OWID_AFR,,Africa,295127.0,0.02,0.0,
2021-02-03,OWID_AFR,,Africa,347149.0,0.03,0.0,0.0
2021-02-04,OWID_AFR,,Africa,390474.0,0.03,0.0,0.0
2021-02-05,OWID_AFR,,Africa,446986.0,0.03,0.0,0.0
2021-02-06,OWID_AFR,,Africa,504800.0,0.04,0.0,0.0
2021-02-08,OWID_AFR,,Africa,593502.0,0.04,0.0,0.0
2021-02-09,OWID_AFR,,Africa,661263.0,0.05,0.0,0.0
2021-02-10,OWID_AFR,,Africa,795836.0,0.06,0.0,0.0
2021-02-11,OWID_AFR,,Africa,908796.0,0.07,0.0,0.0
2021-02-12,OWID_AFR,,Africa,1165581.0,0.08,0.0,0.0
2021-02-13,OWID_AFR,,Africa,1446178.0,0.11,0.0,0.0
2021-02-15,OWID_AFR,,Africa,1766999.0,0.13,0.0,0.0
2021-02-16,OWID_AFR,,Africa,1965819.0,0.14,0.0,0.0
2021-02-17,OWID_AFR,,Africa,2147659.0,0.16,0.0,0.0
2021-02-18,OWID_AFR,,Africa,2304003.0,0.17,0.0,0.0
2021-02-19,OWID_AFR,,Africa,2514038.0,0.18,0.18,0.0
2021-02-20,OWID_AFR,,Africa,2616970.0,0.19,0.19,0.0
2021-02-21,OWID_AFR,,Africa,2623735.0,0.19,0.19,0.0
2021-02-22,OWID_AFR,,Africa,2745898.0,0.2,0.2,0.0
2021-02-23,OWID_AFR,,Africa,2854362.0,0.21,0.2,0.01
2021-02-24,OWID_AFR,,Africa,3151789.0,0.23,0.23,0.01
2021-02-25,OWID_AFR,,Africa,3435126.0,0.25,0.25,0.01
2021-02-26,OWID_AFR,,Africa,3677781.0,0.27,0.26,0.01
2021-02-27,OWID_AFR,,Africa,3866524.0,0.28,0.27,0.02
2021-02-28,OWID_AFR,,Africa,3874251.0,0.28,0.27,0.02
2021-03-01,OWID_AFR,,Africa,4092105.0,0.3,0.28,0.02
2021-03-02,OWID_AFR,,Africa,4253030.0,0.31,0.29,0.03
2021-03-03,OWID_AFR,,Africa,4424425.0,0.32,0.29,0.03
2021-03-04,OWID_AFR,,Africa,4570416.0,0.33,0.3,0.04
2021-03-05,OWID_AFR,,Africa,4808377.0,0.35,0.31,0.05
2021-03-06,OWID_AFR,,Africa,5013434.0,0.37,0.32,0.05
2021-03-07,OWID_AFR,,Africa,5054444.0,0.37,0.32,0.05
2021-03-08,OWID_AFR,,Africa,5402720.0,0.39,0.34,0.06
2021-03-09,OWID_AFR,,Africa,5543143.0,0.4,0.35,0.06
2021-03-10,OWID_AFR,,Africa,5883345.0,0.43,0.36,0.07
2021-03-11,OWID_AFR,,Africa,6071753.0,0.44,0.37,0.08
2021-03-12,OWID_AFR,,Africa,6381772.0,0.46,0.37,0.1
2021-03-13,OWID_AFR,,Africa,6785420.0,0.49,0.38,0.12
2021-03-14,OWID_AFR,,Africa,6801943.0,0.5,0.39,0.12
2021-03-15,OWID_AFR,,Africa,7194978.0,0.52,0.39,0.14
2021-03-16,OWID_AFR,,Africa,7430457.0,0.54,0.4,0.16
2021-03-17,OWID_AFR,,Africa,7632156.0,0.56,0.4,0.17
2021-03-18,OWID_AFR,,Africa,7819596.0,0.57,0.41,0.17
2021-03-19,OWID_AFR,,Africa,8102429.0,0.59,0.42,0.19
2021-03-20,OWID_AFR,,Africa,8194788.0,0.6,0.42,0.19
2021-03-21,OWID_AFR,,Africa,8216336.0,0.6,0.42,0.19
2021-03-22,OWID_AFR,,Africa,8338577.0,0.61,0.42,0.2
2021-03-23,OWID_AFR,,Africa,8484800.0,0.62,0.43,0.21
2021-03-24,OWID_AFR,,Africa,9420911.0,0.69,0.48,0.22
2021-03-25,OWID_AFR,,Africa,9709302.0,0.71,0.48,0.24
2021-03-26,OWID_AFR,,Africa,9977830.0,0.73,0.49,0.26
2021-03-27,OWID_AFR,,Africa,10303667.0,0.75,0.51,0.26
2021-03-28,OWID_AFR,,Africa,10562516.0,0.77,0.53,0.26
2021-03-29,OWID_AFR,,Africa,10775431.0,0.78,0.53,0.27
2021-03-30,OWID_AFR,,Africa,10972216.0,0.8,0.54,0.28
2021-03-31,OWID_AFR,,Africa,11476248.0,0.84,0.56,0.29
2021-04-01,OWID_AFR,,Africa,11729825.0,0.85,0.58,0.3
2021-04-02,OWID_AFR,,Africa,11883589.0,0.87,0.58,0.3
2021-04-03,OWID_AFR,,Africa,12018828.0,0.88,0.59,0.31
2021-04-04,OWID_AFR,,Africa,12082780.0,0.88,0.59,0.31
2021-04-05,OWID_AFR,,Africa,12236282.0,0.89,0.6,0.31
2021-04-06,OWID_AFR,,Africa,12575036.0,0.92,0.62,0.32
2021-04-07,OWID_AFR,,Africa,12960258.0,0.94,0.64,0.32
2021-04-08,OWID_AFR,,Africa,13685750.0,1.0,0.69,0.32
2021-04-09,OWID_AFR,,Africa,13840825.0,1.01,0.7,0.33
2021-04-10,OWID_AFR,,Africa,14000751.0,1.02,0.71,0.33
2021-04-11,OWID_AFR,,Africa,14150137.0,1.03,0.72,0.33
2021-04-12,OWID_AFR,,Africa,14259556.0,1.04,0.73,0.33
2021-04-13,OWID_AFR,,Africa,14372773.0,1.05,0.74,0.33
2021-04-14,OWID_AFR,,Africa,14720408.0,1.07,0.76,0.33
2021-04-15,OWID_AFR,,Africa,14863081.0,1.08,0.77,0.33
2021-04-16,OWID_AFR,,Africa,15071502.0,1.1,0.78,0.33
2021-04-17,OWID_AFR,,Africa,15369995.0,1.12,0.8,0.34
2021-04-18,OWID_AFR,,Africa,15940217.0,1.16,0.84,0.34
2021-04-19,OWID_AFR,,Africa,16153571.0,1.18,0.86,0.34
2021-04-20,OWID_AFR,,Africa,16319878.0,1.19,0.87,0.34
2021-04-21,OWID_AFR,,Africa,16544360.0,1.2,0.89,0.34
2021-04-22,OWID_AFR,,Africa,16629919.0,1.21,0.89,0.34
2021-04-23,OWID_AFR,,Africa,16816072.0,1.22,0.9,0.34
2021-04-24,OWID_AFR,,Africa,16889560.0,1.23,0.91,0.34
2021-04-25,OWID_AFR,,Africa,16968624.0,1.24,0.91,0.35
2021-04-26,OWID_AFR,,Africa,17067708.0,1.24,0.92,0.35
2021-04-27,OWID_AFR,,Africa,17236944.0,1.25,0.93,0.35
2021-04-28,OWID_AFR,,Africa,18296567.0,1.33,1.0,0.35
2021-04-29,OWID_AFR,,Africa,18412478.0,1.34,1.01,0.35
2021-04-30,OWID_AFR,,Africa,18553633.0,1.35,1.02,0.36
2021-05-01,OWID_AFR,,Africa,18680562.0,1.36,1.03,0.36
2021-05-02,OWID_AFR,,Africa,18737253.0,1.36,1.03,0.36
2021-05-03,OWID_AFR,,Africa,18912400.0,1.38,1.04,0.36
2021-05-04,OWID_AFR,,Africa,19208526.0,1.4,1.06,0.37
2021-05-05,OWID_AFR,,Africa,19465156.0,1.42,1.07,0.37
2021-05-06,OWID_AFR,,Africa,19624727.0,1.43,1.08,0.37
2021-05-07,OWID_AFR,,Africa,20217766.0,1.47,1.12,0.38
2021-05-08,OWID_AFR,,Africa,20470293.0,1.49,1.13,0.38
2021-05-09,OWID_AFR,,Africa,21199764.0,1.54,1.17,0.4
2021-05-10,OWID_AFR,,Africa,21661168.0,1.58,1.2,0.4
2021-05-11,OWID_AFR,,Africa,22093409.0,1.61,1.23,0.41
2021-05-12,OWID_AFR,,Africa,23173673.0,1.69,1.3,0.42
2021-05-13,OWID_AFR,,Africa,23349102.0,1.7,1.31,0.42
2021-05-14,OWID_AFR,,Africa,23545212.0,1.71,1.32,0.43
2021-05-15,OWID_AFR,,Africa,23859298.0,1.74,1.34,0.43
2021-05-16,OWID_AFR,,Africa,23952426.0,1.74,1.35,0.43
2021-05-17,OWID_AFR,,Africa,24419391.0,1.78,1.37,0.44
2021-05-18,OWID_AFR,,Africa,25194293.0,1.83,1.42,0.45
2021-05-19,OWID_AFR,,Africa,25785942.0,1.88,1.45,0.46
2021-05-20,OWID_AFR,,Africa,26225226.0,1.91,1.48,0.46
2021-05-21,OWID_AFR,,Africa,27003443.0,1.97,1.52,0.48
2021-05-22,OWID_AFR,,Africa,27828521.0,2.03,1.57,0.49
2021-05-23,OWID_AFR,,Africa,28053599.0,2.04,1.59,0.49
2021-05-24,OWID_AFR,,Africa,28573801.0,2.08,1.62,0.5
2021-05-25,OWID_AFR,,Africa,29272846.0,2.13,1.66,0.51
2021-05-26,OWID_AFR,,Africa,29659348.0,2.16,1.67,0.52
2021-05-27,OWID_AFR,,Africa,29882000.0,2.18,1.69,0.52
2021-05-28,OWID_AFR,,Africa,30063329.0,2.19,1.7,0.52
2021-05-29,OWID_AFR,,Africa,30663011.0,2.23,1.74,0.53
2021-05-30,OWID_AFR,,Africa,30985815.0,2.26,1.75,0.53
2021-05-31,OWID_AFR,,Africa,33013477.0,2.4,1.81,0.61
2021-06-01,OWID_AFR,,Africa,33811824.0,2.46,1.86,0.63
2021-06-02,OWID_AFR,,Africa,34313737.0,2.5,1.88,0.64
2021-06-03,OWID_AFR,,Africa,34777443.0,2.53,1.9,0.65
2021-06-04,OWID_AFR,,Africa,35024406.0,2.55,1.91,0.66
2021-06-05,OWID_AFR,,Africa,35258269.0,2.57,1.92,0.67
2021-06-06,OWID_AFR,,Africa,35499875.0,2.58,1.92,0.68
2021-06-07,OWID_AFR,,Africa,36082955.0,2.63,1.94,0.7
2021-06-08,OWID_AFR,,Africa,37188892.0,2.71,1.98,0.74
2021-06-09,OWID_AFR,,Africa,38220307.0,2.78,2.03,0.78
2021-06-10,OWID_AFR,,Africa,38836032.0,2.83,2.04,0.8
2021-06-11,OWID_AFR,,Africa,39209078.0,2.85,2.06,0.82
2021-06-12,OWID_AFR,,Africa,39520074.0,2.88,2.07,0.83
2021-06-13,OWID_AFR,,Africa,39608060.0,2.88,2.07,0.83
2021-06-14,OWID_AFR,,Africa,40472051.0,2.95,2.1,0.86
2021-06-15,OWID_AFR,,Africa,41466546.0,3.02,2.12,0.91
2021-06-16,OWID_AFR,,Africa,41795578.0,3.04,2.13,0.93
2021-06-17,OWID_AFR,,Africa,42179059.0,3.07,2.14,0.94
2021-06-18,OWID_AFR,,Africa,42520531.0,3.1,2.15,0.96
2021-06-19,OWID_AFR,,Africa,42651690.0,3.11,2.15,0.97
2021-06-20,OWID_AFR,,Africa,43315836.0,3.15,2.19,0.98
2021-06-21,OWID_AFR,,Africa,44038203.0,3.21,2.22,1.0
2021-06-22,OWID_AFR,,Africa,44160883.0,3.22,2.22,1.01
2021-06-23,OWID_AFR,,Africa,44801997.0,3.26,2.25,1.02
2021-06-24,OWID_AFR,,Africa,46139681.0,3.36,2.31,1.06
2021-06-25,OWID_AFR,,Africa,46505062.0,3.39,2.32,1.07
2021-06-26,OWID_AFR,,Africa,46700046.0,3.4,2.33,1.08
2021-06-27,OWID_AFR,,Africa,46983983.0,3.42,2.34,1.09
2021-06-28,OWID_AFR,,Africa,47874526.0,3.49,2.37,1.12
2021-06-29,OWID_AFR,,Africa,48142113.0,3.51,2.39,1.12
2021-06-30,OWID_AFR,,Africa,48664662.0,3.54,2.41,1.14
2021-07-01,OWID_AFR,,Africa,49084712.0,3.57,2.42,1.15
2021-07-02,OWID_AFR,,Africa,49245678.0,3.59,2.43,1.15
2021-07-03,OWID_AFR,,Africa,49524849.0,3.61,2.44,1.16
2021-07-04,OWID_AFR,,Africa,49901604.0,3.63,2.46,1.17
2021-07-05,OWID_AFR,,Africa,50939231.0,3.71,2.5,1.2
2021-07-06,OWID_AFR,,Africa,51379966.0,3.74,2.52,1.21
2021-07-07,OWID_AFR,,Africa,51641882.0,3.76,2.53,1.21
2021-07-08,OWID_AFR,,Africa,52257385.0,3.8,2.55,1.28
2021-07-09,OWID_AFR,,Africa,52552375.0,3.83,2.56,1.28
2021-07-10,OWID_AFR,,Africa,52672280.0,3.83,2.57,1.29
2021-07-11,OWID_AFR,,Africa,52770553.0,3.84,2.57,1.29
2021-07-12,OWID_AFR,,Africa,54370724.0,3.96,2.63,1.35
2021-07-13,OWID_AFR,,Africa,54935857.0,4.0,2.65,1.37
2021-07-14,OWID_AFR,,Africa,55237342.0,4.02,2.66,1.38
2021-07-15,OWID_AFR,,Africa,56501839.0,4.11,2.73,1.41
2021-07-16,OWID_AFR,,Africa,56615826.0,4.12,2.73,1.41
