departement,appointment_per_1000,appointment_mean
01,3.5,2252
02,8.1,4315
03,1.3,455
04,6.7,1094
05,9.3,1320
06,1.7,1837
07,1.6,506
08,7.3,1990
09,7.2,1101
10,12.8,3977
11,4.9,1820
12,5.7,1588
13,3.2,6454
14,6.6,4585
15,5.5,794
16,2.5,883
17,1.4,887
18,1.4,420
19,1.6,396
21,0.8,419
22,6.9,4161
23,2.6,312
24,2.3,955
25,2.5,1373
26,3.9,2012
27,1.1,655
28,3.0,1284
29,2.0,1850
2A,17.6,2763
2B,3.2,560
30,5.4,4012
31,45.5,62022
32,0.9,178
33,2.9,4565
34,2.3,2585
35,1.0,1073
36,1.7,375
37,1.5,913
38,19.6,24720
39,2.5,652
40,10.4,4220
41,2.3,769
42,8.0,6133
43,6.1,1377
44,0.2,217
45,0.6,400
46,6.0,1047
47,1.3,420
48,4.4,338
49,2.2,1756
50,2.8,1368
51,8.2,4647
52,3.1,551
53,0.8,235
54,4.1,2979
55,0.7,137
56,10.9,8154
57,5.7,5964
58,1.0,211
59,2.4,6318
60,4.0,3326
61,8.9,2529
62,2.5,3598
63,5.7,3713
64,2.9,1981
65,2.3,519
66,2.7,1290
67,4.1,4620
68,2.6,1962
69,2.6,4770
70,5.7,1345
71,2.5,1381
72,4.4,2508
73,5.7,2453
74,7.9,6403
75,3.8,8287
76,1.6,1972
77,8.1,11396
78,0.7,1009
79,0.2,93
80,15.8,9047
81,4.3,1681
82,0.6,164
83,1.0,1074
84,2.1,1160
85,0.1,83
86,1.4,606
87,3.9,1477
88,2.6,958
89,5.5,1844
90,4.0,577
91,1.0,1326
92,2.5,3950
93,6.3,10174
94,5.4,7478
95,9.8,12042
971,5.0,1947
972,12.9,4802
973,3.8,1008
974,32.0,27314
976,0.0,0
