Pays,vaccination_septembre,morts_par_million_depuis_septembre,morts_depuis_septembre,iso_code,continent,location,total_deaths,total_deaths_per_million,people_vaccinated,population,aged_70_older,excess_mortality_cumulative_per_million,morts_vague_3
Autriche,53.49,114.5,1035.0,AUT,Europe,Austria,11807.0,1305.64,,9043072.0,13.748,,225.8
Belgique,63.03,91.5,1064.0,BEL,Europe,Belgium,26444.0,2273.3179999999998,,11632334.0,12.849,,247.4
Bulgarie,13.94,1128.1,7780.0,BGR,Europe,Bulgaria,26676.0,3867.962,,6896655.0,13.272,,1088.8
Croatie,42.4,404.7,1652.0,HRV,Europe,Croatia,9986.0,2446.555,,4081657.0,13.052999999999999,,612.5
Chypre,64.26,87.0,78.0,CYP,Europe,Cyprus,588.0,656.2460000000001,,896005.0,8.562999999999999,,144.0
République tchèque,47.71,114.9,1232.0,CZE,Europe,Czechia,31636.0,2949.867,,10724553.0,11.58,,910.9
Danemark,57.79,35.3,205.0,DNK,Europe,Denmark,2791.0,480.106,,5813302.0,12.325,,26.7
Estonie,42.39,308.6,409.0,EST,Europe,Estonia,1701.0,1283.5910000000001,,1325188.0,13.491,,500.3
Finlande,72.64,36.8,204.0,FIN,Europe,Finland,1233.0,222.22799999999998,,5548361.0,13.264000000000001,,38.6
France,51.11,63.6,4299.0,FRA,Europe,France,119225.0,1764.6170000000002,,67564251.0,13.079,,342.1
Allemagne,55.89,72.1,6049.0,DEU,Europe,Germany,98278.0,1171.364,,83900471.0,15.957,,219.9
Grèce,47.09,311.6,3232.0,GRC,Europe,Greece,16923.0,1631.8010000000002,,10370747.0,14.524000000000001,,539.1
Hongrie,60.01,236.5,2278.0,HUN,Europe,Hungary,32336.0,3356.389,,9634162.0,11.975999999999999,,1531.9
Islande,75.69,2.9,1.0,ISL,Europe,Iceland,34.0,99.021,,343360.0,9.207,,2.9
Irlande,53.32,95.1,474.0,IRL,Europe,Ireland,5566.0,1117.019,,4982904.0,8.677999999999999,,124.8
Italie,57.37,60.8,3672.0,ITA,Europe,Italy,132893.0,2201.401,,60367471.0,16.24,,470.9
Lettonie,33.74,652.4,1218.0,LVA,Europe,Latvia,3796.0,2033.28,,1866934.0,14.136,,406.0
Lituanie,46.36,674.4,1814.0,LTU,Europe,Lithuania,6375.0,2370.01,,2689862.0,13.777999999999999,,379.9
Luxembourg,54.14,45.7,29.0,LUX,Europe,Luxembourg,859.0,1353.152,,634814.0,9.842,,280.4
Malte,69.82,40.7,21.0,MLT,Europe,Malta,462.0,895.175,,516100.0,11.324000000000002,,202.1
Pays-Bas,73.53,50.1,860.0,NLD,Europe,Netherlands,19228.0,1119.6580000000001,,17173094.0,11.880999999999998,,128.6
Norvège,50.79,25.3,138.0,NOR,Europe,Norway,952.0,174.179,,5465629.0,10.812999999999999,,29.5
Pologne,44.9,101.0,3816.0,POL,Europe,Poland,79161.0,2094.373,,37797000.0,10.202,,793.1
Portugal,85.52,52.2,531.0,PRT,Europe,Portugal,18274.0,1797.221,,10167923.0,14.924000000000001,,69.6
Roumanie,24.74,998.1,19091.0,ROU,Europe,Romania,53661.0,2805.397,,19127772.0,11.69,,520.8
Slovaquie,37.42,200.7,1096.0,SVK,Europe,Slovakia,13644.0,2498.569,,5460726.0,9.167,,943.8
Slovénie,40.52,244.9,509.0,SVN,Europe,Slovenia,4959.0,2385.599,,2078723.0,12.93,,259.3
Espagne,55.51,72.8,3405.0,ESP,Europe,Spain,87745.0,1877.0910000000001,,46745211.0,13.799000000000001,,231.3
Suède,68.59,39.6,402.0,SWE,Europe,Sweden,15094.0,1485.6070000000002,,10160159.0,13.433,,159.9
Suisse,50.35,52.1,454.0,CHE,Europe,Switzerland,11353.0,1302.623,,8715494.0,12.644,,79.9
Royaume-Uni,66.0,157.4,10739.0,GBR,Europe,United Kingdom,143598.0,2105.323,,68207114.0,12.527000000000001,,72.7
