dep,datetime,P,T,tx_positivite,population,tx_incidence,tx_incidence_moins_de20ans
01,2021-08-01,1015.0,29283.0,3.47,643350.0,157.8,156.3
01,2021-08-02,1010.0,30030.0,3.36,643350.0,157.0,150.3
01,2021-08-03,1026.0,30194.0,3.4,643350.0,159.5,149.7
01,2021-08-04,1043.0,30463.0,3.42,643350.0,162.1,153.3
01,2021-08-05,1088.0,30627.0,3.55,643350.0,169.1,156.3
01,2021-08-06,1102.0,30272.0,3.64,643350.0,171.3,151.5
01,2021-08-07,1109.0,30131.0,3.68,643350.0,172.4,152.1
01,2021-08-08,1114.0,30290.0,3.68,643350.0,173.2,153.9
01,2021-08-09,1132.0,31765.0,3.56,643350.0,176.0,166.4
01,2021-08-10,1178.0,33754.0,3.49,643350.0,183.1,174.8
01,2021-08-11,1180.0,35147.0,3.36,643350.0,183.4,182.5
01,2021-08-12,1183.0,36658.0,3.23,643350.0,183.9,187.3
01,2021-08-13,1180.0,37565.0,3.14,643350.0,183.4,190.9
01,2021-08-14,1197.0,38529.0,3.11,643350.0,186.1,195.0
01,2021-08-15,1197.0,38565.0,3.1,643350.0,186.1,192.6
01,2021-08-16,1226.0,38602.0,3.18,643350.0,190.6,187.3
01,2021-08-17,1171.0,38043.0,3.08,643350.0,182.0,188.5
01,2021-08-18,1165.0,37724.0,3.09,643350.0,181.1,187.3
01,2021-08-19,1112.0,37618.0,2.96,643350.0,172.8,175.9
01,2021-08-20,1092.0,37732.0,2.89,643350.0,169.7,162.8
01,2021-08-21,1066.0,36947.0,2.89,643350.0,165.7,155.7
01,2021-08-22,1074.0,36937.0,2.91,643350.0,166.9,156.9
01,2021-08-23,1070.0,36098.0,2.96,643350.0,166.3,162.8
01,2021-08-24,1052.0,35241.0,2.99,643350.0,163.5,149.1
01,2021-08-25,1014.0,34600.0,2.93,643350.0,157.6,140.2
01,2021-08-26,967.0,33840.0,2.86,643350.0,150.3,130.6
01,2021-08-27,936.0,33552.0,2.79,643350.0,145.5,131.8
01,2021-08-28,924.0,33329.0,2.77,643350.0,143.6,134.2
01,2021-08-29,909.0,33093.0,2.75,643350.0,141.3,134.2
01,2021-08-30,818.0,32491.0,2.52,643350.0,127.1,121.7
01,2021-08-31,800.0,31888.0,2.51,643350.0,124.3,117.5
01,2021-09-01,759.0,30835.0,2.46,643350.0,118.0,122.3
01,2021-09-02,773.0,29825.0,2.59,643350.0,120.2,129.4
01,2021-09-03,718.0,29006.0,2.48,643350.0,111.6,121.1
01,2021-09-04,707.0,28957.0,2.44,643350.0,109.9,119.3
01,2021-09-05,700.0,28920.0,2.42,643350.0,108.8,117.5
01,2021-09-06,680.0,28534.0,2.38,643350.0,105.7,112.7
01,2021-09-07,662.0,28555.0,2.32,643350.0,102.9,120.5
01,2021-09-08,659.0,28840.0,2.29,643350.0,102.4,116.3
01,2021-09-09,604.0,29306.0,2.06,643350.0,93.9,103.8
01,2021-09-10,609.0,29766.0,2.05,643350.0,94.7,106.8
01,2021-09-11,587.0,29784.0,1.97,643350.0,91.2,105.0
01,2021-09-12,590.0,29778.0,1.98,643350.0,91.7,105.6
01,2021-09-13,541.0,29623.0,1.83,643350.0,84.1,105.6
01,2021-09-14,492.0,29795.0,1.65,643350.0,76.5,97.2
01,2021-09-15,463.0,29794.0,1.55,643350.0,72.0,86.5
01,2021-09-16,459.0,29245.0,1.57,643350.0,71.3,90.7
01,2021-09-17,435.0,29619.0,1.47,643350.0,67.6,82.9
01,2021-09-18,435.0,29473.0,1.48,643350.0,67.6,80.5
02,2021-08-01,377.0,16742.0,2.25,534490.0,70.5,80.1
02,2021-08-02,383.0,16859.0,2.27,534490.0,71.7,89.3
02,2021-08-03,400.0,16896.0,2.37,534490.0,74.8,97.0
02,2021-08-04,389.0,17032.0,2.28,534490.0,72.8,99.3
