dep,datetime,P,T,tx_positivite,population,tx_incidence
01,2020-12-15,1060.0,13579.0,7.81,643350.0,164.8
01,2020-12-16,1064.0,14870.0,7.16,643350.0,165.4
01,2020-12-17,1102.0,17439.0,6.32,643350.0,171.3
01,2020-12-18,1202.0,23227.0,5.18,643350.0,186.8
01,2020-12-19,1307.0,29008.0,4.51,643350.0,203.2
01,2020-12-20,1412.0,33311.0,4.24,643350.0,219.5
01,2020-12-21,1397.0,36721.0,3.8,643350.0,217.1
01,2020-12-22,1446.0,40283.0,3.59,643350.0,224.8
01,2020-12-23,1461.0,45121.0,3.24,643350.0,227.1
01,2020-12-24,1387.0,45089.0,3.08,643350.0,215.6
01,2020-12-25,1132.0,37376.0,3.03,643350.0,176.0
01,2020-12-26,1044.0,32273.0,3.23,643350.0,162.3
01,2020-12-27,947.0,27994.0,3.38,643350.0,147.2
01,2020-12-28,971.0,24932.0,3.89,643350.0,150.9
01,2020-12-29,933.0,20577.0,4.53,643350.0,145.0
01,2020-12-30,978.0,15846.0,6.17,643350.0,152.0
01,2020-12-31,1028.0,14092.0,7.29,643350.0,159.8
01,2021-01-01,1021.0,14022.0,7.28,643350.0,158.7
01,2021-01-02,1033.0,13921.0,7.42,643350.0,160.6
01,2021-01-03,1041.0,13906.0,7.49,643350.0,161.8
01,2021-01-04,1119.0,13773.0,8.12,643350.0,173.9
01,2021-01-05,1165.0,13814.0,8.43,643350.0,181.1
01,2021-01-06,1142.0,12968.0,8.81,643350.0,177.5
01,2021-01-07,1183.0,12656.0,9.35,643350.0,183.9
01,2021-01-08,1432.0,15185.0,9.43,643350.0,222.6
01,2021-01-09,1410.0,14923.0,9.45,643350.0,219.2
01,2021-01-10,1428.0,14960.0,9.55,643350.0,222.0
01,2021-01-11,1375.0,14796.0,9.29,643350.0,213.7
02,2020-12-15,1082.0,11617.0,9.31,534490.0,202.4
02,2020-12-16,1212.0,12401.0,9.77,534490.0,226.8
02,2020-12-17,1332.0,13521.0,9.85,534490.0,249.2
02,2020-12-18,1346.0,14801.0,9.09,534490.0,251.8
02,2020-12-19,1362.0,15601.0,8.73,534490.0,254.8
02,2020-12-20,1395.0,15867.0,8.79,534490.0,261.0
