country_code,pays,population,PIB_total,PIB_habitant,vote_ONU,Visite_Poutine_ou_Lavrov,Visite_representant_Moscou
AFG,Afghanistan,40099462,20622,1971,en faveur,,
ALB,Albania,2811666,12458,13192,en faveur,,
DZA,Algeria,44177969,168144,10735,abstention,oui,
AND,Andorra,79034,2649,36900,en faveur,,
AGO,Angola,34503774,104129,6110,abstention,oui,
ATG,Antigua and Barbuda,93219,1301,17293,abstention,,
ARG,Argentina,45808747,514772,19691,en faveur,,
ARM,Armenia,2790974,11915,12620,abstention,oui,
AUS,Australia,25688079,1490968,48679,en faveur,,
AUT,Austria,8955797,386514,51858,en faveur,,
AZE,Azerbaijan,10137750,51307,13727,abstention,,oui
BHS,"Bahamas, The",407906,10700,30847,contre,,
BHR,Bahrain,1463265,33206,41481,abstention,oui,
BGD,Bangladesh,169356251,270696,4871,abstention,,
BRB,Barbados,281200,3907,12655,abstention,,
BLR,Belarus,9340314,58482,19187,contre,oui,oui
BEL,Belgium,11592952,466837,48770,en faveur,,
BLZ,Belize,400031,1578,6122,abstention,,
BEN,Benin,12996895,14726,3323,en faveur,,
BTN,Bhutan,777486,2222,10551,abstention,,
BOL,Bolivia,12079472,34821,7845,abstention,,
BIH,Bosnia and Herzegovina,3270943,17825,14509,en faveur,,
BWA,Botswana,2588423,14813,14655,abstention,,
BRA,Brazil,214326223,1749105,14064,abstention,,
BRN,Brunei Darussalam,445373,13429,62201,abstention,,
BGR,Bulgaria,6877743,54924,22379,en faveur,,
BFA,Burkina Faso,22100683,15291,2156,abstention,,
BDI,Burundi,12551213,3219,731,abstention,,
CPV,Cabo Verde,587925,1632,6045,en faveur,,
KHM,Cambodia,16589023,23012,4192,abstention,oui,
CMR,Cameroon,27198628,37687,3666,abstention,,
CAN,Canada,38246108,1607402,46064,en faveur,,
CAF,Central African Republic,5457154,2001,936,contre,,
TCD,Chad,17179740,10426,1519,en faveur,,
CHL,Chile,19493184,247639,23325,en faveur,,
CHN,China,1412360000,14631844,16316,contre,oui,
COL,Colombia,51516562,299826,13449,en faveur,,
COM,Comoros,821625,1091,2989,en faveur,,
COD,"Congo, Dem. Rep.",95894118,45260,1082,abstention,,
COG,"Congo, Rep.",5835806,8877,3434,abstention,oui,
CRI,Costa Rica,5153957,61669,19903,en faveur,,
CIV,Cote d'Ivoire,27478249,61034,5181,en faveur,,
HRV,Croatia,3899000,52558,27077,en faveur,,
CUB,Cuba,11256372,81054,7172,contre,,
CYP,Cyprus,1244188,23580,38816,en faveur,,
CZE,Czechia,10505772,203095,38511,en faveur,,
DNK,Denmark,5856733,327738,55820,en faveur,,
DJI,Djibouti,1105557,3208,5481,en faveur,,
DMA,Dominica,72412,474,10289,abstention,,
DOM,Dominican Republic,11117873,83287,17003,en faveur,,
ECU,Ecuador,17797737,93820,10329,en faveur,,
EGY,"Egypt, Arab Rep.",109262178,412246,11951,abstention,oui,
SLV,El Salvador,6314167,23561,7983,abstention,,
GNQ,Equatorial Guinea,1634466,9509,17008,abstention,,
ERI,Eritrea,3620312,2253,1628,contre,oui,
EST,Estonia,1330932,26280,35257,en faveur,,
SWZ,Eswatini,1192271,4320,8405,abstention,,
ETH,Ethiopia,120283026,95069,2297,contre,oui,
FJI,Fiji,924610,4403,11451,en faveur,,
FIN,Finland,5541017,247607,47154,en faveur,,
FRA,France,67749632,2411255,42321,en faveur,,
GAB,Gabon,2341179,15176,14321,abstention,,
GMB,"Gambia, The",2639916,1673,2157,abstention,,
GEO,Georgia,3708610,16557,13966,en faveur,,
DEU,Germany,83196078,3435817,51423,en faveur,,
GHA,Ghana,32833031,62725,5446,en faveur,,
GRC,Greece,10641221,185375,27073,en faveur,,
GRD,Grenada,124610,979,14489,abstention,,
GTM,Guatemala,17109746,69561,8393,en faveur,,
GIN,Guinea,13531906,12923,2671,abstention,,
GNB,Guinea-Bissau,2060721,1219,1847,abstention,,
GUY,Guyana,804567,7276,18680,abstention,,
HTI,Haiti,11447569,14957,2934,abstention,,
HND,Honduras,10278345,22022,5138,abstention,,
HUN,Hungary,9709891,140097,31098,en faveur,,oui
ISL,Iceland,372520,19491,52376,en faveur,,
IND,India,1407563842,2500132,6166,abstention,oui,oui
IDN,Indonesia,273753191,1027603,11445,abstention,,
IRN,"Iran, Islamic Rep.",87923432,410188,12644,contre,oui,oui
IRQ,Iraq,43533592,170858,9012,abstention,oui,
IRL,Ireland,5033165,392535,90789,en faveur,,
ISR,Israel,9364000,345460,39056,abstention,,
ITA,Italy,59109668,1745434,39073,en faveur,,
JAM,Jamaica,2827695,13441,8761,abstention,,
JPN,Japan,125681593,4380757,40232,en faveur,,
JOR,Jordan,11148278,41108,9817,abstention,oui,
KAZ,Kazakhstan,19000988,205829,25363,abstention,oui,
KEN,Kenya,53005614,83859,4340,en faveur,,
KIR,Kiribati,128874,192,2259,en faveur,,
PRK,"Korea, Dem. People's Rep.",25971909,28500,1700,contre,,
KOR,"Korea, Rep.",51744876,1623895,42336,en faveur,,
KWT,Kuwait,4250114,104327,44847,en faveur,,
KGZ,Kyrgyz Republic,6691800,7238,4715,abstention,oui,
LAO,Lao PDR,7425057,18585,7811,abstention,,
