this_index,id,latitude,longitude,cp,rupture_nom,rupture_debut,count
3,1000001,4620114,519791,01000,SP98,2022-10-07,1
7,1000002,4621842,522767,01000,SP98,2022-10-06,1
8,1000002,4621842,522767,01000,Gazole,2022-10-06,1
9,1000002,4621842,522767,01000,SP95,2022-10-06,1
14,1000004,4618800,524500,01000,SP95,2022-09-29,1
18,1000007,4622100,524500,01000,SP95,2022-10-04,1
19,1000007,4622100,524500,01000,E10,2022-10-05,1
20,1000007,4622100,524500,01000,SP98,2022-10-05,1
24,1000009,4619600,522900,01000,Gazole,2022-10-03,1
25,1000009,4619600,522900,01000,SP95,2022-10-03,1
26,1000009,4619600,522900,01000,E85,2022-10-03,1
27,1000009,4619600,522900,01000,E10,2022-10-03,1
28,1000009,4619600,522900,01000,SP98,2022-10-03,1
34,1000012,4620100,520000,01000,E85,2022-10-08,1
38,1000013,4619851.83794,524350.637881,01000,Gazole,2022-09-28,1
39,1000013,4619851.83794,524350.637881,01000,SP98,2022-09-28,1
40,1000013,4619851.83794,524350.637881,01000,E10,2022-09-29,1
50,1100002,4625000,564400,01100,Gazole,2022-10-06,1
57,1100007,4624966,564134,01100,SP95,2022-10-05,1
58,1100007,4624966,564134,01100,E10,2022-10-05,1
59,1100007,4624966,564134,01100,SP98,2022-10-05,1
60,1100007,4624966,564134,01100,Gazole,2022-10-06,1
61,1100007,4624966,564134,01100,E85,2022-10-06,1
65,1110001,4597800,559900,01110,SP98,2022-10-06,1
68,1120004,4585300,505900,01120,SP98,2022-10-04,1
69,1120004,4585300,505900,01120,E85,2022-10-08,1
70,1120004,4585300,505900,01120,E10,2022-10-08,1
73,1120005,4584700,504800,01120,E10,2022-10-07,1
74,1120005,4584700,504800,01120,SP98,2022-10-08,1
75,1120005,4584700,504800,01120,E85,2022-10-09,1
76,1120005,4584700,504800,01120,Gazole,2022-10-09,1
91,1130003,4615800,560400,01130,E10,2022-09-28,1
92,1130003,4615800,560400,01130,Gazole,2022-09-28,1
93,1130003,4615800,560400,01130,SP98,2022-09-28,1
97,1140001,4618000,481700,01140,Gazole,2022-10-07,1
98,1140001,4618000,481700,01140,E85,2022-10-07,1
99,1140001,4618000,481700,01140,E10,2022-10-07,1
102,1150001,4590200,534600,01150,SP98,2022-10-05,1
105,1150002,4583900,527800,01150,E85,2022-10-06,1
106,1150002,4583900,527800,01150,Gazole,2022-10-07,1
107,1150002,4583900,527800,01150,E10,2022-10-07,1
108,1150002,4583900,527800,01150,SP98,2022-10-07,1
110,1160002,4604020.975,534231.844,01160,SP95,2022-10-03,1
111,1160002,4604020.975,534231.844,01160,E85,2022-10-03,1
112,1160002,4604020.975,534231.844,01160,E10,2022-10-03,1
113,1160002,4604020.975,534231.844,01160,SP98,2022-10-03,1
114,1160002,4604020.975,534231.844,01160,Gazole,2022-10-09,1
120,1160005,4605335.06156,533741.036717,01160,Gazole,2022-10-05,1
121,1160005,4605335.06156,533741.036717,01160,E10,2022-10-05,1
123,1170001,4629300,607900,01170,SP98,2022-10-06,1
124,1170001,4629300,607900,01170,E85,2022-10-08,1
128,1170002,4632200,605300,01170,SP98,2022-10-07,1
129,1170002,4632200,605300,01170,Gazole,2022-10-08,1
130,1170002,4632200,605300,01170,SP95,2022-10-08,1
