id,2022-09-27,2022-09-28,2022-09-29,2022-09-30,2022-10-01,2022-10-02,2022-10-03,2022-10-04,2022-10-05,2022-10-06,2022-10-07,2022-10-08,2022-10-09,2022-10-10,2022-10-11,2022-10-12
1000012,,Rupture totale,,,,,,,,,,,,,,
1000013,,Rupture partielle,,,,,,,,,,,,,,
1120006,,Rupture partielle,,,,,,,,,,,,,,
1150002,,Rupture totale,,,,,,,,,,,,,,
1160005,,Rupture totale,,,,,,,,,,,,,,
1440001,,Rupture totale,,,,,,,,,,,,,,
2100011,,Rupture partielle,,,,,,,,,,,,,,
2200013,,Rupture totale,,,,,,,,,,,,,,
2250004,,Rupture partielle,,,,,,,,,,,,,,
2380002,,Rupture totale,,,,,,,,,,,,,,
2860001,,Rupture partielle,,,,,,,,,,,,,,
3000004,,Rupture totale,,,,,,,,,,,,,,
3100002,,Rupture partielle,,,,,,,,,,,,,,
3120004,,Rupture partielle,,,,,,,,,,,,,,
3300002,,Rupture partielle,,,,,,,,,,,,,,
3500006,,Rupture partielle,,,,,,,,,,,,,,
3600004,,Rupture partielle,,,,,,,,,,,,,,
3700002,,Rupture partielle,,,,,,,,,,,,,,
3800005,,Rupture totale,,,,,,,,,,,,,,
6130010,,Rupture totale,,,,,,,,,,,,,,
6660002,,Rupture partielle,,,,,,,,,,,,,,
6770002,,Rupture partielle,,,,,,,,,,,,,,
7100006,,Rupture partielle,,,,,,,,,,,,,,
7340001,,Rupture totale,,,,,,,,,,,,,,
7380001,,Rupture partielle,,,,,,,,,,,,,,
7400003,,Rupture partielle,,,,,,,,,,,,,,
8200010,,Rupture totale,,,,,,,,,,,,,,
8320002,,Rupture totale,,,,,,,,,,,,,,
8320003,,Rupture partielle,,,,,,,,,,,,,,
9000003,,Rupture partielle,,,,,,,,,,,,,,
9100002,,Rupture partielle,,,,,,,,,,,,,,
9100003,,Rupture totale,,,,,,,,,,,,,,
9140001,,Rupture partielle,,,,,,,,,,,,,,
10000018,,Rupture totale,,,,,,,,,,,,,,
10120001,,Rupture partielle,,,,,,,,,,,,,,
10500001,,Rupture partielle,,,,,,,,,,,,,,
10600009,,Rupture partielle,,,,,,,,,,,,,,
11000003,,Rupture totale,,,,,,,,,,,,,,
11100013,,Rupture partielle,,,,,,,,,,,,,,
11200008,,Rupture partielle,,,,,,,,,,,,,,
11540001,,Rupture partielle,,,,,,,,,,,,,,
12200001,,Rupture partielle,,,,,,,,,,,,,,
12330002,,Rupture partielle,,,,,,,,,,,,,,
13005012,,Rupture totale,,,,,,,,,,,,,,
13008017,,Rupture partielle,,,,,,,,,,,,,,
13100013,,Rupture partielle,,,,,,,,,,,,,,
13100015,,Rupture partielle,,,,,,,,,,,,,,
13100016,,Rupture partielle,,,,,,,,,,,,,,
13120003,,Rupture partielle,,,,,,,,,,,,,,
13260002,,Rupture partielle,,,,,,,,,,,,,,
13300001,,Rupture partielle,,,,,,,,,,,,,,
13300002,,Rupture totale,,,,,,,,,,,,,,
13320012,,Rupture totale,,,,,,,,,,,,,,
13400002,,Rupture totale,,,,,,,,,,,,,,
13600006,,Rupture partielle,,,,,,,,,,,,,,
14000003,,Rupture partielle,,,,,,,,,,,,,,
14000021,,Rupture totale,,,,,,,,,,,,,,
14110003,,Rupture partielle,,,,,,,,,,,,,,
14130008,,Rupture partielle,,,,,,,,,,,,,,
14200009,,Rupture partielle,,,,,,,,,,,,,,
14380002,,Rupture partielle,,,,,,,,,,,,,,
14400003,,Rupture partielle,,,,,,,,,,,,,,
14440001,,Rupture totale,,,,,,,,,,,,,,
14790001,,Rupture partielle,,,,,,,,,,,,,,
15000018,,Rupture partielle,,,,,,,,,,,,,,
15130001,,Rupture totale,,,,,,,,,,,,,,
16000009,,Rupture partielle,,,,,,,,,,,,,,
16100008,,Rupture totale,,,,,,,,,,,,,,
17100013,,Rupture partielle,,,,,,,,,,,,,,
17200003,,Rupture partielle,,,,,,,,,,,,,,
18000018,,Rupture partielle,,,,,,,,,,,,,,
18100011,,Rupture partielle,,,,,,,,,,,,,,
19490002,,Rupture partielle,,,,,,,,,,,,,,
21000029,,Rupture partielle,,,,,,,,,,,,,,
21210005,,Rupture totale,,,,,,,,,,,,,,
21500003,,Rupture totale,,,,,,,,,,,,,,
21700005,,Rupture partielle,,,,,,,,,,,,,,
22000010,,Rupture partielle,,,,,,,,,,,,,,
22302001,,Rupture partielle,,,,,,,,,,,,,,
22480003,,Rupture partielle,,,,,,,,,,,,,,
22810002,,Rupture partielle,,,,,,,,,,,,,,
23140003,,Rupture partielle,,,,,,,,,,,,,,
24000001,,Rupture partielle,,,,,,,,,,,,,,
25000002,,Rupture totale,,,,,,,,,,,,,,
25000023,,Rupture totale,,,,,,,,,,,,,,
25200002,,Rupture totale,,,,,,,,,,,,,,
