id,circonscription,numPanneau,nom,prenom,civilite,codeNuance,libelleNuance,names_ok,sortant
1,001-01,1,GUILLERMIN,Vincent,M.,ENS,Ensemble ! (Majorité présidentielle),Guillermin,non
2,001-01,2,LAHY,Éric,M.,DXG,Divers extrême gauche,Lahy,non
3,001-01,3,BRETON,Xavier,M.,LR,Les Républicains,Breton,oui
4,001-01,4,PIROUX GIANNOTTI,Brigitte,Mme,RN,Rassemblement National,Piroux Giannotti,non
5,001-01,5,MENDES,Michael,M.,DSV,Droite souverainiste,Mendes,non
6,001-01,6,BELLON,Julien,M.,REC,Reconquête !,Bellon,non
7,001-01,7,ARMENJON,Eliane,Mme,ECO,Ecologistes,Armenjon,non
8,001-01,8,GUÉRAUD,Sébastien,M.,NUPES,Nouvelle Union Populaire Écologique et Sociale,Guéraud,non
9,001-02,1,LAPRAY,Lumir,Mme,NUPES,Nouvelle Union Populaire Écologique et Sociale,Lapray,non
10,001-02,2,DAUBIÉ,Romain,M.,ENS,Ensemble ! (Majorité présidentielle),Daubié,non
11,001-02,3,GOUTAGNY,Vincent,M.,DXG,Divers extrême gauche,Goutagny,non
12,001-02,4,BARATAY,Denis,M.,DVD,Divers droite,Baratay,non
13,001-02,5,NANCHI,Alexandre,M.,LR,Les Républicains,Nanchi,non
14,001-02,6,COSTA,Alexandre,M.,REC,Reconquête !,Costa,non
15,001-02,7,MARTET,Colin,M.,DIV,Divers,Martet,non
16,001-02,8,IGLÉSIS,Thomas,M.,ECO,Ecologistes,Iglésis,non
17,001-02,9,EYRAUD,Olivier,M.,RN,Rassemblement National,Eyraud,non
18,001-02,10,CARRIER,Delphine,Mme,DSV,Droite souverainiste,Carrier,non
19,001-03,1,DUBARRY,Karine,Mme,REC,Reconquête !,Dubarry,non
20,001-03,2,VERGNAS,Thierry,M.,DSV,Droite souverainiste,Vergnas,non
21,001-03,3,GIVERNET,Olga,Mme,ENS,Ensemble ! (Majorité présidentielle),Givernet,oui
22,001-03,4,FERTE,Maxence,M.,DIV,Divers,Ferte,non
23,001-03,5,FRANCK,Frédéric,M.,RN,Rassemblement National,Franck,non
24,001-03,6,JOLIE,Christian,M.,NUPES,Nouvelle Union Populaire Écologique et Sociale,Jolie,non
25,001-03,7,BAUDE,Véronique,Mme,LR,Les Républicains,Baude,non
26,001-03,8,KASTLER,Jean-Loup,M.,ECO,Ecologistes,Kastler,non
27,001-03,9,KOUASSI,Fulgence,M.,DIV,Divers,Kouassi,non
28,001-03,10,MAISONNETTE,Cécile,Mme,DXG,Divers extrême gauche,Maisonnette,non
29,001-03,11,MORVAN LEMBERT,Marine,Mme,ECO,Ecologistes,Morvan Lembert,non
30,001-03,12,BISETTI,Frank,M.,DVC,Parti Pirate,Bisetti,non
31,001-04,1,REIHANIAN,Aurane,M.,LR,Les Républicains,Reihanian,non
32,001-04,2,DEFRASNE,Alban,M.,DVG,Parti Pirate,Defrasne,non
33,001-04,3,FAVRE,Nicolas,M.,ECO,Ecologistes,Favre,non
34,001-04,4,BUISSON,Jérôme,M.,RN,Rassemblement National,Buisson,non
35,001-04,5,COUSSON,Sylvain,M.,DXG,Divers extrême gauche,Cousson,non
36,001-04,6,BENMEDJAHED,Ali,M.,RDG,Parti radical de gauche,Benmedjahed,non
37,001-04,7,LERDA,Philippe,M.,NUPES,Nouvelle Union Populaire Écologique et Sociale,Lerda,non
38,001-04,8,DE BOYSSON,Benoît,M.,REC,Reconquête !,De Boysson,non
39,001-04,9,FORCA,Sacha,M.,DVD,Divers droite,Forca,non
40,001-04,10,SEGUIN,Isabelle,Mme,ENS,Ensemble ! (Majorité présidentielle),Seguin,non
41,001-04,11,VEILLEROT,Annick,Mme,DSV,Droite souverainiste,Veillerot,non
42,001-04,12,TROMPILLE,Stéphane,M.,DVC,Divers centre,Trompille,oui
43,001-05,1,TOURNIER-BILLON,Philippe,M.,REC,Reconquête !,Tournier-Billon,non
44,001-05,2,FABRIS,Grégory,M.,DSV,Droite souverainiste,Fabris,non
45,001-05,3,YILMAZ,Celil,M.,DIV,Divers,Yilmaz,non
46,001-05,4,ABAD,Damien,M.,DVD,Divers droite,Abad,oui
47,001-05,5,PISANI,Florence,Mme,NUPES,Nouvelle Union Populaire Écologique et Sociale,Pisani,non
48,001-05,6,PARIS,Stéphanie,Mme,DVD,Divers droite,Paris,non
49,001-05,7,NAMBOTIN,Joëlle,Mme,RN,Rassemblement National,Nambotin,non
50,001-05,8,CROZET,Sylvie,Mme,DXG,Divers extrême gauche,Crozet,non
51,001-05,9,BOULMÉ,Jean-Michel,M.,DVG,Divers gauche,Boulmé,non
52,001-05,10,MARTINEZ,Julien,M.,LR,Les Républicains,Martinez,non
53,002-01,1,BONO-VANDORME,Aude,Mme,ENS,Ensemble ! (Majorité présidentielle),Bono-Vandorme,oui
54,002-01,2,CAUCHY,Benjamin,M.,REC,Reconquête !,Cauchy,non
55,002-01,3,PERNELLE,Jean-Loup,M.,DXG,Divers extrême gauche,Pernelle,non
56,002-01,4,FENIOUX,Olivier,M.,NUPES,Nouvelle Union Populaire Écologique et Sociale,Fenioux,non
57,002-01,5,RIBEIRO,Carole,Mme,DVD,Divers droite,Ribeiro,non
58,002-01,6,DEGOUY,Michel,M.,DSV,Droite souverainiste,Degouy,non
59,002-01,7,DRAGON,Nicolas,M.,RN,Rassemblement National,Dragon,non
60,002-01,8,MOUGENOT,Paul,M.,LR,Les Républicains,Mougenot,non
61,002-02,1,RANSQUIN,Sulyvan,M.,NUPES,Nouvelle Union Populaire Écologique et Sociale,Ransquin,non
62,002-02,2,DIVE,Julien,M.,LR,Les Républicains,Dive,oui
63,002-02,3,ZANDITÉNAS,Anne,Mme,DXG,Divers extrême gauche,Zanditénas,non
64,002-02,4,PUISSANT,Lola,Mme,RN,Rassemblement National,Puissant,non
65,002-02,5,EL OUASDI,Fatima,Mme,ENS,Ensemble ! (Majorité présidentielle),El Ouasdi,non
66,002-02,6,LEPEUPLE,Eric,M.,DIV,Divers,Lepeuple,non
67,002-02,7,BÉCOURT,Corinne,Mme,DVG,Divers gauche,Bécourt,non
68,002-02,8,AMEWOUI,Cécé,Mme,REC,Reconquête !,Amewoui,non
69,002-03,1,VOISIN,Laetitia,Mme,DXG,Divers extrême gauche,Voisin,non
70,002-03,2,BERNARDEAU,Hervé,M.,REC,Reconquête !,Bernardeau,non
71,002-03,3,HANSEN-CATTA,Paul-Henry,M.,RN,Rassemblement National,Hansen-Catta,non
72,002-03,4,MOINEUSE,Jérome,M.,LR,Les Républicains,Moineuse,non
73,002-03,5,CHOTIN,Agnès,Mme,DSV,Droite souverainiste,Chotin,non
74,002-03,6,BRICOUT,Jean-Louis,M.,NUPES,Nouvelle Union Populaire Écologique et Sociale,Bricout,oui
75,002-04,1,BEAURAIN,José,M.,RN,Rassemblement National,Beaurain,non
76,002-04,2,GALL,Aurélien,M.,NUPES,Nouvelle Union Populaire Écologique et Sociale,Gall,non
77,002-04,3,BOBIN,David,M.,LR,Les Républicains,Bobin,non
78,002-04,4,VICENTE,Vanessa,Mme,REC,Reconquête !,Vicente,non
79,002-04,5,BOUILLAGUET,Flora,Mme,DXG,Divers extrême gauche,Bouillaguet,non
80,002-04,6,DELATTE,Marc,M.,ENS,Ensemble ! (Majorité présidentielle),Delatte,oui
81,002-04,7,CRÉON,Damien,M.,DSV,Droite souverainiste,Créon,non
82,002-05,1,GARCIA,Francis,M.,DXG,Divers extrême gauche,Garcia,non
83,002-05,2,EUGÈNE,Sébastien,M.,DVC,Divers centre,Eugène,non
84,002-05,3,ROUSSEL,Jeanne,Mme,ENS,Ensemble ! (Majorité présidentielle),Roussel,non
85,002-05,4,DESSIGNY,Jocelyn,M.,RN,Rassemblement National,Dessigny,non
86,002-05,5,TRIBOULET,Florence,Mme,REC,Reconquête !,Triboulet,non
87,002-05,6,VACCA,Françoise,Mme,ECO,Ecologistes,Vacca,non
88,002-05,7,FRERE,Stéphane,M.,NUPES,Nouvelle Union Populaire Écologique et Sociale,Frere,non
89,002-05,8,BOLLÉE,Joffrey,M.,DSV,Droite souverainiste,Bollée,non
90,002-05,9,GILQUIN,Jade,Mme,LR,Les Républicains,Gilquin,non
91,003-01,1,SENNEPIN,Marion,Mme,ECO,Ecologistes,Sennepin,non
92,003-01,2,CIBERT,Marie,Mme,RN,Rassemblement National,Cibert,non
93,003-01,3,BARBARIN,Michel,M.,ENS,Ensemble ! (Majorité présidentielle),Barbarin,non
94,003-01,4,MALLOT,Jean,M.,DVG,Divers gauche,Mallot,non
95,003-01,5,COLLOT,Jean-Marc,M.,DXG,Divers extrême gauche,Collot,non
96,003-01,6,DE NICOLAY,Pierre,M.,REC,Reconquête !,De Nicolay,non
97,003-01,7,MALAVAUD,Fabien,M.,DVD,Divers droite,Malavaud,non
98,003-01,8,LITAUDON,Roger,M.,LR,Les Républicains,Litaudon,non
99,003-01,9,MONNET,Yannick,M.,NUPES,Nouvelle Union Populaire Écologique et Sociale,Monnet,non
100,003-02,1,TRIKI,Samir,M.,DVC,Divers centre,Triki,non
101,003-02,2,KEGELART,Jean-Jacques,M.,LR,Les Républicains,Kegelart,non
102,003-02,3,AFFRAIX,Christophe,M.,DSV,Droite souverainiste,Affraix,non
103,003-02,4,DE NICOLAY,Axelle,Mme,REC,Reconquête !,De Nicolay,non
104,003-02,5,GUILLAUMIN,Jean-Marie,M.,ECO,Ecologistes,Guillaumin,non
105,003-02,6,LEBEL,Bernard,M.,DXG,Divers extrême gauche,Lebel,non
106,003-02,7,CHATEL,Philippe,M.,REG,Régionaliste,Chatel,non
107,003-02,8,LÉGUILLON,Marie-Claude,Mme,RDG,Parti radical de gauche,Léguillon,non
108,003-02,9,BOVET,Jorys,M.,RN,Rassemblement National,Bovet,non
109,003-02,10,THOMAS,Luc,M.,REG,Parti Pirate,Thomas,non
110,003-02,11,VANCEUNEBROCK,Laurence,Mme,ENS,Ensemble ! (Majorité présidentielle),Vanceunebrock,oui
111,003-02,12,POZZOLI,Bernard,M.,DVG,Divers gauche,Pozzoli,non
112,003-02,13,HERITIER,Louise,Mme,NUPES,Nouvelle Union Populaire Écologique et Sociale,Heritier,non
113,003-03,1,RAMEAU,Jean-Francois,M.,DXG,Divers extrême gauche,Rameau,non
114,003-03,2,DUCHÉ,Paul,M.,ECO,Ecologistes,Duché,non
115,003-03,3,RAY,Nicolas,M.,LR,Les Républicains,Ray,non
116,003-03,4,PENDELIAU,Yves-Marie,M.,DIV,Divers,Pendeliau,non
