CodCirLg,Inscrits,Abstentions,Votants,Blancs,Nuls,Exprimes,codeDepartement,code_dep_min,code_dep,votes,entete,id_circo,elu_T1
03,72427,37734,34693,758,349,33586,053,53,53,"[{""NomPsn"": ""FAVENNEC"", ""PrenomPsn"": ""Yannick"", ""CivilitePsn"": ""M."", ""CodNua"": ""ENS"", ""LibNua"": ""Ensemble ! (Majorit\u00e9 pr\u00e9sidentielle)"", ""NumPanneauCand"": ""6"", ""NbVoix"": 19187, ""Elu"": ""oui"", ""score"": 57.1}]",ENS,53003,1
06,80908,35276,45632,498,188,44946,075,75,75,"[{""NomPsn"": ""CHIKIROU"", ""PrenomPsn"": ""Sophia"", ""CivilitePsn"": ""Mme"", ""CodNua"": ""NUP"", ""LibNua"": ""Nouvelle union populaire \u00e9cologique et sociale"", ""NumPanneauCand"": ""4"", ""NbVoix"": 24155, ""Elu"": ""oui"", ""score"": 53.7}]",NUP,75006,1
16,75126,37718,37408,396,153,36859,075,75,75,"[{""NomPsn"": ""LEGRAIN"", ""PrenomPsn"": ""Sarah"", ""CivilitePsn"": ""Mme"", ""CodNua"": ""NUP"", ""LibNua"": ""Nouvelle union populaire \u00e9cologique et sociale"", ""NumPanneauCand"": ""1"", ""NbVoix"": 20829, ""Elu"": ""oui"", ""score"": 56.5}]",NUP,75016,1
17,62130,33298,28832,352,160,28320,075,75,75,"[{""NomPsn"": ""OBONO"", ""PrenomPsn"": ""Dani\u00e8le"", ""CivilitePsn"": ""Mme"", ""CodNua"": ""NUP"", ""LibNua"": ""Nouvelle union populaire \u00e9cologique et sociale"", ""NumPanneauCand"": ""2"", ""NbVoix"": 16162, ""Elu"": ""oui"", ""score"": 57.1}]",NUP,75017,1
07,80662,43639,37023,756,173,36094,093,93,93,"[{""NomPsn"": ""CORBI\u00c8RE"", ""PrenomPsn"": ""Alexis"", ""CivilitePsn"": ""M."", ""CodNua"": ""NUP"", ""LibNua"": ""Nouvelle union populaire \u00e9cologique et sociale"", ""NumPanneauCand"": ""11"", ""NbVoix"": 22718, ""Elu"": ""oui"", ""score"": 62.9}]",NUP,93007,1
02,99979,53307,46672,3033,855,42784,001,01,01,"[{""NomPsn"":""DAUBI\u00c9"",""PrenomPsn"":""Romain"",""CivilitePsn"":""M."",""CodNua"":""ENS"",""LibNua"":""Ensemble ! (Majorit\u00e9 pr\u00e9sidentielle)"",""NumPanneauCand"":""2"",""NbVoix"":24960,""score"":58.3},{""NomPsn"":""LAPRAY"",""PrenomPsn"":""Lumir"",""CivilitePsn"":""Mme"",""CodNua"":""NUP"",""LibNua"":""Nouvelle union populaire \u00e9cologique et sociale"",""NumPanneauCand"":""1"",""NbVoix"":17824,""score"":41.7}]",ENS,01002,0
03,82207,48291,33916,1870,716,31330,001,01,01,"[{""NomPsn"":""GIVERNET"",""PrenomPsn"":""Olga"",""CivilitePsn"":""Mme"",""CodNua"":""ENS"",""LibNua"":""Ensemble ! (Majorit\u00e9 pr\u00e9sidentielle)"",""NumPanneauCand"":""3"",""NbVoix"":18398,""score"":58.7},{""NomPsn"":""JOLIE"",""PrenomPsn"":""Christian"",""CivilitePsn"":""M."",""CodNua"":""NUP"",""LibNua"":""Nouvelle union populaire \u00e9cologique et sociale"",""NumPanneauCand"":""6"",""NbVoix"":12932,""score"":41.3}]",ENS,01003,0
05,77466,43704,33762,2354,839,30569,001,01,01,"[{""NomPsn"":""ABAD"",""PrenomPsn"":""Damien"",""CivilitePsn"":""M."",""CodNua"":""DVD"",""LibNua"":""Divers droite"",""NumPanneauCand"":""4"",""NbVoix"":17687,""score"":57.9},{""NomPsn"":""PISANI"",""PrenomPsn"":""Florence"",""CivilitePsn"":""Mme"",""CodNua"":""NUP"",""LibNua"":""Nouvelle union populaire \u00e9cologique et sociale"",""NumPanneauCand"":""5"",""NbVoix"":12882,""score"":42.1}]",DVD,01005,0
01,72483,38746,33737,1859,612,31266,002,02,02,"[{""NomPsn"":""DRAGON"",""PrenomPsn"":""Nicolas"",""CivilitePsn"":""M."",""CodNua"":""RN"",""LibNua"":""Rassemblement National"",""NumPanneauCand"":""7"",""NbVoix"":17058,""score"":54.6},{""NomPsn"":""BONO-VANDORME"",""PrenomPsn"":""Aude"",""CivilitePsn"":""Mme"",""CodNua"":""ENS"",""LibNua"":""Ensemble ! (Majorit\u00e9 pr\u00e9sidentielle)"",""NumPanneauCand"":""1"",""NbVoix"":14208,""score"":45.4}]",RN,02001,0
02,73189,41347,31842,1320,501,30021,002,02,02,"[{""NomPsn"":""DIVE"",""PrenomPsn"":""Julien"",""CivilitePsn"":""M."",""CodNua"":""LR"",""LibNua"":""Les R\u00e9publicains"",""NumPanneauCand"":""2"",""NbVoix"":17463,""score"":58.2},{""NomPsn"":""PUISSANT"",""PrenomPsn"":""Lola"",""CivilitePsn"":""Mme"",""CodNua"":""RN"",""LibNua"":""Rassemblement National"",""NumPanneauCand"":""4"",""NbVoix"":12558,""score"":41.8}]",LR,02002,0
