CodCirLg,Inscrits,Abstentions,Votants,Blancs,Nuls,Exprimes,NomPsn,PrenomPsn,CivilitePsn,CodNua,LibNua,NumPanneauCand,NbVoix,codeDepartement,code_dep_min,code_dep,id_circo,entete
01,82694,42063,40631,545,155,39931,MALLET,Laurent,M.,MDM,Modem,1,13534,001,01,01,01001,
01,82694,42063,40631,545,155,39931,BLATRIX-CONTAT,Florence,Mme,SOC,Parti socialiste,2,3687,001,01,01,01001,
01,82694,42063,40631,545,155,39931,LÉPAGNOT,Maude,Mme,EXG,Extrême gauche,3,293,001,01,01,01001,
01,82694,42063,40631,545,155,39931,MARTIN ZEMLIK,Fabrine,Mme,FI,La France insoumise,4,3874,001,01,01,01001,
01,82694,42063,40631,545,155,39931,BRETON,Xavier,M.,LR,Les Républicains,5,10693,001,01,01,01001,
01,82694,42063,40631,545,155,39931,CARLIER,Marie,Mme,DIV,Divers,6,247,001,01,01,01001,
01,82694,42063,40631,545,155,39931,RAIMONDO,Laurane,Mme,ECO,Ecologiste,7,562,001,01,01,01001,
01,82694,42063,40631,545,155,39931,FONTAINE,Jacques,M.,COM,Parti communiste français,8,656,001,01,01,01001,
01,82694,42063,40631,545,155,39931,BUISSON,Jérôme,M.,FN,Front National,9,6174,001,01,01,01001,
01,82694,42063,40631,545,155,39931,BONNOT,Gilbert,M.,DIV,Divers,10,211,001,01,01,01001,
02,93520,47291,46229,471,160,45598,MICHAUD,Anne,Mme,FN,Front National,1,7553,001,01,01,01002,
02,93520,47291,46229,471,160,45598,COLIN,Albane,Mme,ECO,Ecologiste,2,2874,001,01,01,01002,
02,93520,47291,46229,471,160,45598,LEMERRE,Pascale,Mme,DLF,Debout la France,3,1149,001,01,01,01002,
02,93520,47291,46229,471,160,45598,SAHIN,Atila,M.,DIV,Divers,4,194,001,01,01,01002,
02,93520,47291,46229,471,160,45598,BRULLAND,Guy,M.,COM,Parti communiste français,5,676,001,01,01,01002,
02,93520,47291,46229,471,160,45598,BEGUET,Marie Jeanne,Mme,MDM,Modem,6,16371,001,01,01,01002,
02,93520,47291,46229,471,160,45598,GOUTAGNY,Vincent,M.,EXG,Extrême gauche,7,303,001,01,01,01002,
02,93520,47291,46229,471,160,45598,DE LA VERPILLIÈRE,Charles,M.,LR,Les Républicains,8,11182,001,01,01,01002,
02,93520,47291,46229,471,160,45598,THIEBAUT,Sylviane,Mme,FI,La France insoumise,9,4896,001,01,01,01002,
02,93520,47291,46229,471,160,45598,CHOMETTE,Sandrine,Mme,DIV,Divers,10,400,001,01,01,01002,
03,75614,41131,34483,359,116,34008,BORNE,Thierry,M.,DIV,Divers,1,488,001,01,01,01003,
03,75614,41131,34483,359,116,34008,MERCIER,Jean,M.,ECO,Ecologiste,2,1496,001,01,01,01003,
03,75614,41131,34483,359,116,34008,BLOCH,Jean Sébastien,M.,COM,Parti communiste français,3,431,001,01,01,01003,
03,75614,41131,34483,359,116,34008,GIVERNET,Olga,Mme,REM,La République en marche,4,15405,001,01,01,01003,
03,75614,41131,34483,359,116,34008,SACCHI-HASSANEIN,Géraldine,Mme,SOC,Parti socialiste,5,1468,001,01,01,01003,
03,75614,41131,34483,359,116,34008,NOBLET,Gaëtan,M.,FN,Front National,6,3808,001,01,01,01003,
03,75614,41131,34483,359,116,34008,PERNOD BEAUDON,Stéphanie,Mme,LR,Les Républicains,7,7281,001,01,01,01003,
03,75614,41131,34483,359,116,34008,JOLIE,Christian,M.,FI,La France insoumise,8,3064,001,01,01,01003,
03,75614,41131,34483,359,116,34008,LAHY,Éric,M.,EXG,Extrême gauche,9,147,001,01,01,01003,
03,75614,41131,34483,359,116,34008,GENTILE,Fabrice,M.,DVG,Divers gauche,10,59,001,01,01,01003,
03,75614,41131,34483,359,116,34008,MOZER,Frédéric,M.,DIV,Divers,11,361,001,01,01,01003,
04,89390,45625,43765,521,211,43033,CHÊNE,Sylviane,Mme,RDG,Parti radical de gauche,1,2025,001,01,01,01004,
04,89390,45625,43765,521,211,43033,PARTENSKY-LEIBMAN,Anne,Mme,ECO,Ecologiste,2,1391,001,01,01,01004,
04,89390,45625,43765,521,211,43033,BILLOUDET,Guy,M.,LR,Les Républicains,3,7178,001,01,01,01004,
04,89390,45625,43765,521,211,43033,ADAM,Xavier,M.,DIV,Divers,4,97,001,01,01,01004,
04,89390,45625,43765,521,211,43033,TROMPILLE,Stéphane,M.,REM,La République en marche,5,15492,001,01,01,01004,
04,89390,45625,43765,521,211,43033,LOUBIGNES,Thierry,M.,DIV,Divers,6,199,001,01,01,01004,
04,89390,45625,43765,521,211,43033,ANTOINETTE,Yves,M.,DIV,Divers,7,232,001,01,01,01004,
04,89390,45625,43765,521,211,43033,VEILLEROT,Annick,Mme,DLF,Debout la France,8,860,001,01,01,01004,
04,89390,45625,43765,521,211,43033,HUGUET,Line,Mme,FI,La France insoumise,9,3426,001,01,01,01004,
04,89390,45625,43765,521,211,43033,CHAUSSAT,Blanche,Mme,FN,Front National,10,7964,001,01,01,01004,
04,89390,45625,43765,521,211,43033,LUGA GIRAUD,Muriel,Mme,UDI,Union des Démocrates et Indépendants,11,3164,001,01,01,01004,
04,89390,45625,43765,521,211,43033,LATTARD,Catherine,Mme,COM,Parti communiste français,12,348,001,01,01,01004,
04,89390,45625,43765,521,211,43033,DRACOS,Electre,Mme,EXG,Extrême gauche,13,198,001,01,01,01004,
04,89390,45625,43765,521,211,43033,SYMNIACOS,Olivia,Mme,DIV,Divers,14,459,001,01,01,01004,
05,75359,38409,36950,374,168,36408,BOULMÉ,Jean-Michel,M.,EXG,Extrême gauche,1,121,001,01,01,01005,
05,75359,38409,36950,374,168,36408,SCHWANDER,Elodie,Mme,SOC,Parti socialiste,2,1032,001,01,01,01005,
05,75359,38409,36950,374,168,36408,JUILLET,Claude,M.,DLF,Debout la France,3,637,001,01,01,01005,
05,75359,38409,36950,374,168,36408,CHALON,Pénélope,Mme,FN,Front National,4,5599,001,01,01,01005,
05,75359,38409,36950,374,168,36408,MEUDAN,Monique,Mme,DIV,Divers,5,398,001,01,01,01005,
05,75359,38409,36950,374,168,36408,LARGERON,Guy,M.,EXG,Extrême gauche,6,158,001,01,01,01005,
05,75359,38409,36950,374,168,36408,JACQUIER,Bertrand,M.,FI,La France insoumise,7,3759,001,01,01,01005,
05,75359,38409,36950,374,168,36408,ARCHENY,Jean-Philippe,M.,DIV,Divers,8,231,001,01,01,01005,
05,75359,38409,36950,374,168,36408,ABAD,Damien,M.,LR,Les Républicains,9,12743,001,01,01,01005,
05,75359,38409,36950,374,168,36408,FERRI,Mylène,Mme,COM,Parti communiste français,10,809,001,01,01,01005,
