datetime,quantite_eolien,quantite_conso
2022-07-27 00:00:00,3213,44731
2022-07-27 00:00:00,3213,44731
2022-07-27 02:00:00,2932,39522
2022-07-27 02:00:00,2932,39522
2022-07-27 04:00:00,2769,36434
2022-07-27 04:00:00,2769,36434
2022-07-27 06:00:00,2888,38679
2022-07-27 06:00:00,2888,38679
2022-07-27 08:00:00,2399,44807
2022-07-27 08:00:00,2399,44807
2022-07-27 10:00:00,1902,49197
2022-07-27 10:00:00,1902,49197
2022-07-27 12:00:00,1820,51794
2022-07-27 12:00:00,1820,51794
2022-07-27 14:00:00,1497,51086
2022-07-27 14:00:00,1497,51086
2022-07-27 16:00:00,1523,48981
2022-07-27 16:00:00,1523,48981
2022-07-27 18:00:00,1740,48782
2022-07-27 18:00:00,1740,48782
2022-07-27 20:00:00,2279,48307
2022-07-27 20:00:00,2279,48307
2022-07-27 22:00:00,3452,45704
2022-07-27 22:00:00,3452,45704
2022-07-28 00:00:00,4402,44595
2022-07-28 02:00:00,4086,39548
2022-07-28 04:00:00,3380,36497
2022-07-28 06:00:00,2481,38953
2022-07-28 08:00:00,1683,44697
2022-07-28 10:00:00,757,49365
2022-07-28 12:00:00,603,51949
2022-07-28 14:00:00,750,51849
2022-07-28 16:00:00,807,49990
2022-07-28 18:00:00,1023,48916
2022-07-28 20:00:00,1351,48218
2022-07-28 22:00:00,1945,45985
2022-07-29 00:00:00,2153,44869
2022-07-29 02:00:00,1822,39651
2022-07-29 04:00:00,1290,36578
2022-07-29 06:00:00,993,38886
2022-07-29 08:00:00,995,44626
2022-07-29 10:00:00,821,49066
2022-07-29 12:00:00,1063,50922
2022-07-29 14:00:00,1315,49279
2022-07-29 16:00:00,1641,47560
2022-07-29 18:00:00,2046,46833
2022-07-29 20:00:00,2291,46269
2022-07-29 22:00:00,2475,44558
2022-07-30 00:00:00,2422,43719
2022-07-30 02:00:00,1861,38274
2022-07-30 04:00:00,1464,34818
2022-07-30 06:00:00,1364,34847
2022-07-30 08:00:00,1192,36832
2022-07-30 10:00:00,1080,42126
2022-07-30 12:00:00,1274,44766
2022-07-30 14:00:00,1833,44552
2022-07-30 16:00:00,2571,42719
2022-07-30 18:00:00,2841,42779
2022-07-30 20:00:00,2668,43070
2022-07-30 22:00:00,2364,42325
2022-07-31 00:00:00,2445,41892
2022-07-31 02:00:00,2350,36984
2022-07-31 04:00:00,1939,32997
2022-07-31 06:00:00,1699,32745
2022-07-31 08:00:00,1694,33843
2022-07-31 10:00:00,1810,38695
2022-07-31 12:00:00,2426,42293
2022-07-31 14:00:00,2923,41600
2022-07-31 16:00:00,3524,39868
2022-07-31 18:00:00,3908,40575
2022-07-31 20:00:00,3825,42796
2022-07-31 22:00:00,3225,42624
2022-08-01 00:00:00,3118,41481
2022-08-01 02:00:00,2476,36501
2022-08-01 04:00:00,1544,33527
2022-08-01 06:00:00,1178,36111
2022-08-01 08:00:00,1009,41586
2022-08-01 10:00:00,864,46651
2022-08-01 12:00:00,985,49523
2022-08-01 14:00:00,1190,49334
2022-08-01 16:00:00,1389,47514
2022-08-01 18:00:00,1415,47058
2022-08-01 20:00:00,1433,47639
2022-08-01 22:00:00,1754,45492
2022-08-02 00:00:00,1681,43810
2022-08-02 02:00:00,1454,38663
2022-08-02 04:00:00,1540,35270
2022-08-02 06:00:00,1468,37415
2022-08-02 08:00:00,1312,42515
2022-08-02 10:00:00,993,47156
2022-08-02 12:00:00,1034,50520
2022-08-02 14:00:00,964,50391
2022-08-02 16:00:00,1006,49048
2022-08-02 18:00:00,1061,48688
2022-08-02 20:00:00,1133,48458
2022-08-02 22:00:00,1232,46073
2022-08-03 00:00:00,1311,44313
2022-08-03 02:00:00,1342,39073
2022-08-03 04:00:00,1284,35671
2022-08-03 06:00:00,1223,37958
2022-08-03 08:00:00,966,42622
2022-08-03 10:00:00,705,48421
2022-08-03 12:00:00,742,51997
2022-08-03 14:00:00,804,52053
2022-08-03 16:00:00,882,50639
2022-08-03 18:00:00,1149,49639
2022-08-03 20:00:00,1496,49429
2022-08-03 22:00:00,1780,46967
2022-08-04 00:00:00,1883,44645
2022-08-04 02:00:00,1802,39628
2022-08-04 04:00:00,1700,36303
2022-08-04 06:00:00,1599,38334
2022-08-04 08:00:00,1527,42996
2022-08-04 10:00:00,1233,48131
2022-08-04 12:00:00,1224,50958
2022-08-04 14:00:00,1384,51037
2022-08-04 16:00:00,1545,49865
2022-08-04 18:00:00,2257,48867
2022-08-04 20:00:00,4259,47346
2022-08-04 22:00:00,3651,45288
2022-08-05 00:00:00,3162,43490
2022-08-05 02:00:00,3266,38755
2022-08-05 04:00:00,3143,35512
2022-08-05 06:00:00,2456,37584
2022-08-05 08:00:00,2343,41994
2022-08-05 10:00:00,2615,46514
2022-08-05 12:00:00,2977,49170
2022-08-05 14:00:00,3878,48797
2022-08-05 16:00:00,4762,46894
2022-08-05 18:00:00,5843,46274
2022-08-05 20:00:00,6437,44676
2022-08-05 22:00:00,6049,43186
2022-08-06 00:00:00,6068,41862
2022-08-06 02:00:00,5300,36732
2022-08-06 04:00:00,5287,33215
2022-08-06 06:00:00,5421,33811
2022-08-06 08:00:00,4812,35427
2022-08-06 10:00:00,4067,40198
2022-08-06 12:00:00,4954,43172
2022-08-06 14:00:00,4375,42940
2022-08-06 16:00:00,4869,41448
2022-08-06 18:00:00,5497,41725
2022-08-06 20:00:00,5926,41484
2022-08-06 22:00:00,6370,40805
2022-08-07 00:00:00,7555,39986
2022-08-07 02:00:00,6997,35344
2022-08-07 04:00:00,6222,31689
2022-08-07 06:00:00,5591,31747
2022-08-07 08:00:00,4615,32585
2022-08-07 10:00:00,3042,37518
2022-08-07 12:00:00,4574,40871
2022-08-07 14:00:00,4128,40147
2022-08-07 16:00:00,4045,38217
2022-08-07 18:00:00,5187,38935
2022-08-07 20:00:00,5948,40382
2022-08-07 22:00:00,6544,40427
2022-08-08 00:00:00,6776,39318
2022-08-08 02:00:00,6348,35069
2022-08-08 04:00:00,5686,32216
2022-08-08 06:00:00,5192,34481
2022-08-08 08:00:00,4416,39146
2022-08-08 10:00:00,2485,43843
2022-08-08 12:00:00,3621,46905
2022-08-08 14:00:00,3991,46852
2022-08-08 16:00:00,4143,45505
2022-08-08 18:00:00,5205,45087
2022-08-08 20:00:00,5963,45134
2022-08-08 22:00:00,7044,43262
2022-08-09 00:00:00,7370,41661
2022-08-09 02:00:00,6675,36891
2022-08-09 04:00:00,6020,33910
2022-08-09 06:00:00,5495,35847
2022-08-09 08:00:00,4542,39934
2022-08-09 10:00:00,2803,44829
2022-08-09 12:00:00,4051,47688
2022-08-09 14:00:00,4170,47446
2022-08-09 16:00:00,3949,45907
2022-08-09 18:00:00,4622,45517
2022-08-09 20:00:00,5751,45354
2022-08-09 22:00:00,6455,43389
2022-08-10 00:00:00,6884,41807
2022-08-10 02:00:00,6631,37093
2022-08-10 04:00:00,5896,33874
2022-08-10 06:00:00,5061,35754
2022-08-10 08:00:00,4038,39973
2022-08-10 10:00:00,2057,45063
2022-08-10 12:00:00,2850,47738
2022-08-10 14:00:00,4503,48172
2022-08-10 16:00:00,3865,46747
2022-08-10 18:00:00,4014,46490
2022-08-10 20:00:00,4580,45960
2022-08-10 22:00:00,5659,43992
2022-08-11 00:00:00,6360,41858
2022-08-11 02:00:00,5479,37379
